"Daily Weather Observations for Darwin, Northern Territory for May 2021"
"Prepared at 16:03 UTC on Tuesday  7 December 2021   IDCJDW8014.202105"
"Copyright 2003 Commonwealth Bureau of Meteorology"
"Observations were drawn from Darwin Airport {station 014015}"

,"Date","Minimum temperature (°C)","Maximum temperature (°C)","Rainfall (mm)","Evaporation (mm)","Sunshine (hours)","Direction of maximum wind gust ","Speed of maximum wind gust (km/h)","Time of maximum wind gust","9am Temperature (°C)","9am relative humidity (%)","9am cloud amount (oktas)","9am wind direction","9am wind speed (km/h)","9am MSL pressure (hPa)","3pm Temperature (°C)","3pm relative humidity (%)","3pm cloud amount (oktas)","3pm wind direction","3pm wind speed (km/h)","3pm MSL pressure (hPa)"
,2021-05-1,21.5,32.7,0,6.2,11.3,ESE,33,11:43,26.3,64,0,ESE,19,1014.9,32.0,36,1,E,17,1010.9
,2021-05-2,24.3,33.0,0,6.4,11.0,ESE,39,11:29,27.3,64,2,E,20,1014.3,32.1,35,1,ESE,15,1010.3
,2021-05-3,22.9,33.0,0,7.2,11.3,ESE,43,12:47,27.2,64,1,E,20,1012.5,32.6,36,1,E,20,1008.7
,2021-05-4,23.9,33.6,0,6.8,11.3,ENE,37,12:39,27.8,59,1,ESE,19,1012.2,33.3,34,3,E,24,1008.3
,2021-05-5,23.3,32.9,0,7.4,11.4,ESE,35,10:02,27.7,47,1,E,17,1011.8,32.2,32,1,ENE,19,1007.9
,2021-05-6,22.7,33.3,0,7.2,11.1,E,39,12:28,27.5,58,1,ESE,19,1011.8,32.6,33,1,E,9,1008.1
,2021-05-7,22.9,33.3,0,8.0,11.2,ESE,28,09:54,27.4,61,1,E,17,1011.5,32.1,47,1,NW,13,1007.7
,2021-05-8,21.9,32.6,0,4.8,10.8,E,24,10:50,27.0,66,1,ESE,6,1011.3,30.9,53,2,NW,15,1008.3
,2021-05-9,21.1,32.2,0,6.0,11.0,NW,28,13:53,27.1,70,1,ESE,4,1011.6,30.9,51,3,WNW,19,1008.8
,2021-05-10,22.9,32.8,0,5.8,11.1,SE,28,15:35,27.6,66,1,ESE,7,1012.8,31.8,36,6,SE,9,1009.0
,2021-05-11,23.4,34.4,0,6.0,11.2,ESE,41,13:17,28.3,49,3,E,17,1012.7,33.6,25,1,E,24,1009.1
,2021-05-12,23.1,33.9,0,9.0,11.2,ESE,43,11:08,26.8,41,6,ESE,19,1012.8,33.7,27,1,E,22,1008.9
,2021-05-13,22.0,33.4,0,7.4,11.3,ESE,37,10:36,25.2,45,1,SE,17,1012.4,33.1,26,0,SSE,19,1008.2
,2021-05-14,20.3,33.1,0,7.8,11.3,ESE,41,10:34,24.7,44,0,SE,20,1012.3,32.6,25,0,SE,11,1008.8
,2021-05-15,20.1,32.3,0,7.6,11.1,ESE,33,10:57,22.7,48,0,SE,17,1012.2,31.7,22,1,SE,17,1009.0
,2021-05-16,18.7,31.1,0,6.2,11.3,ESE,46,11:04,22.9,45,0,SSE,22,1013.1,30.6,28,0,ENE,17,1009.8
,2021-05-17,18.9,31.9,0,7.6,11.2,ESE,43,11:12,23.7,43,0,SE,17,1013.4,31.1,35,1,E,17,1009.6
,2021-05-18,20.0,31.9,0,6.8,10.2,ESE,39,11:33,23.1,49,0,SE,15,1014.2,31.1,31,2,E,15,1009.7
,2021-05-19,20.9,33.2,0,5.8,11.2,E,39,10:56,26.0,50,1,SE,17,1013.0,32.8,42,1,ENE,15,1009.1
,2021-05-20,23.4,34.6,0,7.2,10.9,ESE,41,11:10,27.5,62,1,SE,13,1013.0,34.5,34,3,ENE,17,1009.5
,2021-05-21,23.5,34.1,0,5.4,10.6,E,37,11:34,27.8,60,2,E,19,1013.2,33.8,34,1,ENE,9,1009.3
,2021-05-22,22.8,32.7,0,6.2,10.9,E,37,10:27,27.1,72,2,E,7,1012.2,32.2,35,6,ESE,13,1008.8
,2021-05-23,21.6,32.8,0,6.0,10.0,N,30,17:45,27.0,73,1,E,13,1012.8,29.7,58,4,NW,15,1009.2
,2021-05-24,22.9,32.7,0.2,4.4,10.4,E,37,09:46,26.0,67,1,E,22,1014.3,32.2,31,1,E,17,1011.2
,2021-05-25,22.6,33.0,0,5.8,11.1,E,37,15:28,25.6,69,6,SE,15,1014.8,32.1,41,3,E,22,1010.8
,2021-05-26,22.7,32.4,0,6.6,11.1,E,39,14:16,26.1,64,1,ESE,19,1015.1,31.4,35,1,ESE,22,1011.8
,2021-05-27,21.7,31.8,0,6.6,10.8,ESE,56,12:16,25.2,51,1,SE,19,1016.8,31.1,33,1,E,30,1012.3
,2021-05-28,21.8,31.7,0,9.2,10.9,ESE,48,10:43,24.2,52,0,SE,15,1016.6,30.9,29,0,SE,19,1011.8
,2021-05-29,20.0,31.7,0,8.0,10.9,ESE,43,10:25,24.3,51,1,SE,13,1014.5,31.2,33,7,ENE,4,1010.3
,2021-05-30,21.1,30.9,0,6.2,5.1,ENE,31,10:57,24.9,59,7,E,15,1013.1,30.1,44,6,NNW,4,1009.3
,2021-05-31,22.4,31.1,0,4.2,9.7,ENE,35,10:26,25.8,70,5,ESE,17,1012.2,30.7,47,7,NE,17,1008.9
