"Daily Weather Observations for Darwin, Northern Territory for June 2021"
"Prepared at 13:03 UTC on Monday  6 December 2021   IDCJDW8014.202106"
"Copyright 2003 Commonwealth Bureau of Meteorology"
"Observations were drawn from Darwin Airport {station 014015}"

,"Date","Minimum temperature (°C)","Maximum temperature (°C)","Rainfall (mm)","Evaporation (mm)","Sunshine (hours)","Direction of maximum wind gust ","Speed of maximum wind gust (km/h)","Time of maximum wind gust","9am Temperature (°C)","9am relative humidity (%)","9am cloud amount (oktas)","9am wind direction","9am wind speed (km/h)","9am MSL pressure (hPa)","3pm Temperature (°C)","3pm relative humidity (%)","3pm cloud amount (oktas)","3pm wind direction","3pm wind speed (km/h)","3pm MSL pressure (hPa)"
,2021-06-1,22.1,32.5,0,4.2,9.9,ENE,37,10:46,26.4,74,1,E,20,1013.1,32.0,48,4,NE,13,1010.0
,2021-06-2,23.3,32.7,0,4.4,9.9,NE,39,15:48,26.6,70,2,E,20,1013.5,31.7,45,3,NE,19,1010.4
,2021-06-3,23.5,31.9,0,5.0,9.2,N,30,14:49,26.9,79,2,E,11,1014.0,30.3,61,3,N,19,1010.2
,2021-06-4,24.0,32.5,0,4.6,9.8,ESE,33,13:30,27.1,77,1,NE,17,1015.2,32.3,43,2,E,17,1011.0
,2021-06-5,22.1,31.1,0,6.2,11.1,SE,44,09:48,24.4,49,2,SE,26,1015.5,30.5,30,1,ESE,17,1011.3
,2021-06-6,19.0,30.7,0,8.0,10.8,ESE,39,10:04,23.7,44,0,ESE,17,1015.1,30.5,23,1,E,15,1010.8
,2021-06-7,19.2,31.6,0,6.8,11.0,E,33,12:02,24.5,57,1,E,15,1015.1,29.9,48,1,NW,19,1011.4
,2021-06-8,21.0,31.8,0,4.6,10.6,NNW,30,14:58,25.3,61,1,SSW,11,1014.0,30.5,47,1,N,17,1010.9
,2021-06-9,21.0,32.9,0,5.2,10.4,E,31,13:33,26.4,62,1,E,9,1013.3,31.8,29,6,E,15,1010.2
,2021-06-10,18.9,30.3,0,7.0,10.4,ESE,37,10:06,22.1,38,3,SE,19,1014.4,29.5,20,4,SSE,15,
,2021-06-11,18.0,30.1,0,9.4,10.5,ESE,35,10:27,21.6,34,0,SE,17,1014.6,29.5,33,0,W,15,1011.3
,2021-06-12,19.3,31.8,0,5.2,10.7,NW,28,14:51,23.5,54,1,E,15,1014.8,30.3,49,0,NW,19,1011.8
,2021-06-13,19.6,31.7,0,4.0,10.0,NE,26,11:10,23.7,77,0,SSE,11,1014.4,31.2,54,1,NNW,17,1010.6
,2021-06-14,20.9,32.6,0,4.0,10.5,NW,28,15:27,25.8,62,1,SSW,6,1013.3,30.8,42,1,NW,22,1010.0
,2021-06-15,21.9,31.3,0,6.0,8.9,NW,26,15:36,23.8,93,5,E,6,1012.9,29.6,51,3,NW,19,1010.1
,2021-06-16,20.9,31.7,0,4.6,10.2,NNW,24,15:30,26.0,81,1,ESE,2,1014.7,30.6,55,1,NNW,15,1011.5
,2021-06-17,22.1,32.1,0,3.8,10.2,NW,39,12:41,25.8,69,1,SSW,6,1015.2,31.2,47,1,NW,15,1011.3
,2021-06-18,21.8,33.7,0,4.4,11.0,E,41,12:57,27.4,65,0,ENE,9,1016.0,32.8,38,2,ENE,17,1011.7
,2021-06-19,22.0,31.3,0,7.8,10.4,E,46,10:28,24.1,43,6,ESE,24,1016.4,31.1,27,6,E,19,1012.9
,2021-06-20,17.8,30.4,0,7.2,11.0,ESE,35,11:55,20.8,38,1,SE,20,1016.3,29.6,26,1,ESE,6,1012.9
,2021-06-21,17.8,31.7,0,6.6,11.0,ESE,33,09:55,23.1,37,0,ESE,13,1015.5,30.6,33,0,E,15,1011.9
,2021-06-22,20.5,31.6,0,4.0,10.9,ENE,33,10:41,25.1,66,0,E,17,1014.6,30.6,50,1,NNE,15,1011.3
,2021-06-23,22.9,33.3,0,7.0,10.1,ENE,30,14:10,26.3,76,1,ESE,13,1015.6,32.5,45,3,NE,17,1012.0
,2021-06-24,24.8,32.0,0,5.0,7.9,ENE,28,09:52,27.0,77,3,E,13,1014.0,30.0,64,7,WSW,13,1011.3
,2021-06-25,23.8,32.0,0,5.0,5.1,ESE,31,09:04,25.1,67,7,ESE,17,1014.5,30.8,54,6,E,13,1011.3
,2021-06-26,22.7,31.8,5.2,4.2,10.7,SE,37,04:40,24.9,67,2,SE,17,1015.3,30.6,49,5,ENE,19,1012.8
,2021-06-27,20.4,30.4,0,7.8,10.7,ESE,41,09:44,22.6,47,3,ESE,22,1016.9,29.6,37,2,SE,13,1013.4
,2021-06-28,19.2,31.1,0,6.6,11.0,ESE,39,10:49,22.3,53,1,SE,17,1016.8,30.1,37,1,E,11,1012.0
,2021-06-29,19.5,32.1,0,6.0,11.0,E,39,11:40,24.2,60,1,E,19,1015.3,31.4,36,1,E,20,1011.4
,2021-06-30,21.6,32.9,0,6.0,11.0,ESE,44,10:56,25.7,51,1,ESE,20,1014.8,32.0,31,1,ENE,17,1011.2
