"Daily Weather Observations for Darwin, Northern Territory for July 2021"
"Prepared at 13:03 UTC on Sunday  5 December 2021   IDCJDW8014.202107"
"Copyright 2003 Commonwealth Bureau of Meteorology"
"Observations were drawn from Darwin Airport {station 014015}"

,"Date","Minimum temperature (°C)","Maximum temperature (°C)","Rainfall (mm)","Evaporation (mm)","Sunshine (hours)","Direction of maximum wind gust ","Speed of maximum wind gust (km/h)","Time of maximum wind gust","9am Temperature (°C)","9am relative humidity (%)","9am cloud amount (oktas)","9am wind direction","9am wind speed (km/h)","9am MSL pressure (hPa)","3pm Temperature (°C)","3pm relative humidity (%)","3pm cloud amount (oktas)","3pm wind direction","3pm wind speed (km/h)","3pm MSL pressure (hPa)"
,2021-07-1,22.8,33.5,0,5.8,11.0,ESE,37,11:39,25.6,55,1,SSE,7,1014.8,32.7,32,2,SE,24,1010.4
,2021-07-2,22.1,32.9,0,7.6,11.0,SE,41,11:16,24.5,56,1,SE,17,1014.6,31.7,30,1,E,20,1009.9
,2021-07-3,20.5,31.2,0,8.6,10.5,SSE,37,09:45,22.6,33,6,SSE,22,1014.7,30.2,22,7,SE,19,1010.3
,2021-07-4,17.8,29.0,0,7.4,7.6,ESE,48,10:24,21.8,45,5,SE,22,1015.0,28.4,28,7,SE,20,1011.8
,2021-07-5,18.5,30.4,0,7.8,10.2,ESE,37,09:16,21.5,32,7,SE,19,1014.2,29.1,26,7,SSE,11,1010.5
,2021-07-6,18.8,31.7,0,7.4,9.9,ESE,30,10:57,21.3,41,4,SE,17,1013.2,30.4,33,3,ESE,7,1010.1
,2021-07-7,19.8,32.8,0,6.4,10.6,ENE,33,11:51,23.5,61,1,E,17,1013.1,31.7,33,1,E,13,1010.1
,2021-07-8,20.6,31.7,0,4.8,11.0,NNW,24,12:32,25.5,61,1,SSW,9,1013.5,30.6,45,1,NNW,13,1010.0
,2021-07-9,20.7,32.4,0,5.4,10.7,NNE,41,15:09,26.1,77,1,ENE,9,1013.0,31.8,47,2,N,19,1009.9
,2021-07-10,22.5,33.7,0,4.2,11.0,ESE,33,10:09,25.7,80,4,ESE,11,1014.0,32.8,32,4,S,7,1010.2
,2021-07-11,21.5,33.9,0,6.2,11.0,ESE,44,12:29,25.1,36,3,ESE,19,1014.7,32.9,18,2,SSE,20,1010.8
,2021-07-12,18.3,33.5,0,8.2,11.0,SE,41,12:48,22.5,44,1,SSE,9,1014.6,33.0,27,0,E,19,1010.5
,2021-07-13,21.2,33.0,0,6.8,10.5,ESE,33,11:51,24.8,53,1,SSE,11,1012.7,32.9,31,2,E,15,1008.9
,2021-07-14,19.2,33.3,0,6.0,10.9,S,24,13:05,24.3,61,0,S,13,1012.0,32.4,37,1,NW,13,1007.9
,2021-07-15,21.8,31.5,0,7.6,9.7,NE,26,10:05,27.0,76,7,ENE,9,1012.9,30.6,59,8,N,19,1009.7
,2021-07-16,21.1,32.1,0,4.0,9.9,WNW,28,13:34,24.9,80,7,SSW,9,1013.5,30.8,53,6,NW,19,1009.6
,2021-07-17,21.3,32.7,0,4.6,9.0,W,26,12:52,24.1,65,7,SE,11,1012.5,30.9,48,6,NW,13,1009.2
,2021-07-18,21.2,32.0,0,5.0,6.6,E,37,11:26,25.0,77,7,E,9,1013.2,31.1,32,7,N,19,1009.9
,2021-07-19,20.4,33.5,0,4.4,10.5,E,37,11:16,23.6,54,1,SE,11,1015.0,32.5,27,5,E,17,1011.2
,2021-07-20,19.7,33.4,0,6.4,11.2,E,35,11:31,25.2,34,2,E,17,1015.0,32.9,22,0,E,15,1011.5
,2021-07-21,19.3,33.1,0,7.4,11.2,ENE,33,11:46,25.4,39,0,ESE,7,1016.5,32.3,17,0,ESE,13,1011.3
,2021-07-22,17.5,31.0,0,6.2,11.0,NW,22,13:49,23.7,64,2,E,9,1014.7,29.3,41,1,N,17,1010.7
,2021-07-23,18.4,31.7,0,7.8,10.4,NW,28,17:49,24.3,84,0,SE,4,1013.9,30.2,48,0,NW,15,1010.9
,2021-07-24,19.9,32.9,0,4.0,9.7,NW,30,15:02,23.0,97,4,SSE,7,1014.9,30.8,50,0,NW,19,1011.0
,2021-07-25,20.9,30.8,0,3.6,10.2,NW,24,14:07,25.5,85,3,ENE,2,1014.9,29.4,59,1,NW,19,1012.5
,2021-07-26,22.7,32.6,0,4.4,10.4,ENE,33,09:33,26.1,76,6,ENE,17,1013.9,32.4,45,3,NNE,15,1010.7
,2021-07-27,22.1,33.0,0,4.4,10.6,NW,28,13:52,26.4,72,1,ENE,7,1015.1,30.7,50,1,NW,19,1012.0
,2021-07-28,21.7,32.5,0,6.8,10.5,NNW,28,14:08,26.4,74,1,E,13,1015.1,30.6,58,2,N,19,1010.8
,2021-07-29,21.9,31.1,0,5.8,10.1,NW,24,16:29,25.6,77,1,SSE,7,1014.4,30.2,57,1,NNW,13,1011.3
,2021-07-30,22.4,31.8,0,5.0,9.9,N,24,15:20,25.9,86,1,S,7,1014.5,30.2,52,1,N,17,1011.0
,2021-07-31,22.5,31.6,0,6.6,10.2,NW,24,12:10,26.2,78,5,E,7,1015.6,30.5,55,1,NW,15,1011.3
