"Daily Weather Observations for Darwin, Northern Territory for September 2021"
"Prepared at 13:04 UTC on Friday  3 December 2021   IDCJDW8014.202109"
"Copyright 2003 Commonwealth Bureau of Meteorology"
"Observations were drawn from Darwin Airport {station 014015}"

,"Date","Minimum temperature (°C)","Maximum temperature (°C)","Rainfall (mm)","Evaporation (mm)","Sunshine (hours)","Direction of maximum wind gust ","Speed of maximum wind gust (km/h)","Time of maximum wind gust","9am Temperature (°C)","9am relative humidity (%)","9am cloud amount (oktas)","9am wind direction","9am wind speed (km/h)","9am MSL pressure (hPa)","3pm Temperature (°C)","3pm relative humidity (%)","3pm cloud amount (oktas)","3pm wind direction","3pm wind speed (km/h)","3pm MSL pressure (hPa)"
,2021-09-1,25.5,33.8,0,7.6,10.9,WNW,35,14:59,27.7,71,1,SSW,11,1013.8,32.3,58,2,WNW,24,1009.8
,2021-09-2,26.1,34.6,0,7.2,10.2,NE,43,14:25,28.8,62,7,E,17,1013.8,33.2,46,6,NNE,24,1009.1
,2021-09-3,25.7,34.6,0,6.4,10.4,NNE,39,16:44,28.9,67,2,E,15,1012.6,33.4,47,3,NNE,26,1008.3
,2021-09-4,25.4,35.0,0,7.2,10.9,NE,37,10:46,28.3,69,3,NE,15,1012.7,33.7,45,2,N,22,1008.6
,2021-09-5,25.0,35.4,0,7.6,10.5,ESE,44,12:05,28.0,74,4,ENE,13,1013.6,32.9,43,5,NE,17,1009.9
,2021-09-6,23.5,34.1,0,8.8,10.9,SE,43,08:14,25.0,34,2,SE,30,1016.5,32.9,25,7,E,22,1011.7
,2021-09-7,22.6,33.2,0,9.4,11.0,SE,43,07:49,24.2,28,1,SE,28,1016.3,32.0,23,0,ESE,20,1012.0
,2021-09-8,22.8,34.6,0,10.6,10.9,ESE,61,12:01,26.8,46,1,ESE,30,1015.6,34.2,23,2,ESE,28,1011.4
,2021-09-9,24.1,34.7,0,12.0,11.1,ESE,52,13:43,27.7,31,1,ESE,30,1016.0,34.6,26,1,NNE,15,1011.5
,2021-09-10,23.6,34.3,0,10.0,11.1,ENE,43,10:43,26.7,52,2,E,28,1015.5,33.7,34,2,ENE,17,1011.4
,2021-09-11,23.7,33.6,0,9.8,10.8,NNE,35,16:00,27.7,70,3,E,6,1013.7,32.1,44,1,N,24,1009.4
,2021-09-12,24.3,33.1,0,6.6,10.3,N,31,13:09,28.1,75,4,SSE,6,1012.9,31.7,54,2,N,17,1008.6
,2021-09-13,25.2,32.4,0,5.2,4.2,NW,24,13:19,28.1,76,6,SE,7,1014.1,27.4,86,7,SSW,2,1010.4
,2021-09-14,25.5,31.9,4.0,2.4,8.0,E,39,13:21,27.5,84,3,E,9,1015.1,30.3,67,5,NNW,11,1010.7
,2021-09-15,24.9,32.5,12.4,4.8,8.7,NW,30,14:02,28.8,75,6,NNW,4,1014.7,31.2,61,6,NW,20,1010.3
,2021-09-16,24.5,35.0,0,5.8,10.8,N,41,01:02,29.1,63,1,NE,11,1014.4,34.0,46,4,N,22,1009.4
,2021-09-17,23.8,34.3,8.4,9.8,11.0,N,37,17:07,28.2,68,1,SE,6,1014.3,31.4,51,2,N,24,1010.2
,2021-09-18,24.0,33.2,0,6.6,10.9,NW,35,13:09,27.8,70,2,ENE,13,1014.9,30.6,50,7,N,20,1010.9
,2021-09-19,23.6,34.2,0,6.8,11.1,NNE,44,17:20,27.5,61,1,E,19,1015.5,33.4,34,2,NNE,28,1011.5
,2021-09-20,22.1,37.5,0,7.4,11.2,E,59,14:32,27.8,62,1,E,11,1014.7,36.4,19,3,SE,26,1008.9
,2021-09-21,23.3,38.0,0,7.4,11.0,ESE,52,13:06,28.1,68,1,S,6,1013.7,32.8,47,5,NW,26,1009.6
,2021-09-22,23.5,35.8,0,9.0,11.3,SE,43,09:55,27.0,27,1,SE,26,1015.3,34.3,11,0,ESE,15,1010.4
,2021-09-23,19.6,33.7,0,12.0,11.2,SE,37,09:11,24.8,19,1,SE,22,1015.3,32.8,17,0,NNE,17,1010.6
,2021-09-24,20.7,32.2,0,8.0,9.8,N,35,14:13,27.5,52,2,ESE,6,1013.8,30.8,49,1,N,24,1009.7
,2021-09-25,22.8,32.8,0,8.0,8.6,E,33,09:41,28.0,64,6,E,13,1013.2,31.7,50,7,NNW,22,1009.0
,2021-09-26,24.9,33.0,0,7.0,10.6,N,39,12:15,28.9,60,1,ENE,9,1012.8,30.8,58,7,N,22,1008.4
,2021-09-27,24.0,33.0,0,7.6,8.8,NW,30,13:32,28.3,70,7,N,4,1012.1,31.5,58,3,WNW,17,1008.3
,2021-09-28,24.9,34.3,0,6.0,10.8,NNE,31,15:46,29.2,63,3,NNE,6,1011.8,32.2,52,3,N,19,1008.0
,2021-09-29,24.7,34.7,0,4.4,11.1,NW,33,13:17,29.0,67,4,E,6,1012.8,32.7,51,1,NNW,17,1008.9
,2021-09-30,26.0,33.8,0,7.8,11.1,NNW,30,12:02,29.0,67,4,NE,13,1013.1,32.5,54,1,NNW,20,1008.9
