"Daily Weather Observations for Darwin, Northern Territory for January 2022"
"Prepared at 13:03 UTC on Sunday 11 December 2022   IDCJDW8014.202201"
"Copyright 2003 Commonwealth Bureau of Meteorology"
"Observations were drawn from Darwin Airport {station 014015}"

,"Date","Minimum temperature (°C)","Maximum temperature (°C)","Rainfall (mm)","Evaporation (mm)","Sunshine (hours)","Direction of maximum wind gust ","Speed of maximum wind gust (km/h)","Time of maximum wind gust","9am Temperature (°C)","9am relative humidity (%)","9am cloud amount (oktas)","9am wind direction","9am wind speed (km/h)","9am MSL pressure (hPa)","3pm Temperature (°C)","3pm relative humidity (%)","3pm cloud amount (oktas)","3pm wind direction","3pm wind speed (km/h)","3pm MSL pressure (hPa)"
,2022-01-1,28.2,33.9,0,7.0,10.3,NW,35,14:24,30.9,71,7,W,13,1009.4,33.1,59,6,WNW,24,1006.5
,2022-01-2,28.5,35.1,0,7.4,10.8,WNW,33,13:01,31.4,71,3,SW,13,1009.1,34.1,60,3,NW,26,1006.0
,2022-01-3,28.7,34.4,0,7.6,7.8,SE,54,16:09,31.0,74,5,WNW,19,1007.6,33.0,62,8,WNW,26,1004.9
,2022-01-4,23.3,33.4,35.0,8.2,8.5,NW,30,22:01,27.0,86,7,E,4,1007.7,33.3,64,6,WNW,15,1005.2
,2022-01-5,26.8,33.1,0,5.6,8.5,E,57,21:50,30.9,76,7,W,9,1007.8,31.8,71,7,WNW,20,1004.7
,2022-01-6,22.5,33.4,3.4,7.0,9.6,NW,35,10:20,29.1,67,3,NW,17,1008.9,32.9,61,6,WSW,19,1007.2
,2022-01-7,22.0,33.7,60.8,,11.4,SE,69,01:32,29.5,75,4,WNW,22,1009.0,33.1,61,2,W,19,1007.4
,2022-01-8,28.1,34.2,0,6.0,12.0,NW,30,12:14,30.8,73,3,W,19,1009.9,33.5,62,1,WNW,20,1006.5
,2022-01-9,24.1,33.4,1.0,6.8,11.1,ENE,50,03:50,29.0,74,6,N,15,1010.1,32.2,62,5,W,15,1006.8
,2022-01-10,25.7,33.8,0,7.2,10.7,WNW,35,13:54,30.1,76,7,WNW,7,1009.9,33.3,63,4,W,26,1007.3
,2022-01-11,28.3,34.2,0,6.2,11.3,WNW,37,14:47,31.0,73,5,W,20,1009.6,33.2,64,3,NW,30,1007.2
,2022-01-12,21.8,29.7,27.0,7.0,0.7,E,67,06:14,23.4,89,8,SSE,28,1010.0,27.8,73,8,NW,17,1004.5
,2022-01-13,22.6,32.7,14.2,5.0,5.4,NW,44,16:55,28.2,82,7,NW,19,1006.2,27.8,87,7,N,11,1004.4
,2022-01-14,25.7,34.1,4.0,4.8,6.2,WNW,35,02:40,29.2,85,6,NNE,17,1007.5,31.2,70,7,N,15,1006.8
,2022-01-15,25.7,33.3,0,6.0,8.6,N,31,11:08,29.4,81,7,NNE,13,1008.4,32.2,67,7,NNW,20,1006.4
,2022-01-16,27.9,33.6,0,4.8,7.6,WNW,72,14:39,30.4,76,6,NNW,17,1008.7,25.3,94,8,WSW,37,1007.8
,2022-01-17,24.7,30.4,15.4,4.8,1.4,WNW,33,10:47,29.0,85,5,E,6,1008.2,27.1,93,7,SE,4,1006.5
,2022-01-18,25.2,32.2,10.2,2.4,7.6,WNW,31,13:42,30.0,76,7,W,15,1007.3,30.4,72,7,W,17,1004.4
,2022-01-19,26.9,30.7,0,2.6,1.6,N,37,12:22,28.5,90,8,ESE,6,1006.1,29.4,78,7,WNW,11,1003.9
,2022-01-20,24.5,31.9,23.2,5.8,4.1,N,30,14:31,29.2,81,5,ESE,4,1005.9,26.9,93,8,N,15,1004.7
,2022-01-21,24.9,32.4,29.2,7.6,3.7,N,24,16:35,29.2,83,6,ESE,6,1007.0,31.6,66,7,NNW,13,1004.7
,2022-01-22,26.1,31.5,7.0,2.8,4.0,NW,24,13:13,29.5,78,7,NW,11,1006.6,29.9,77,7,WNW,11,1004.4
,2022-01-23,24.8,31.6,16.8,4.6,0.7,S,43,13:45,26.6,93,7,SW,6,1006.9,25.6,93,7,S,11,1004.2
,2022-01-24,25.1,30.7,2.6,1.4,1.0,WNW,44,10:50,28.7,83,7,WSW,9,1006.4,25.2,94,8,W,19,1004.0
,2022-01-25,24.2,30.8,24.8,4.4,7.3,W,56,02:03,26.2,90,,NNW,4,1006.8,30.0,74,7,NNW,17,1003.8
,2022-01-26,26.2,31.5,0,3.8,4.3,SW,39,11:21,29.8,80,7,NNW,22,1007.2,28.8,75,7,W,17,1005.8
,2022-01-27,25.0,32.6,14.2,,6.9,NW,39,16:53,29.7,80,7,NNW,13,1008.4,32.2,75,7,WNW,22,1004.9
,2022-01-28,24.5,31.3,5.4,6.0,1.4,W,59,16:28,28.6,82,7,NNW,15,1007.5,28.0,85,8,WNW,24,1005.0
,2022-01-29,24.3,31.8,22.2,4.8,4.5,NW,59,11:22,30.1,73,7,NW,31,1005.8,28.9,82,8,WNW,30,1003.3
,2022-01-30,23.9,31.3,58.4,3.8,1.6,WNW,69,01:50,25.2,95,8, ,Calm,1005.4,28.9,79,8,WNW,35,1002.7
,2022-01-31,24.7,32.5,18.2,3.2,6.4,WNW,67,09:28,29.9,72,7,NW,30,1005.0,32.1,63,7,NW,41,1003.4
