"Daily Weather Observations for Darwin, Northern Territory for February 2022"
"Prepared at 13:03 UTC on Saturday 10 December 2022   IDCJDW8014.202202"
"Copyright 2003 Commonwealth Bureau of Meteorology"
"Observations were drawn from Darwin Airport {station 014015}"

,"Date","Minimum temperature (°C)","Maximum temperature (°C)","Rainfall (mm)","Evaporation (mm)","Sunshine (hours)","Direction of maximum wind gust ","Speed of maximum wind gust (km/h)","Time of maximum wind gust","9am Temperature (°C)","9am relative humidity (%)","9am cloud amount (oktas)","9am wind direction","9am wind speed (km/h)","9am MSL pressure (hPa)","3pm Temperature (°C)","3pm relative humidity (%)","3pm cloud amount (oktas)","3pm wind direction","3pm wind speed (km/h)","3pm MSL pressure (hPa)"
,2022-02-1,23.1,32.1,6.0,4.8,6.5,NNW,67,10:36,28.7,84,3,NNW,22,1006.3,31.5,69,3,NW,33,1005.0
,2022-02-2,23.1,28.9,50.4,,0.0,W,67,00:26,24.3,96,8,W,26,1007.6,28.2,83,8,NW,17,1005.4
,2022-02-3,24.2,29.7,15.4,1.8,0.0,WNW,54,06:10,28.3,76,8,WNW,17,1006.5,28.4,85,8,W,13,1004.5
,2022-02-4,24.5,27.9,8.6,2.6,0.0,NW,39,13:06,26.2,85,8,WNW,24,1006.4,26.3,86,8,WNW,11,1005.3
,2022-02-5,23.9,31.9,17.0,1.8,7.3,WNW,30,14:36,27.2,87,7,W,6,1008.2,30.9,69,6,NW,20,1005.4
,2022-02-6,25.2,29.8,2.2,6.8,1.4,NW,24,10:03,27.0,95,7,N,7,1009.4,27.2,88,8,W,11,1007.3
,2022-02-7,24.9,31.1,6.8,2.2,3.5,SW,43,10:40,29.6,80,6,W,9,1009.8,29.6,78,7,W,17,1006.9
,2022-02-8,25.0,31.7,9.6,3.6,3.7,W,31,10:27,28.2,84,7,W,11,1009.6,30.7,75,7,WNW,19,1005.7
,2022-02-9,25.9,34.1,0,4.0,8.8,N,31,13:46,28.2,85,7,SSE,6,1008.3,32.4,67,6,NNE,17,1005.3
,2022-02-10,26.7,33.5,0,6.0,7.0,NNE,28,13:32,28.3,88,4,ENE,7,1009.3,33.4,57,4,NNE,11,1006.3
,2022-02-11,26.5,35.4,0.2,5.2,11.8,NW,33,15:50,29.5,75,5,SE,9,1009.4,34.6,48,4,SE,6,1005.6
,2022-02-12,25.8,33.8,0,5.6,10.8,SSE,31,20:16,29.6,76,6,E,6,1007.9,32.7,66,7,NNW,17,1004.8
,2022-02-13,24.6,33.8,0,7.6,10.7,SSW,33,20:35,30.1,73,1,NE,2,1008.7,30.1,74,6,W,19,1006.2
,2022-02-14,25.0,33.5,0,5.8,11.8,N,26,16:31,29.6,64,4,E,4,1011.3,32.3,56,3,NW,11,1008.3
,2022-02-15,21.9,34.3,18.0,8.2,11.8,ENE,57,00:17,28.1,79,1,SSE,7,1010.7,33.8,44,3,ENE,19,1006.5
,2022-02-16,26.3,33.2,0,6.4,11.4,NW,22,14:51,30.7,69,1,SSW,2,1007.7,32.2,62,2,NW,15,1004.8
,2022-02-17,22.5,32.2,27.8,7.8,6.3,ESE,57,01:11,27.9,81,4,ESE,4,1008.3,31.6,67,5,NW,13,1005.3
,2022-02-18,24.4,32.2,13.4,4.8,8.0,W,22,13:16,28.6,85,1,SSE,7,1008.8,30.3,77,5,NNW,9,1006.5
,2022-02-19,22.7,33.3,11.4,5.2,9.3,SE,50,02:39,27.9,71,2,E,11,1008.1,32.5,61,6,NNW,11,1005.4
,2022-02-20,24.2,33.8,1.2,5.4,5.2,S,35,19:23,26.6,81,7,ESE,6,1007.0,31.7,66,7,NNW,11,1004.1
,2022-02-21,25.1,33.0,0.4,4.0,5.5,ENE,67,15:48,30.1,80,4,NNE,4,1006.3,31.1,71,5,N,7,1003.0
,2022-02-22,22.3,32.5,37.0,6.8,4.2,ESE,48,20:08,28.2,85,7,NNW,13,1007.7,31.2,73,6,WSW,7,1004.7
,2022-02-23,22.6,29.0,46.4,6.0,0.5,N,52,15:22,26.2,91,8,NNE,15,1008.9,28.6,74,8,N,31,1007.0
,2022-02-24,25.6,29.1,0.2,4.2,0.1,E,35,14:31,27.0,86,7,ENE,17,1008.3,25.6,93,8,E,20,1006.8
,2022-02-25,23.7,25.9,35.4,1.0,0.0,NNE,46,04:46,24.7,96,8,NE,17,1007.4,25.2,94,7,NNE,9,1004.5
,2022-02-26,23.7,29.3,32.8,2.2,0.0,NW,43,10:07,25.5,93,8,S,11,1006.8,26.6,88,8,NE,15,1004.7
,2022-02-27,24.1,31.6,10.4,1.6,7.8,W,44,16:59,28.7,79,6,N,19,1007.4,30.5,71,7,WNW,19,1004.6
,2022-02-28,25.4,31.8,1.6,4.6,6.5,WNW,43,13:59,25.8,88,7,NW,6,1009.6,28.1,83,7,WNW,20,1007.0
