"Daily Weather Observations for Darwin, Northern Territory for March 2022"
"Prepared at 13:03 UTC on Friday  9 December 2022   IDCJDW8014.202203"
"Copyright 2003 Commonwealth Bureau of Meteorology"
"Observations were drawn from Darwin Airport {station 014015}"

,"Date","Minimum temperature (°C)","Maximum temperature (°C)","Rainfall (mm)","Evaporation (mm)","Sunshine (hours)","Direction of maximum wind gust ","Speed of maximum wind gust (km/h)","Time of maximum wind gust","9am Temperature (°C)","9am relative humidity (%)","9am cloud amount (oktas)","9am wind direction","9am wind speed (km/h)","9am MSL pressure (hPa)","3pm Temperature (°C)","3pm relative humidity (%)","3pm cloud amount (oktas)","3pm wind direction","3pm wind speed (km/h)","3pm MSL pressure (hPa)"
,2022-03-1,25.8,31.7,0,5.8,6.1,W,33,12:03,29.2,81,7,NW,17,1009.2,30.8,66,3,WNW,20,1007.0
,2022-03-2,26.9,32.3,0,4.0,10.7,WNW,37,14:30,29.7,78,3,WNW,15,1008.6,31.8,66,4,WNW,26,1006.4
,2022-03-3,27.1,33.2,0,6.0,9.2,WNW,35,15:07,29.2,77,3,W,13,1009.0,32.6,65,5,WNW,26,1006.2
,2022-03-4,28.2,34.6,0,8.0,10.3,W,39,15:44,29.9,78,4,WSW,13,1009.3,33.6,66,2,W,22,1005.9
,2022-03-5,28.0,34.2,0,5.2,11.1,WNW,33,14:56,29.5,86,4,SW,13,1007.2,32.5,73,1,WNW,26,1003.4
,2022-03-6,28.6,34.0,0,6.0,7.9,NW,26,00:34,29.5,78,6,W,9,1007.7,31.9,70,7,WNW,17,1004.1
,2022-03-7,27.1,33.2,0.8,5.8,7.2,SE,28,10:59,29.8,85,7,SW,4,1008.3,32.6,68,7,NW,11,1005.1
,2022-03-8,27.5,33.8,0.4,4.8,6.4,SSE,33,23:03,30.5,76,7,NW,9,1008.3,32.4,64,7,WNW,9,1005.8
,2022-03-9,25.0,36.0,0,7.2,9.5,ESE,43,20:02,28.1,69,6,E,7,1008.1,35.3,53,3,N,15,1005.4
,2022-03-10,25.4,33.8,0,5.8,7.5,NNW,26,12:51,29.6,80,6,ENE,4,1009.4,32.3,66,5,NNW,13,1005.8
,2022-03-11,27.4,33.2,0,5.0,5.3,WNW,28,14:51,30.3,79,5,SSW,9,1009.2,31.5,70,6,NW,15,1005.7
,2022-03-12,24.4,34.2,3.6,4.4,10.4,E,46,22:08,27.6,78,6,SSE,13,1009.5,34.0,61,4,NW,13,1005.7
,2022-03-13,25.7,33.1,1.4,5.4,6.9,SE,61,20:51,28.9,79,3,ESE,7,1010.2,27.9,87,4,NNW,9,1006.9
,2022-03-14,22.6,32.8,31.4,7.6,7.4,ENE,57,18:01,27.2,90,6,S,2,1009.1,32.3,66,6,W,15,1005.7
,2022-03-15,23.5,33.5,21.2,6.8,10.2,NE,37,17:35,27.1,85,6,SE,15,1008.4,32.7,59,4,E,17,1004.9
,2022-03-16,25.7,32.7,0,5.6,7.5,E,37,11:11,28.5,73,6,E,20,1007.8,31.2,63,7,ENE,19,1005.3
,2022-03-17,24.8,31.2,0,6.4,0.1,ENE,37,03:19,27.6,83,8,NE,7,1008.9,30.9,66,7,NNE,11,1006.4
,2022-03-18,26.6,33.3,0,3.0,10.1,NW,30,15:11,30.3,77,4,W,11,1008.2,32.7,69,3,WNW,22,1003.9
,2022-03-19,26.6,33.3,0,5.6,9.9,N,35,14:32,31.0,69,5,W,9,1007.6,30.2,70,6,NW,11,1004.6
,2022-03-20,25.1,34.7,1.4,5.8,10.3,SE,54,18:50,30.6,74,6,S,4,1009.0,34.2,55,6,WNW,17,1006.2
,2022-03-21,25.6,35.0,0.6,6.4,7.1,S,33,18:57,30.1,78,1,S,7,1009.3,31.8,75,5,NW,19,1006.0
,2022-03-22,26.2,34.1,0,5.0,6.9,SSE,39,23:53,30.1,80,7,S,2,1010.0,31.2,65,7,W,20,1005.7
,2022-03-23,23.8,33.3,0,5.8,8.3,SE,31,00:01,28.1,78,6,SSE,9,1009.3,32.9,61,7,NW,13,1005.9
,2022-03-24,27.4,33.9,0,4.4,4.8,ENE,61,15:36,29.9,82,7,SW,7,1009.4,32.2,64,7,WNW,30,1005.8
,2022-03-25,23.0,32.6,12.0,3.6,9.5,N,24,13:22,27.1,85,4,S,6,1010.3,32.1,60,3,N,15,1006.4
,2022-03-26,24.9,32.2,0,5.6,3.5,NE,28,04:34,26.6,86,8,E,6,1009.6,29.1,82,8,NNW,13,1007.0
,2022-03-27,25.7,33.6,6.8,3.0,5.9,NNW,41,14:32,28.8,83,7,SSW,7,1010.0,27.3,90,7,WSW,19,1006.8
,2022-03-28,25.2,33.8,8.0,5.2,7.3,ESE,59,18:53,28.0,86,7,S,7,1009.8,31.6,69,7,WNW,15,1006.2
,2022-03-29,23.6,32.3,34.2,8.2,4.8,SE,54,09:32,23.6,85,7,SW,19,1010.3,29.7,69,7,WNW,17,1007.9
,2022-03-30,23.5,33.3,50.6,10.2,9.0,ESE,39,14:15,30.6,73,3,WNW,9,1010.8,28.9,76,5,WSW,13,1008.0
,2022-03-31,25.6,33.3,6.0,6.0,8.9,WNW,31,13:17,29.8,75,1,WSW,11,1011.4,31.7,59,6,W,20,1007.8
