"Daily Weather Observations for Darwin, Northern Territory for April 2022"
"Prepared at 13:03 UTC on Thursday  8 December 2022   IDCJDW8014.202204"
"Copyright 2003 Commonwealth Bureau of Meteorology"
"Observations were drawn from Darwin Airport {station 014015}"

,"Date","Minimum temperature (°C)","Maximum temperature (°C)","Rainfall (mm)","Evaporation (mm)","Sunshine (hours)","Direction of maximum wind gust ","Speed of maximum wind gust (km/h)","Time of maximum wind gust","9am Temperature (°C)","9am relative humidity (%)","9am cloud amount (oktas)","9am wind direction","9am wind speed (km/h)","9am MSL pressure (hPa)","3pm Temperature (°C)","3pm relative humidity (%)","3pm cloud amount (oktas)","3pm wind direction","3pm wind speed (km/h)","3pm MSL pressure (hPa)"
,2022-04-1,26.5,32.2,13.2,4.4,9.6,E,63,17:42,30.1,80,3,SW,17,1010.7,31.5,72,6,NW,22,1006.9
,2022-04-2,23.9,33.6,12.8,7.6,10.5,W,35,16:20,29.9,77,1,WSW,11,1010.2,32.0,62,4,W,22,1005.8
,2022-04-3,26.6,33.6,0,6.6,7.6,WSW,39,14:36,30.2,77,4,SE,4,1009.4,29.9,63,6,WSW,24,1006.8
,2022-04-4,26.3,32.9,0,4.6,7.5,ESE,43,18:26,29.3,82,1,E,7,1010.5,29.5,72,6,N,2,1007.6
,2022-04-5,24.7,33.4,2.0,3.0,10.2,SSE,46,19:44,29.8,75,1,ENE,7,1012.2,32.8,61,2,NW,11,1007.5
,2022-04-6,23.3,33.8,7.8,6.8,8.6,E,44,21:38,27.2,81,5,SE,6,1010.5,32.8,60,3,NW,15,1006.2
,2022-04-7,23.9,35.0,6.0,6.0,7.3,ENE,44,00:53,26.4,89,7,S,15,1009.5,33.8,54,3,SSW,11,1005.5
,2022-04-8,26.2,34.7,0,5.0,10.5,WNW,22,14:10,29.7,82,2,SE,4,1008.9,33.4,52,2,NW,13,1005.4
,2022-04-9,25.5,33.5,0,5.8,7.0,N,31,15:03,29.7,80,3,E,6,1010.3,28.8,77,6,N,9,1007.1
,2022-04-10,25.0,34.0,4.6,5.2,11.0,NW,28,15:29,28.5,86,1,SSE,11,1010.2,33.0,58,3,WNW,20,1006.5
,2022-04-11,25.9,34.2,0,6.4,10.3,WNW,30,14:22,30.1,71,2,WSW,7,1009.5,33.4,56,7,WNW,22,1006.3
,2022-04-12,26.2,34.7,0,6.6,8.0,ENE,85,18:32,31.1,63,2,ESE,6,1008.4,31.9,66,7,NNW,13,1005.9
,2022-04-13,23.8,33.5,21.8,9.2,6.7,E,72,19:31,27.2,85,3,SE,15,1009.7,32.2,62,5,NNE,19,1006.7
,2022-04-14,23.6,33.4,17.8,5.4,8.5,ENE,41,16:25,27.4,82,2,SE,15,1010.3,32.9,57,5,ENE,17,1006.9
,2022-04-15,25.7,33.3,7.2,5.6,10.7,ESE,30,10:55,28.3,85,3,SE,13,1010.8,32.6,55,7,E,15,1007.5
,2022-04-16,25.7,34.4,0,4.8,10.4,ESE,54,22:39,29.4,80,1,SE,9,1010.3,34.0,50,5,SSE,6,1006.3
,2022-04-17,24.6,33.6,0,4.8,11.2,E,26,11:10,27.9,75,1,ESE,9,1010.1,33.3,49,2,ESE,13,1007.4
,2022-04-18,25.8,33.2,0,6.6,10.8,NW,30,15:33,29.7,77,1,N,7,1011.1,32.6,63,2,WNW,17,1008.3
,2022-04-19,25.8,34.3,2.6,5.2,10.6,NW,26,15:04,29.6,84,2,S,9,1011.2,31.7,69,6,NW,19,1007.6
,2022-04-20,25.5,34.2,0,6.2,9.7,ESE,39,11:26,28.4,84,3,SE,11,1011.0,33.4,51,6,ESE,22,1007.2
,2022-04-21,25.1,34.2,3.2,5.6,8.8,E,54,00:28,27.9,81,7,SE,15,1011.4,33.4,44,7,E,20,1007.9
,2022-04-22,25.5,35.2,0,5.6,10.8,WNW,22,13:17,29.9,81,1,ESE,2,1011.0,34.6,41,1,NW,11,1008.0
,2022-04-23,24.0,35.2,0,5.8,11.0,E,26,13:14,28.3,53,1,SSE,13,1009.1,35.0,37,2,E,9,1006.9
,2022-04-24,24.5,34.3,0,6.6,10.6,WNW,28,12:35,29.8,78,2,SW,2,1009.3,33.3,48,2,NW,17,1005.4
,2022-04-25,25.8,35.2,0,5.0,10.9,ESE,22,13:09,29.9,70,1,S,9,1008.2,33.8,48,1,NNW,13,1004.8
,2022-04-26,25.9,33.7,0,7.2,10.3,NW,30,13:03,31.0,68,1,WNW,9,1007.5,32.0,63,4,NW,17,1005.5
,2022-04-27,26.4,33.3,0,5.6,10.4,N,24,06:07,30.2,68,2,WSW,4,1009.7,32.2,62,4,WNW,17,1006.5
,2022-04-28,26.8,33.2,0,5.6,4.6,ESE,35,15:35,29.7,73,1,ENE,7,1010.6,29.5,78,6,WNW,6,1007.7
,2022-04-29,23.3,33.7,7.6,3.8,8.8,SE,50,06:23,27.2,81,7,S,11,1012.0,32.3,57,2,NW,11,1008.2
,2022-04-30,25.1,34.9,0.2,5.0,11.0,ENE,31,03:52,29.3,78,1,ESE,11,1011.7,34.2,45,3,ENE,9,1008.3
