"Daily Weather Observations for Darwin, Northern Territory for June 2022"
"Prepared at 13:03 UTC on Tuesday  6 December 2022   IDCJDW8014.202206"
"Copyright 2003 Commonwealth Bureau of Meteorology"
"Observations were drawn from Darwin Airport {station 014015}"

,"Date","Minimum temperature (°C)","Maximum temperature (°C)","Rainfall (mm)","Evaporation (mm)","Sunshine (hours)","Direction of maximum wind gust ","Speed of maximum wind gust (km/h)","Time of maximum wind gust","9am Temperature (°C)","9am relative humidity (%)","9am cloud amount (oktas)","9am wind direction","9am wind speed (km/h)","9am MSL pressure (hPa)","3pm Temperature (°C)","3pm relative humidity (%)","3pm cloud amount (oktas)","3pm wind direction","3pm wind speed (km/h)","3pm MSL pressure (hPa)"
,2022-06-1,25.1,33.1,0.2,3.2,7.0,NE,37,11:40,26.5,88,7,ESE,9,1012.3,32.3,58,7,NNE,15,1009.3
,2022-06-2,24.7,32.6,0,4.0,10.7,NE,31,10:28,27.5,80,3,E,17,1012.5,32.0,53,4,ENE,17,1009.7
,2022-06-3,24.4,33.3,0,5.8,10.3,WSW,26,14:27,27.9,78,3,E,11,1013.2,32.9,56,4,WNW,17,1009.1
,2022-06-4,25.0,33.9,0,3.4,8.6,ENE,37,16:54,28.8,76,2,SE,6,1012.5,31.6,61,4,N,19,1009.5
,2022-06-5,25.0,33.5,0,4.4,7.2,NNW,30,16:08,27.8,81,2,ESE,13,1012.6,31.5,64,6,N,17,1009.2
,2022-06-6,25.1,33.2,0,4.4,9.9,N,24,16:26,28.3,82,2,SE,9,1011.2,31.9,62,3,NW,13,1008.1
,2022-06-7,24.6,34.6,0,3.6,10.8,ESE,37,12:04,28.5,79,1,E,11,1011.9,33.9,45,2,ENE,17,1008.5
,2022-06-8,25.0,33.6,0,5.8,10.9,ESE,43,10:11,28.4,66,5,E,20,1013.3,32.8,44,1,ESE,17,1009.4
,2022-06-9,22.0,32.0,0,7.8,11.0,ESE,43,09:51,24.5,48,6,SE,17,1013.8,31.4,31,2,ESE,24,1009.8
,2022-06-10,19.6,31.2,0,9.0,10.3,SE,41,09:40,22.6,31,7,SE,24,1014.5,30.3,21,1,SE,20,1010.3
,2022-06-11,17.3,29.8,0,9.6,10.7,ESE,35,11:00,20.6,33,4,SE,17,1014.5,29.1,22,1,SE,9,1011.6
,2022-06-12,17.7,31.0,0,7.2,10.9,ESE,43,10:34,20.9,31,0,SE,19,1014.8,30.6,31,0,ESE,11,1010.8
,2022-06-13,19.4,31.3,0,7.0,11.0,ESE,33,11:05,22.3,35,0,SE,15,1014.9,30.4,27,1,SE,13,1011.5
,2022-06-14,20.6,32.1,0,7.0,10.8,E,35,10:57,24.3,41,1,E,20,1014.2,31.5,20,0,ENE,15,1011.6
,2022-06-15,20.2,33.1,0,6.4,10.6,ESE,37,10:46,24.9,52,0,ESE,24,1014.6,32.4,30,1,ESE,17,1011.3
,2022-06-16,19.8,32.8,0,6.8,10.8,E,37,11:34,24.5,43,1,SE,17,1014.6,32.1,43,1,ESE,15,1011.2
,2022-06-17,20.9,32.6,0,7.8,10.9,SE,39,11:41,25.3,54,0,SE,15,1013.5,32.0,36,0,E,20,1010.5
,2022-06-18,21.9,33.4,0,7.2,10.8,ESE,31,12:03,25.1,56,0,ESE,13,1012.7,32.3,31,1,E,13,1009.6
,2022-06-19,19.5,33.4,0,6.4,11.0,E,28,11:43,24.6,61,1,E,9,1013.0,30.9,54,1,NNW,19,1009.1
,2022-06-20,19.2,33.1,0,4.6,8.8,E,30,11:33,24.3,69,5,ENE,9,1011.4,32.1,34,7,NW,7,1009.0
,2022-06-21,21.4,32.7,0,5.0,9.1,E,41,12:57,23.3,88,6,SSE,17,1012.9,32.0,35,2,ESE,22,1010.1
,2022-06-22,20.1,31.8,0,7.6,10.3,ESE,46,11:39,22.6,49,1,SE,19,1015.2,31.2,33,2,SE,22,1011.5
,2022-06-23,21.6,31.7,0,7.4,10.8,ESE,50,10:28,24.3,55,2,SE,17,1016.3,30.8,30,2,SE,15,1011.7
,2022-06-24,21.1,31.7,0,7.8,8.7,ESE,41,11:38,21.9,62,7,SE,19,1014.1,30.6,30,1,E,20,1010.4
,2022-06-25,18.6,31.7,0,6.6,8.6,ENE,35,10:38,23.0,65,7,E,17,1012.8,30.9,41,1,SE,20,1009.3
,2022-06-26,20.8,32.3,0,6.0,6.6,ESE,39,09:46,25.6,53,2,ESE,19,1012.3,31.3,39,7,WNW,7,1009.5
,2022-06-27,24.1,28.8,0,6.2,0.3,ESE,48,11:33,25.1,48,7,SSE,17,1013.2,27.9,46,8,SE,22,1011.2
,2022-06-28,23.6,29.9,0,7.6,2.5,SE,44,10:24,24.4,40,8,SE,22,1013.3,29.0,39,6,SSE,22,1009.7
,2022-06-29,19.1,25.3,0.2,8.4,0.0,SSE,46,09:47,20.8,57,7,SSE,26,1012.1,24.9,56,8,SE,28,1009.9
,2022-06-30,20.3,26.4,4.8,4.6,0.4,SSE,46,22:18,21.3,73,7,SSE,24,1012.6,25.5,54,7,SE,22,1010.3
