"Daily Weather Observations for Darwin, Northern Territory for October 2022"
"Prepared at 16:03 UTC on Friday  2 December 2022   IDCJDW8014.202210"
"Copyright 2003 Commonwealth Bureau of Meteorology"
"Observations were drawn from Darwin Airport {station 014015}"

,"Date","Minimum temperature (°C)","Maximum temperature (°C)","Rainfall (mm)","Evaporation (mm)","Sunshine (hours)","Direction of maximum wind gust ","Speed of maximum wind gust (km/h)","Time of maximum wind gust","9am Temperature (°C)","9am relative humidity (%)","9am cloud amount (oktas)","9am wind direction","9am wind speed (km/h)","9am MSL pressure (hPa)","3pm Temperature (°C)","3pm relative humidity (%)","3pm cloud amount (oktas)","3pm wind direction","3pm wind speed (km/h)","3pm MSL pressure (hPa)"
,2022-10-1,23.7,29.7,18.2,10.4,3.3,NNE,37,04:50,26.2,85,7,SSE,2,1012.4,27.8,78,7,SSW,22,1009.0
,2022-10-2,22.3,33.1,7.4,2.8,7.8,NNW,33,18:01,25.8,70,7,S,22,1011.5,32.4,46,7,W,7,1007.9
,2022-10-3,25.4,33.7,0,6.8,5.5,WNW,28,15:17,29.3,70,7,N,13,1010.0,32.6,55,3,NW,9,1006.2
,2022-10-4,25.7,30.9,27.2,8.6,2.6,E,33,15:26,27.6,88,7,S,11,1012.1,29.4,71,7,SSW,9,1008.5
,2022-10-5,24.3,33.2,31.4,3.8,10.7,N,37,15:00,28.9,70,1,ENE,9,1011.7,30.9,68,6,N,22,1008.4
,2022-10-6,25.9,34.3,5.6,5.8,8.1,NNE,37,13:18,28.3,90,7,ESE,9,1013.1,33.3,51,4,N,20,1008.5
,2022-10-7,25.5,33.2,0,6.8,10.8,NW,28,13:23,29.7,71,1,SSW,7,1012.0,32.2,66,3,NW,20,1008.1
,2022-10-8,26.0,34.2,1.0,5.8,11.0,SE,137,21:17,29.9,70,2,SSW,7,1013.1,32.9,59,3,WNW,20,1007.9
,2022-10-9,21.7,33.4,29.8,12.8,6.3,S,37,17:21,29.5,74,1,SE,6,1012.3,31.5,67,5,NNW,15,1008.5
,2022-10-10,26.0,35.4,8.6,3.8,10.4,ESE,31,12:04,29.5,78,1,S,9,1012.2,33.3,59,5,NNW,19,1008.0
,2022-10-11,26.4,33.8,0,7.4,10.0,NW,31,14:45,30.4,69,2,NNW,2,1011.3,32.6,60,2,WNW,22,1006.7
,2022-10-12,26.7,32.4,0,7.0,3.0,WNW,35,16:14,29.8,75,7,WNW,9,1011.6,31.3,66,7,WNW,20,1007.3
,2022-10-13,26.4,33.9,0.4,3.8,9.9,WNW,28,18:04,30.6,70,3,WNW,9,1010.7,33.0,56,4,NW,17,1006.6
,2022-10-14,26.7,34.0,0,7.8,9.7,NNW,28,11:57,31.3,62,1,NE,9,1010.5,33.1,55,2,NW,13,1006.9
,2022-10-15,26.8,34.3,0,7.6,8.9,NNE,43,13:21,31.0,63,3,E,6,1011.9,32.5,66,4,NNW,17,1007.9
,2022-10-16,26.3,34.1,1.8,5.4,9.4,SSE,41,16:59,30.2,73,5,WSW,9,1013.0,32.3,67,5,NW,22,1008.9
,2022-10-17,25.9,34.2,0.4,5.8,9.3,N,39,17:47,29.9,75,6,NE,7,1012.5,33.5,58,5,WNW,15,1008.4
,2022-10-18,25.9,32.7,2.0,6.0,6.6,SE,50,11:55,29.4,82,5,S,6,1012.0,31.9,63,2,ENE,9,1008.3
,2022-10-19,23.1,31.8,19.6,6.6,6.7,NE,33,13:19,30.3,67,3,NNW,9,1012.5,28.4,75,7,SSE,9,1010.0
,2022-10-20,24.3,34.0,0,4.4,10.5,ESE,35,23:30,30.3,73,2,ENE,2,1013.0,32.7,56,2,WNW,19,1009.1
,2022-10-21,24.5,34.7,1.4,7.2,11.1,WNW,35,16:04,30.5,74,1,WSW,6,1012.6,33.5,63,2,WNW,22,1007.9
,2022-10-22,28.8,34.7,0,7.4,11.0,NW,39,13:56,30.9,75,2,SSE,9,1011.9,33.4,55,1,WNW,31,1007.1
,2022-10-23,28.2,33.9,0,8.0,11.6,WNW,41,14:52,31.4,70,1,WNW,13,1009.5,32.9,67,1,NW,31,1005.1
,2022-10-24,29.2,33.8,0,8.4,11.3,WNW,41,14:17,31.1,74,4,NW,26,1008.5,33.1,67,2,NW,30,1005.5
,2022-10-25,28.9,34.2,0,8.4,11.1,NW,37,12:29,31.6,65,3,WNW,24,1009.8,33.1,58,2,WNW,28,1006.5
,2022-10-26,28.6,33.6,0,8.0,11.2,NW,37,15:22,31.2,69,6,NW,17,1009.6,32.7,64,1,NW,24,1005.5
,2022-10-27,28.6,34.3,0,8.2,11.6,NW,33,14:34,31.1,69,4,NW,17,1008.7,32.8,61,4,NW,22,1004.6
,2022-10-28,28.3,34.8,0,8.4,10.3,NW,26,14:21,32.0,66,4,WNW,13,1009.1,33.9,52,3,NW,17,1005.7
,2022-10-29,26.0,34.8,0,7.6,11.5,NNW,39,18:05,30.8,67,4,NW,7,1009.3,34.2,50,3,WNW,15,1006.1
,2022-10-30,26.8,36.4,0,8.0,11.8,NW,31,15:12,31.0,63,3,W,9,1009.3,35.2,35,7,NW,22,1006.0
,2022-10-31,26.6,35.2,0,9.2,11.9,WNW,30,15:05,30.2,70,5,WSW,9,1010.5,34.3,50,5,NW,22,1006.4
