"Daily Weather Observations for Darwin, Northern Territory for November 2022"
"Prepared at 13:03 UTC on Wednesday  7 December 2022   IDCJDW8014.202211"
"Copyright 2003 Commonwealth Bureau of Meteorology"
"Observations were drawn from Darwin Airport {station 014015}"

,"Date","Minimum temperature (°C)","Maximum temperature (°C)","Rainfall (mm)","Evaporation (mm)","Sunshine (hours)","Direction of maximum wind gust ","Speed of maximum wind gust (km/h)","Time of maximum wind gust","9am Temperature (°C)","9am relative humidity (%)","9am cloud amount (oktas)","9am wind direction","9am wind speed (km/h)","9am MSL pressure (hPa)","3pm Temperature (°C)","3pm relative humidity (%)","3pm cloud amount (oktas)","3pm wind direction","3pm wind speed (km/h)","3pm MSL pressure (hPa)"
,2022-11-1,28.2,35.1,0,8.2,11.2,NW,35,14:32,31.4,67,2,WNW,17,1009.9,33.7,63,6,NW,28,1006.1
,2022-11-2,28.5,35.6,0,8.2,11.7,WNW,41,13:58,31.0,73,1,WSW,19,1010.5,33.1,63,1,NW,35,1006.3
,2022-11-3,27.1,35.4,0,8.4,10.4,ENE,41,22:37,31.1,69,7,NNW,4,1011.3,34.9,49,1,NNW,19,1007.9
,2022-11-4,25.7,35.4,0,10.4,5.1,N,39,13:56,29.3,63,7,E,15,1013.7,33.8,58,5,NNW,15,1009.3
,2022-11-5,25.7,34.9,2.2,4.6,10.2,ESE,65,20:48,30.6,73,3,SE,2,1013.6,33.9,59,3,NW,22,1009.6
,2022-11-6,26.0,34.7,0,7.0,10.4,SE,65,18:43,30.3,72,2,SE,6,1013.4,33.1,55,4,NW,20,1008.7
,2022-11-7,22.6,34.7,3.0,8.0,10.9,NW,37,15:53,31.0,65,3,N,9,1012.3,33.6,58,2,WNW,22,1008.2
,2022-11-8,27.1,35.1,0.2,7.2,10.1,NW,41,15:49,31.8,65,2,WSW,11,1010.5,34.6,56,1,WNW,26,1007.1
,2022-11-9,27.4,35.4,0,8.4,11.1,NW,31,15:58,31.6,63,3,W,11,1011.1,31.5,52,6,N,17,1007.9
,2022-11-10,28.6,34.7,0,8.2,8.0,ESE,41,16:58,31.8,60,6,N,20,1010.9,33.4,56,3,WNW,15,1007.1
,2022-11-11,25.7,34.8,0.2,6.0,6.0,E,52,13:05,31.5,68,1,NNE,9,1010.5,29.9,75,7,WNW,9,1007.6
,2022-11-12,24.3,34.6,18.0,5.4,8.9,N,33,15:32,30.7,75,6,SE,6,1010.4,33.4,58,2,NNW,19,1006.4
,2022-11-13,26.8,33.5,0,7.2,6.3,N,33,12:25,31.1,67,7,N,9,1010.8,32.2,57,5,NW,13,1006.6
,2022-11-14,26.0,34.7,0,5.2,6.0,WNW,37,15:11,29.7,68,6,SE,4,1010.4,33.3,60,6,WNW,28,1005.9
,2022-11-15,25.6,32.8,11.4,6.4,5.3,SSW,39,13:22,30.7,73,7,NNE,6,1008.6,28.1,83,7,SSE,17,1006.9
,2022-11-16,25.0,33.3,15.8,5.4,8.2,SE,41,15:30,29.7,77,5,ESE,9,1009.5,31.8,67,6,W,15,1005.3
,2022-11-17,24.4,34.0,16.6,7.0,8.9,E,44,14:06,29.7,76,7,S,9,1009.8,30.1,66,7,SE,11,1005.4
,2022-11-18,24.7,34.4,2.2,6.6,8.0,NE,33,14:41,29.5,74,5,E,7,1008.9,27.1,88,7,WSW,7,1005.5
,2022-11-19,26.1,34.3,17.2,4.0,7.3,N,41,15:30,30.8,73,7,ENE,4,1009.2,34.2,59,6,NNW,19,1005.4
,2022-11-20,26.9,34.1,0,6.4,9.6,NW,31,15:29,31.2,68,6,NNE,11,1008.7,32.9,62,7,NW,17,1005.8
,2022-11-21,25.3,33.9,0,6.4,5.7,NW,43,14:08,30.0,70,7,E,7,1010.1,26.4,86,8,N,15,1008.5
,2022-11-22,25.7,33.8,0.2,4.8,6.5,NE,63,13:05,29.3,74,7,ESE,13,1011.2,29.6,81,7,N,13,1008.0
,2022-11-23,23.5,34.0,8.4,6.0,5.9,NNW,39,15:25,28.8,78,6,SSE,13,1011.5,30.9,67,7,NNW,7,1008.3
,2022-11-24,24.9,34.4,4.8,4.6,7.2,NW,30,14:17,29.1,72,7,ENE,6,1012.0,33.2,57,6,NNW,17,1008.7
,2022-11-25,26.5,33.5,0,6.0,6.0,ENE,41,13:53,30.2,71,3,WNW,4,1012.4,24.4,97,7,S,6,1009.3
,2022-11-26,22.9,32.3,56.2,6.6,4.9,SW,41,11:53,29.2,82,4,S,9,1011.5,26.8,87,7,SSE,9,1007.4
,2022-11-27,24.1,32.9,4.4,1.6,9.1,N,48,16:03,30.6,69,7,WSW,7,1008.8,32.3,65,6,W,19,1005.1
,2022-11-28,23.9,31.3,58.2,,4.3,NW,44,02:32,25.4,92,8,W,7,1008.6,30.0,70,7,WSW,13,1004.6
,2022-11-29,23.5,32.0,9.2,7.0,4.2,SW,41,03:16,26.7,85,7,SSW,15,1006.8,26.8,87,7,W,26,1003.5
,2022-11-30,23.8,33.8,31.2,5.8,10.4,SE,48,00:20,28.3,79,7,SW,15,1006.2,33.2,51,5,SSE,20,1002.7
