"Daily Weather Observations for Hobart, Tasmania for September 2017"
"Prepared at 13:03 UTC on Saturday 11 August 2018   IDCJDW7021.201709"
"Copyright 2003 Commonwealth Bureau of Meteorology"
"Most observations from Battery Point, but cloud, evaporation and sunshine from Hobart Airport."
"Conditions at Hobart Airport may be markedly different to those in the city on some days. Some cloud observations are from automated equipment; these are somewhat different to those made by a human observer and may not appear every day."
"Temperature, humidity, wind, pressure and rainfall observations are from Hobart (Ellerslie Road) {station 094029}"
"Cloud, evaporation and sunshine observations are from Hobart Airport {station 094008}"

,"Date","Minimum temperature (°C)","Maximum temperature (°C)","Rainfall (mm)","Evaporation (mm)","Sunshine (hours)","Direction of maximum wind gust ","Speed of maximum wind gust (km/h)","Time of maximum wind gust","9am Temperature (°C)","9am relative humidity (%)","9am cloud amount (oktas)","9am wind direction","9am wind speed (km/h)","9am MSL pressure (hPa)","3pm Temperature (°C)","3pm relative humidity (%)","3pm cloud amount (oktas)","3pm wind direction","3pm wind speed (km/h)","3pm MSL pressure (hPa)"
,2017-09-1,1.0,15.0,0.2,1.4,8.5,NW,43,22:59,5.2,73,1,NW,20,1025.5,13.1,46,3,NNW,17,1019.5
,2017-09-2,5.2,18.9,0,3.8,7.4,NNW,48,01:17,9.4,68,5,NNW,20,1014.4,17.4,44,6,NNW,20,1009.1
,2017-09-3,8.7,20.1,0.6,2.8,5.4,NNW,80,11:58,13.2,67,7,NNW,17,994.4,15.1,46,7,NW,39,989.2
,2017-09-4,5.4,10.1,0.2,4.0,9.0,WNW,70,12:05,7.5,61,2,NW,28,991.2,7.6,63,7,NNW,28,991.1
,2017-09-5,2.8,9.3,2.0,4.6,7.5,WNW,57,05:22,5.1,70,7,NNW,24,992.2,7.0,60,3,NW,37,992.2
,2017-09-6,3.6,11.7,0,3.0,8.6,WSW,63,13:50,7.2,64,3,N,9,997.9,9.7,61,2,SW,24,1001.6
,2017-09-7,7.2,14.8,0,3.0,5.9,SW,80,15:56,8.5,74,5,NW,15,1003.4,10.0,66,6,SW,46,1001.7
,2017-09-8,2.7,10.4,6.2,2.6,7.3,SW,57,17:56,6.3,66,7,NE,7,1011.9,8.1,58,5,SW,24,1010.9
,2017-09-9,3.6,13.5,1.4,2.0,7.8,W,46,09:14,9.1,52,2,NNW,9,1018.8,12.5,48,5,W,15,1016.4
,2017-09-10,5.5,14.6,0,2.8,8.4,ESE,28,15:32,12.5,57,3,NW,11,1018.6,13.4,58,4,SE,13,1016.3
,2017-09-11,5.3,16.0,0.6,1.6,2.6,NNW,44,11:31,7.9,80,7,NW,22,1009.0,15.5,61,7,NW,17,1003.8
,2017-09-12,7.8,11.1,0,1.6,1.8,NW,26,03:12,10.2,77,7,SE,11,1005.6,10.0,84,8,E,13,1003.7
,2017-09-13,5.4,13.9,3.6,0.8,2.8,WNW,52,15:57,7.6,83,7,NNW,24,996.2,12.2,69,7,NW,26,994.2
,2017-09-14,5.6,15.0,0.6,3.2,4.3,WSW,72,10:07,9.3,49,7,SW,19,998.9,13.9,46,4,SW,20,1000.7
,2017-09-15,5.3,15.5,0,2.6,6.0,SW,63,15:55,10.4,56,7,NW,31,1005.8,13.7,29,2,W,31,1004.3
,2017-09-16,3.9,10.9,1.0,4.2,4.9,SSW,59,04:43,8.0,53,5,SW,15,1013.2,8.5,71,6,W,19,1015.2
,2017-09-17,2.8,16.5,3.0,1.6,7.8,NW,46,23:26,9.4,61,5,NNW,13,1022.4,16.3,30,7,NW,22,1015.6
,2017-09-18,9.3,21.4,0,4.0,4.4,NW,87,13:58,13.9,49,7,NNE,15,1008.0,17.3,42,7,WNW,39,1001.4
,2017-09-19,8.2,11.9,2.6,5.8,9.3,SW,69,09:25,10.4,51,2,SW,26,1007.7,9.8,55,7,WSW,17,1012.1
,2017-09-20,3.1,16.3,0.6,3.6,6.2,NW,43,13:29,8.8,64,7,NNW,17,1017.2,15.4,47,6,NNW,13,1011.6
,2017-09-21,8.5,22.3,0,2.6,5.5,NNW,65,14:19,12.4,67,8, ,Calm,1006.9,20.7,37,6,NNW,31,999.2
,2017-09-22,9.1,19.5,0,3.6,8.0,NNW,46,23:50,12.8,57,6,NNE,15,1008.1,18.7,36,7,NNW,11,1004.9
,2017-09-23,10.1,17.1,1.4,5.4,1.8,NW,50,23:28,11.5,86,7,NW,28,996.9,15.3,80,7,NNW,22,990.0
,2017-09-24,11.3,17.9,9.6,3.2,9.0,NW,65,01:43,13.6,61,5,NW,19,987.2,15.1,58,6,NW,13,986.3
,2017-09-25,7.4,14.5,1.0,3.6,4.4,SW,59,09:54,11.6,51,4,NW,22,997.9,12.3,59,7,W,20,1002.4
,2017-09-26,4.1,14.5,0.4,2.8,8.9,WNW,35,15:41,10.6,55,3,NW,15,1013.1,13.0,50,6,SE,13,1012.3
,2017-09-27,3.5,14.0,0,3.6,3.7,NNW,44,16:57,9.4,61,1,NW,17,1010.1,12.4,59,7,NNE,13,1001.7
,2017-09-28,7.0,16.1,4.8,2.0,9.0,WNW,76,17:16,13.7,48,4,SW,13,997.4,14.6,46,7,NW,28,998.6
,2017-09-29,7.6,16.5,0,3.8,10.0,NW,72,20:44,12.0,61,7,NW,17,1003.7,15.4,32,2,NW,24,998.7
,2017-09-30,3.8,14.4,6.4,4.6,9.1,WNW,70,23:36,8.1,55,6,WSW,26,1004.7,12.1,33,6,SSW,15,1008.5
