"Daily Weather Observations for Hobart, Tasmania for October 2017"
"Prepared at 13:03 UTC on Friday 10 August 2018   IDCJDW7021.201710"
"Copyright 2003 Commonwealth Bureau of Meteorology"
"Most observations from Battery Point, but cloud, evaporation and sunshine from Hobart Airport."
"Conditions at Hobart Airport may be markedly different to those in the city on some days. Some cloud observations are from automated equipment; these are somewhat different to those made by a human observer and may not appear every day."
"Temperature, humidity, wind, pressure and rainfall observations are from Hobart (Ellerslie Road) {station 094029}"
"Cloud, evaporation and sunshine observations are from Hobart Airport {station 094008}"

,"Date","Minimum temperature (°C)","Maximum temperature (°C)","Rainfall (mm)","Evaporation (mm)","Sunshine (hours)","Direction of maximum wind gust ","Speed of maximum wind gust (km/h)","Time of maximum wind gust","9am Temperature (°C)","9am relative humidity (%)","9am cloud amount (oktas)","9am wind direction","9am wind speed (km/h)","9am MSL pressure (hPa)","3pm Temperature (°C)","3pm relative humidity (%)","3pm cloud amount (oktas)","3pm wind direction","3pm wind speed (km/h)","3pm MSL pressure (hPa)"
,2017-10-1,8.0,20.0,0,6.6,9.5,NW,67,20:48,14.0,57,7,NNW,31,1008.7,18.3,49,5,ENE,13,1010.3
,2017-10-2,8.7,20.0,0,3.8,8.9,NW,63,23:07,12.3,63,6,NW,26,1018.7,19.8,38,7,WNW,20,1017.0
,2017-10-3,6.0,19.4,0,4.0,10.9,WNW,48,19:15,10.6,62,7,NW,13,1018.0,19.0,40,7,NW,19,1015.1
,2017-10-4,8.8,10.8,0.2,4.8,0.0,NW,43,23:43,8.9,94,8,SE,17,1022.7,8.7,89,8,SE,13,1023.0
,2017-10-5,8.4,14.3,2.6,2.2,1.6,SSW,54,21:27,10.7,91,7,N,9,1013.4,13.3,79,7,ESE,9,1009.6
,2017-10-6,8.2,14.4,2.8,1.2,7.5,SSW,54,23:25,10.6,70,7,SSW,20,1020.0,13.8,66,5,SE,30,1021.1
,2017-10-7,9.7,16.1,0.2,2.6,11.3,SE,28,13:17,12.2,71,3,NNW,15,1025.6,14.8,68,1,SE,20,1022.3
,2017-10-8,8.6,21.4,0,5.0,4.7,N,43,10:12,12.0,72,7,NNW,26,1013.1,19.7,48,7,NW,22,1007.0
,2017-10-9,10.8,18.0,0.4,3.2,7.5,NW,54,12:03,14.0,69,7,NW,17,1002.9,13.8,56,7,SSW,26,1003.1
,2017-10-10,9.8,17.6,0.2,4.2,7.4,NW,46,13:26,13.4,54,7,NNW,20,1009.6,16.6,51,6,WNW,28,1010.7
,2017-10-11,6.7,21.6,0,3.2,6.4,NNW,63,14:54,11.9,69,1,NNW,20,1009.6,20.6,42,7,N,24,1002.4
,2017-10-12,10.6,17.0,1.0,4.6,9.6,WNW,74,17:19,12.5,56,3,N,19,1000.7,16.8,43,3,WNW,30,999.6
,2017-10-13,10.7,16.2,0.4,8.0,9.2,WNW,72,00:16,13.1,41,3,NW,30,1009.5,14.8,34,4,WNW,26,1011.9
,2017-10-14,6.7,19.3,0,4.0,10.2,NW,56,10:17,11.6,55,6,NW,20,1021.5,17.0,39,5,NW,20,1019.5
,2017-10-15,11.3,24.4,0,6.6,11.2,WNW,57,04:20,15.6,52,4,NNW,19,1020.4,19.0,53,1,ESE,15,1021.0
,2017-10-16,10.9,24.0,0,6.8,11.3,NW,30,06:35,13.9,69,7,NW,20,1025.2,22.6,44,7,ESE,17,1022.7
,2017-10-17,11.1,28.7,0,6.4,12.2,N,39,12:55,16.3,59,7,NW,13,1022.7,27.8,25,7,NW,19,1020.6
,2017-10-18,15.3,31.9,0,6.0,11.2,NNW,43,04:20,19.2,55,7,NW,19,1021.3,26.6,34,7,SSE,19,1016.3
,2017-10-19,17.1,24.8,0,9.2,4.8,W,46,20:35,19.8,47,7,S,7,1009.6,24.0,57,7,WNW,26,1006.9
,2017-10-20,9.8,18.1,2.6,4.0,12.4,NW,57,20:26,12.3,59,2,NW,19,1018.6,16.0,42,3,SW,24,1020.7
,2017-10-21,9.0,19.5,0,4.0,7.4,WNW,50,10:30,14.1,54,3,WNW,20,1017.7,17.3,48,7,NW,30,1014.2
,2017-10-22,11.1,21.6,0,6.4,11.8,NW,43,00:27,14.5,56,4,NNW,7,1012.6,20.6,35,4,SW,20,1010.5
,2017-10-23,11.6,19.7,0,5.6,4.0,WNW,35,11:07,17.6,55,6,NW,13,1013.4,19.0,56,8,E,9,1012.1
,2017-10-24,11.5,17.4,1.8,3.4,2.9,SE,31,14:12,12.6,86,8, ,Calm,1013.4,15.2,78,7,ESE,19,1011.8
,2017-10-25,6.8,16.8,8.6,3.0,12.6,ESE,35,13:28,12.8,54,1,WNW,7,1014.2,14.8,62,2,SE,26,1012.1
,2017-10-26,9.9,17.8,0.4,4.0,8.0,SE,28,13:25,13.2,74,7,NNE,7,1013.2,17.4,56,4,ESE,19,1010.9
,2017-10-27,10.5,23.7,0,5.0,10.7,NNW,65,17:55,16.4,50,2,NNW,20,1011.2,23.1,25,7,NNW,30,1005.3
,2017-10-28,14.7,24.8,1.2,8.8,9.5,ESE,39,11:41,17.6,73,6,SSE,6,1000.5,18.8,59,1,ESE,24,1001.2
,2017-10-29,10.3,23.4,0.2,4.4,12.0,NNW,81,13:46,16.1,53,2,NNW,19,1000.6,22.4,33,4,NNW,46,992.7
,2017-10-30,10.5,18.4,10.6,12.0,7.4,WNW,48,11:57,11.4,60,7,NW,19,999.0,17.9,29,5,WNW,20,1002.2
,2017-10-31,5.4,19.4,0.2,4.6,11.7,WNW,35,12:38,13.0,51,1,NNW,11,1017.0,16.8,37,4,SW,26,1015.2
