"Daily Weather Observations for Hobart, Tasmania for January 2018"
"Prepared at 16:03 UTC on Tuesday  7 August 2018   IDCJDW7021.201801"
"Copyright 2003 Commonwealth Bureau of Meteorology"
"Most observations from Battery Point, but cloud, evaporation and sunshine from Hobart Airport."
"Conditions at Hobart Airport may be markedly different to those in the city on some days. Some cloud observations are from automated equipment; these are somewhat different to those made by a human observer and may not appear every day."
"Temperature, humidity, wind, pressure and rainfall observations are from Hobart (Ellerslie Road) {station 094029}"
"Cloud, evaporation and sunshine observations are from Hobart Airport {station 094008}"

,"Date","Minimum temperature (°C)","Maximum temperature (°C)","Rainfall (mm)","Evaporation (mm)","Sunshine (hours)","Direction of maximum wind gust ","Speed of maximum wind gust (km/h)","Time of maximum wind gust","9am Temperature (°C)","9am relative humidity (%)","9am cloud amount (oktas)","9am wind direction","9am wind speed (km/h)","9am MSL pressure (hPa)","3pm Temperature (°C)","3pm relative humidity (%)","3pm cloud amount (oktas)","3pm wind direction","3pm wind speed (km/h)","3pm MSL pressure (hPa)"
,2018-01-1,15.0,22.9,0,11.0,10.3,WNW,54,17:20,17.1,59,7,NW,24,1001.0,21.0,41,6,WNW,28,1002.1
,2018-01-2,13.3,23.6,0,8.0,7.4,SSW,54,19:06,15.7,56,7,WNW,17,1004.2,21.5,36,5,NW,24,1001.8
,2018-01-3,10.3,21.9,0,6.6,9.6,WNW,50,15:08,16.1,42,6,NW,9,1011.1,19.1,41,7,NW,22,1011.1
,2018-01-4,15.6,26.5,0,6.8,4.7,NW,59,00:44,17.1,63,7,NW,13,1011.3,26.1,31,5,WNW,30,1010.0
,2018-01-5,13.8,22.3,0,5.6,10.3,SE,31,13:02,16.2,71,6,SE,9,1015.5,19.5,58,4,SE,15,1014.0
,2018-01-6,15.7,35.8,0,5.6,2.4,WNW,72,15:02,22.2,40,7,NW,24,1006.1,33.8,21,7,NW,24,999.1
,2018-01-7,13.1,22.6,0.2,12.0,12.3,WNW,43,00:12,17.2,47,1,SE,13,1012.9,21.9,38,1,SE,19,1012.0
,2018-01-8,14.8,26.6,0,8.0,12.0,WNW,48,12:35,19.4,49,4,NW,22,1010.1,25.0,33,6,WNW,13,1009.0
,2018-01-9,14.2,19.4,0,8.4,8.4,SSE,46,13:27,16.7,69,4,E,13,1010.8,17.3,61,6,SSE,24,1012.8
,2018-01-10,11.8,21.0,0.2,4.8,8.8,SE,30,14:37,15.7,71,7,NE,9,1021.5,20.1,53,3,SE,20,1020.6
,2018-01-11,13.7,28.3,0,8.8,12.5,ENE,43,13:30,20.5,53,4,WNW,19,1019.1,26.0,40,1,ENE,30,1014.6
,2018-01-12,19.1,29.1,0,8.4,1.3,WNW,67,16:48,21.6,56,7,NW,24,1005.7,27.5,48,7,NNW,26,996.1
,2018-01-13,13.5,15.8,5.6,6.0,2.0,SW,67,13:10,13.5,75,7,SW,9,999.6,11.8,84,7,SSW,19,1000.3
,2018-01-14,9.0,19.1,10.6,3.2,6.5,WNW,57,22:00,14.6,50,7,WSW,19,1014.9,17.4,45,7,WNW,24,1013.7
,2018-01-15,14.3,20.0,0.2,5.4,10.5,SE,57,13:28,17.0,56,7,SSW,22,1018.3,17.3,48,1,SE,35,1021.0
,2018-01-16,9.7,20.2,0,8.0,12.2,SSW,31,18:46,15.0,52,2,NW,13,1026.9,18.3,46,1,SE,17,1023.4
,2018-01-17,10.2,20.6,0,6.6,12.7,SE,41,15:35,16.8,65,7,N,7,1020.7,19.5,59,5,SE,26,1017.4
,2018-01-18,12.1,31.2,0,6.0,9.1,NW,44,08:31,18.0,67,7,WNW,13,1013.8,27.9,19,2,ESE,15,1010.1
,2018-01-19,18.0,29.5,0,9.0,8.9,SSE,50,22:49,29.4,24,4,N,9,1005.9,19.6,69,6,SE,24,1011.4
,2018-01-20,13.6,20.8,0,7.4,6.4,SSW,33,17:38,16.2,78,7,SE,9,1017.3,19.8,58,1,SE,20,1016.8
,2018-01-21,16.0,22.5,0,6.6,7.5,SE,30,13:35,17.8,77,7,ENE,2,1014.1,21.8,62,8,SSE,19,1011.0
,2018-01-22,15.8,24.6,0,4.0,11.6,SE,39,16:16,21.3,65,2,ESE,9,1004.2,22.0,56,1,ESE,20,1003.7
,2018-01-23,13.3,27.2,0,11.0,7.4,WNW,48,12:10,17.1,56,7,NNW,19,1008.3,26.5,29,7,NW,19,1007.3
,2018-01-24,13.4,28.1,0,7.4,12.2,NW,48,15:05,18.4,57,4,S,7,1008.6,27.3,29,3,NW,22,1007.4
,2018-01-25,15.1,26.9,0,8.2,10.8,ESE,39,14:58,19.3,73,6,NNE,6,1013.0,25.8,54,5,SE,22,1008.3
,2018-01-26,17.3,21.8,0,7.8,6.1,SE,31,14:36,17.6,79,7,SE,13,1012.9,21.1,53,7,SSW,19,1012.6
,2018-01-27,14.8,28.1,0,4.8,10.3,SE,28,13:22,21.0,63,1,WNW,15,1013.5,27.6,56,1,SE,20,1011.6
,2018-01-28,20.9,36.7,0,6.8,12.6,NNW,43,08:05,26.4,58,1,NNW,26,1008.8,30.9,52,1,ESE,19,1004.6
,2018-01-29,23.9,26.1,0,10.6,0.9,NW,37,02:02,26.1,62,7,SSE,13,1002.6,22.1,83,8,SE,20,1004.0
,2018-01-30,12.4,20.6,4.8,3.2,4.8,SW,65,17:39,15.5,52,7,SSW,9,1009.9,15.6,57,7,SSW,20,1007.8
,2018-01-31,8.4,16.1,0.6,3.4,10.1,SSW,61,11:25,12.5,55,5,SW,26,1012.2,14.6,48,6,SSW,22,1015.3
