"Daily Weather Observations for Hobart, Tasmania for February 2018"
"Prepared at 13:03 UTC on Monday 20 August 2018   IDCJDW7021.201802"
"Copyright 2003 Commonwealth Bureau of Meteorology"
"Most observations from Battery Point, but cloud, evaporation and sunshine from Hobart Airport."
"Conditions at Hobart Airport may be markedly different to those in the city on some days. Some cloud observations are from automated equipment; these are somewhat different to those made by a human observer and may not appear every day."
"Temperature, humidity, wind, pressure and rainfall observations are from Hobart (Ellerslie Road) {station 094029}"
"Cloud, evaporation and sunshine observations are from Hobart Airport {station 094008}"

,"Date","Minimum temperature (°C)","Maximum temperature (°C)","Rainfall (mm)","Evaporation (mm)","Sunshine (hours)","Direction of maximum wind gust ","Speed of maximum wind gust (km/h)","Time of maximum wind gust","9am Temperature (°C)","9am relative humidity (%)","9am cloud amount (oktas)","9am wind direction","9am wind speed (km/h)","9am MSL pressure (hPa)","3pm Temperature (°C)","3pm relative humidity (%)","3pm cloud amount (oktas)","3pm wind direction","3pm wind speed (km/h)","3pm MSL pressure (hPa)"
,2018-02-1,8.6,21.6,1.6,7.0,2.9,NNE,46,11:39,14.6,51,3,NNW,15,1016.9,21.0,44,7,SW,20,1015.7
,2018-02-2,13.9,20.3,0,4.0,1.6,SE,39,11:33,17.0,64,7,N,7,1020.3,15.9,82,7,SE,20,1021.2
,2018-02-3,11.5,21.2,0,3.6,10.9,ESE,41,15:04,17.2,64,4,ENE,7,1025.5,20.2,62,1,SE,24,1024.2
,2018-02-4,14.6,19.2,0,7.0,10.7,SE,39,13:39,15.6,73,7,ESE,13,1024.5,18.1,64,3,ESE,24,1022.9
,2018-02-5,11.5,20.4,0,6.4,12.4,SSE,41,15:10,18.0,52,1,NNW,4,1021.9,19.1,55,1,SE,26,1020.5
,2018-02-6,11.6,24.5,0,7.8,12.9,SE,33,16:05,17.2,63,1,NW,11,1022.0,23.8,54,1,SE,20,1020.0
,2018-02-7,15.6,26.6,0,7.6,12.5,SE,37,13:17,19.6,68,6,WNW,15,1019.5,24.0,51,1,SSE,22,1016.8
,2018-02-8,18.4,22.0,0.6,7.2,0.5,SSW,31,17:40,18.5,80,8,SSW,9,1013.8,20.1,74,7,SSE,9,1013.0
,2018-02-9,16.5,23.1,1.6,3.2,6.8,ESE,31,14:41,17.8,83,8,SE,6,1016.4,22.5,58,2,SE,20,1014.7
,2018-02-10,17.2,30.5,0,5.4,8.0,SW,67,20:19,22.6,52,7,NW,26,1006.0,29.0,38,7,NNW,30,997.5
,2018-02-11,13.4,20.3,2.8,8.0,8.1,SW,48,06:47,14.2,50,5,SW,13,1004.7,18.7,40,4,SW,19,1005.1
,2018-02-12,9.0,23.0,0,5.6,11.2,NW,44,09:23,14.7,55,5,NW,28,1005.2,17.7,75,7,SSW,19,1006.8
,2018-02-13,12.9,20.9,0.2,5.6,8.8,SE,30,14:30,14.9,74,7,NW,6,1012.7,20.1,49,3,SE,19,1009.2
,2018-02-14,14.7,18.8,0,7.8,6.9,W,98,14:46,18.1,66,7,N,26,989.3,15.4,59,7,W,35,992.8
,2018-02-15,9.9,21.2,14.4,7.0,7.2,WNW,83,13:16,15.2,68,7,SSW,11,999.7,20.3,37,7,WNW,43,998.2
,2018-02-16,11.2,17.8,0,6.4,7.8,W,74,08:59,13.5,49,7,W,33,1003.5,16.3,48,7,WNW,15,1005.4
,2018-02-17,13.3,23.6,0,6.0,2.7,WNW,54,13:10,15.8,56,7,NW,22,1006.4,22.8,44,6,NW,26,1003.8
,2018-02-18,14.5,18.5,0,5.0,3.2,SSW,44,20:18,15.5,70,7,SW,9,1011.7,16.5,61,7,E,17,1013.0
,2018-02-19,11.2,15.5,0.2,5.0,4.6,SE,44,16:17,13.0,60,7,SSW,20,1024.0,14.8,50,5,ESE,24,1025.5
,2018-02-20,12.1,18.1,0,5.0,7.2,ESE,26,13:36,13.2,59,7,SW,6,1027.2,17.8,47,1,ESE,17,1024.1
,2018-02-21,10.9,23.1,0,4.0,6.9,ESE,31,16:31,13.1,71,7,NW,11,1020.1,21.2,47,6,SE,17,1017.2
,2018-02-22,10.6,22.2,0,3.8,12.5,SE,30,14:32,15.0,70,1,NW,17,1018.8,21.7,57,1,SE,19,1016.5
,2018-02-23,13.8,22.4,0,6.2,0.6,NW,35,12:11,16.7,75,7,NW,24,1012.3,19.8,75,8,NW,17,1008.3
,2018-02-24,16.7,22.7,4.8,1.4,2.6,WSW,46,21:34,18.5,94,8,NW,7,997.6,21.2,68,7,N,9,997.5
,2018-02-25,11.0,16.7,9.0,3.6,6.3,SSE,43,14:35,12.8,58,7,SW,19,1014.1,14.9,59,7,SE,26,1016.9
,2018-02-26,9.2,22.7,0,4.4,11.3,ESE,33,15:44,14.2,62,2,NW,17,1021.8,21.3,37,6,NE,17,1018.8
,2018-02-27,10.4,26.3,0,4.6,8.7,NW,46,22:41,14.3,69,5,NW,20,1017.4,25.4,32,7,NNW,19,1011.5
,2018-02-28,13.8,25.5,0,7.0,2.4,NNW,50,07:08,19.2,61,7,NW,19,1004.0,21.2,62,7,SSE,15,999.9
