"Daily Weather Observations for Hobart, Tasmania for March 2018"
"Prepared at 13:03 UTC on Sunday 19 August 2018   IDCJDW7021.201803"
"Copyright 2003 Commonwealth Bureau of Meteorology"
"Most observations from Battery Point, but cloud, evaporation and sunshine from Hobart Airport."
"Conditions at Hobart Airport may be markedly different to those in the city on some days. Some cloud observations are from automated equipment; these are somewhat different to those made by a human observer and may not appear every day."
"Temperature, humidity, wind, pressure and rainfall observations are from Hobart (Ellerslie Road) {station 094029}"
"Cloud, evaporation and sunshine observations are from Hobart Airport {station 094008}"

,"Date","Minimum temperature (°C)","Maximum temperature (°C)","Rainfall (mm)","Evaporation (mm)","Sunshine (hours)","Direction of maximum wind gust ","Speed of maximum wind gust (km/h)","Time of maximum wind gust","9am Temperature (°C)","9am relative humidity (%)","9am cloud amount (oktas)","9am wind direction","9am wind speed (km/h)","9am MSL pressure (hPa)","3pm Temperature (°C)","3pm relative humidity (%)","3pm cloud amount (oktas)","3pm wind direction","3pm wind speed (km/h)","3pm MSL pressure (hPa)"
,2018-03-1,14.0,20.2,9.4,5.8,5.9,SSW,50,05:44,16.5,62,2,ESE,7,1013.1,17.4,66,7,SE,20,1014.3
,2018-03-2,13.3,23.1,0.2,2.4,10.7,NW,28,10:14,15.1,77,7,NW,19,1016.3,20.9,61,6,SE,17,1013.0
,2018-03-3,13.2,26.8,0,3.6,10.1,NNW,39,21:49,16.4,80,1,NW,15,1008.7,22.4,60,6,ESE,22,1003.8
,2018-03-4,12.1,21.3,1.6,7.0,7.6,WNW,50,01:53,15.6,49,1,NW,19,1012.0,19.4,37,6,WNW,17,1011.9
,2018-03-5,11.2,19.5,0,5.4,5.1,WNW,35,23:12,13.6,60,7,NW,6,1016.8,18.3,47,7,SW,19,1018.7
,2018-03-6,8.8,20.5,0,2.6,11.6,SE,33,16:39,13.7,66,1,NW,11,1027.7,19.7,50,1,SE,19,1026.8
,2018-03-7,10.9,21.0,0,3.0,12.0,SE,35,16:31,15.7,74,1,SSE,2,1029.3,20.2,61,1,SE,22,1027.0
,2018-03-8,15.5,20.7,0,5.2,6.5,SE,35,15:12,16.6,76,7,SSW,7,1028.1,20.2,68,1,SE,24,1027.0
,2018-03-9,13.0,24.4,0,4.4,11.0,SE,39,13:20,17.3,78,7,NW,13,1028.0,19.6,69,6,SSE,24,1027.0
,2018-03-10,15.6,28.2,0,4.0,11.6,NNW,28,07:37,18.9,70,7,NNW,17,1025.8,25.0,49,5,SE,20,1020.1
,2018-03-11,18.2,25.0,0,6.6,11.7,WNW,39,17:27,20.3,62,2,ESE,9,1017.5,24.6,28,1,N,11,1017.6
,2018-03-12,13.2,21.8,0,6.2,5.8,WNW,54,00:01,15.2,59,7,NW,31,1014.9,19.2,49,7,SSW,28,1013.7
,2018-03-13,13.3,23.7,0,6.2,5.9,NW,54,04:45,17.6,55,7,NW,19,1016.2,21.4,49,7,NNW,17,1016.8
,2018-03-14,11.9,21.4,0,3.8,8.2,NW,37,22:37,14.3,76,7,WNW,7,1017.4,20.7,50,3,ESE,15,1013.9
,2018-03-15,14.3,19.4,0,4.8,0.4,WNW,54,23:27,15.7,60,8,SSE,9,1010.9,18.4,45,7,WSW,19,1012.2
,2018-03-16,10.5,20.2,0,2.8,1.9,NE,35,15:50,13.1,58,7,WSW,6,1020.6,18.5,50,6,E,11,1016.5
,2018-03-17,13.1,30.1,0,3.8,9.8,WNW,57,14:58,18.6,67,2,NW,19,1008.2,29.7,29,6,WNW,22,1004.2
,2018-03-18,17.1,19.3,6.6,8.8,6.7,NW,102,03:40,17.3,88,8,N,17,992.8,17.6,41,6,WNW,28,995.4
,2018-03-19,13.7,21.1,3.8,7.4,7.0,WNW,98,03:54,19.3,57,6,WNW,35,995.0,18.8,38,5,WNW,37,1000.5
,2018-03-20,8.6,16.4,0.6,3.6,9.9,WNW,50,04:22,10.7,57,3,ENE,9,1021.9,16.1,40,3,WSW,19,1028.4
,2018-03-21,7.1,16.2,1.2,4.0,3.1,E,35,17:29,8.5,74,7,WNW,13,1040.5,15.4,54,7,ESE,11,1039.1
,2018-03-22,8.5,16.8,0,2.6,0.9,ENE,43,14:08,13.5,67,7,NNE,13,1037.2,16.0,63,7,NE,22,1034.0
,2018-03-23,12.9,23.4,0,2.0,7.4,NW,43,22:34,14.8,69,6,NW,13,1026.9,22.9,42,4,NNW,20,1020.5
,2018-03-24,14.7,19.5,0.2,4.6,1.7,NW,41,23:25,16.5,71,7,NW,11,1012.7,17.2,82,8,NW,19,1007.6
,2018-03-25,11.8,20.6,3.2,1.2,6.1,WNW,61,21:19,12.6,93,8,WSW,6,994.5,19.5,54,3,NW,26,987.3
,2018-03-26,9.8,15.9,8.4,1.8,4.2,NW,74,00:54,10.2,79,7,WNW,11,989.2,13.5,72,7,WSW,17,996.9
,2018-03-27,9.9,18.8,1.2,2.0,8.6,NW,35,11:15,12.5,54,4,NW,20,1013.6,17.8,43,6,N,11,1012.5
,2018-03-28,12.2,24.9,0.8,3.2,9.3,WNW,46,16:10,14.5,74,2,NW,20,1008.0,22.7,46,4,NNW,9,1006.3
,2018-03-29,13.1,22.2,0,5.0,7.9,NW,52,16:33,15.0,62,2,NNW,20,1011.8,20.8,44,6,NW,24,1008.7
,2018-03-30,14.3,19.5,1.2,5.4,6.9,WSW,70,09:25,14.4,78,7,WNW,26,1004.7,18.2,37,6,WNW,24,1007.2
,2018-03-31,10.1,21.1,0.2,5.8,9.7,WNW,41,23:26,13.1,64,7,NW,20,1017.5,20.2,35,1,WNW,11,1013.5
