"Daily Weather Observations for Hobart, Tasmania for May 2018"
"Prepared at 13:03 UTC on Friday 17 August 2018   IDCJDW7021.201805"
"Copyright 2003 Commonwealth Bureau of Meteorology"
"Most observations from Battery Point, but cloud, evaporation and sunshine from Hobart Airport."
"Conditions at Hobart Airport may be markedly different to those in the city on some days. Some cloud observations are from automated equipment; these are somewhat different to those made by a human observer and may not appear every day."
"Temperature, humidity, wind, pressure and rainfall observations are from Hobart (Ellerslie Road) {station 094029}"
"Cloud, evaporation and sunshine observations are from Hobart Airport {station 094008}"

,"Date","Minimum temperature (°C)","Maximum temperature (°C)","Rainfall (mm)","Evaporation (mm)","Sunshine (hours)","Direction of maximum wind gust ","Speed of maximum wind gust (km/h)","Time of maximum wind gust","9am Temperature (°C)","9am relative humidity (%)","9am cloud amount (oktas)","9am wind direction","9am wind speed (km/h)","9am MSL pressure (hPa)","3pm Temperature (°C)","3pm relative humidity (%)","3pm cloud amount (oktas)","3pm wind direction","3pm wind speed (km/h)","3pm MSL pressure (hPa)"
,2018-05-1,12.8,23.1,0,6.2,9.3,WNW,46,04:07,16.5,57,1,NW,28,1021.5,22.6,26,1,WNW,20,1018.3
,2018-05-2,10.5,17.2,0,4.0,0.0,NW,43,00:42,12.1,54,7,NW,15,1014.5,16.1,63,7,SSE,11,1011.2
,2018-05-3,11.3,21.7,0,1.0,4.3,N,41,16:09,13.6,61,6,NW,15,1010.0,21.3,43,7,NNW,13,1005.0
,2018-05-4,13.3,18.0,0,3.2,4.3,WNW,63,15:04,14.4,66,7,NW,11,1000.8,16.2,45,6,WNW,35,998.9
,2018-05-5,10.8,18.6,0,4.6,6.1,W,83,17:21,13.5,55,7,N,22,1014.2,17.4,52,7,WNW,30,1011.6
,2018-05-6,12.9,16.9,2.8,4.8,1.8,W,65,00:31,13.8,64,7,NNE,17,1020.6,15.6,45,7,E,13,1019.2
,2018-05-7,12.8,21.0,0,3.6,5.5,WNW,109,17:43,15.7,58,7,N,15,1011.9,20.0,32,7,NW,52,1000.8
,2018-05-8,7.0,16.5,1.4,5.6,8.4,WNW,48,12:25,10.3,54,6,NW,20,1017.6,15.5,42,4,WNW,24,1016.2
,2018-05-9,10.3,19.2,0,2.8,4.2,WNW,61,12:30,14.0,54,7,NW,28,1008.9,13.7,62,7,S,19,1006.9
,2018-05-10,6.3,12.9,1.4,2.8,0.0,SSW,85,19:04,8.4,90,8,SSW,24,1008.7,10.8,75,8,SSE,44,1007.9
,2018-05-11,8.4,12.3,129.2,1.6,0.0,S,89,07:50,12.2,88,8,S,52,1013.4,10.9,78,8,S,35,1017.5
,2018-05-12,9.0,13.9,1.6,0.8,3.9,SSW,46,01:25,12.0,79,8,S,15,1023.9,12.0,84,7,SSE,22,1024.2
,2018-05-13,7.6,13.7,0.2,0.6,3.5,SSW,26,00:20,8.7,83,7,WNW,13,1030.7,12.4,83,7,ESE,13,1029.8
,2018-05-14,5.9,17.2,0.6,0.8,9.2,WNW,20,11:14,9.1,84,1,NW,11,1027.9,16.7,49,1,WNW,6,1022.9
,2018-05-15,8.5,13.6,0.4,1.0,5.8,SW,50,13:28,9.7,73,7,SW,17,1023.1,9.8,75,6,SE,13,1024.1
,2018-05-16,3.2,12.1,1.8,2.0,0.7,NW,63,21:12,5.8,79,7,WNW,9,1026.6,11.4,63,7,NW,28,1021.4
,2018-05-17,5.8,17.3,0,1.4,0.5,NW,57,00:43,11.9,86,7,WNW,26,1016.8,14.6,71,7,WNW,20,1013.2
,2018-05-18,10.0,14.2,2.6,1.0,1.3,SSW,37,17:36,12.0,71,7,WNW,11,1016.6,14.0,62,2,N,4,1015.7
,2018-05-19,6.4,15.5,0,1.8,3.6,WNW,72,18:00,11.7,64,6,WNW,31,1015.3,13.4,58,7,NNE,28,1010.6
,2018-05-20,11.7,14.3,0,2.2,4.1,W,74,02:13,13.3,39,2,WSW,19,1008.9,13.0,69,7,WNW,17,1009.0
,2018-05-21,10.4,15.8,1.4,2.2,5.9,WSW,113,22:59,12.1,58,7,WNW,44,1008.8,14.8,50,7,N,26,1005.0
,2018-05-22,11.6,13.7,0,3.8,8.5,WSW,113,00:59,12.0,47,6,WSW,48,1009.7,12.6,46,1,SW,33,1014.5
,2018-05-23,7.5,17.6,0,3.0,8.1,WNW,70,08:34,13.6,60,4,NW,48,1016.2,16.4,48,2,N,24,1015.3
,2018-05-24,7.8,14.7,0,3.2,8.1,NW,50,02:34,10.5,58,1,WNW,9,1023.4,12.9,49,1,SSW,15,1023.6
,2018-05-25,3.2,12.4,0,1.4,8.2,WNW,28,10:51,5.8,79,4,WNW,17,1029.8,12.2,56,7,WNW,13,1026.7
,2018-05-26,4.4,14.4,0,0.6,8.7,WNW,33,09:53,6.0,82,6,NW,20,1028.6,13.3,58,1,NNE,7,1026.0
,2018-05-27,2.6,11.3,0,1.4,3.2,NW,50,23:40,4.5,90,7,WNW,19,1025.4,10.8,61,7,NW,19,1021.9
,2018-05-28,4.5,19.1,0,1.0,5.3,WNW,48,00:13,11.1,73,7,WNW,22,1020.6,19.0,55,4,NNW,17,1016.4
,2018-05-29,11.1,18.2,0,1.0,2.2,WNW,80,18:47,15.1,66,7,NW,20,1007.2,17.7,39,3,NW,35,1001.7
,2018-05-30,7.6,12.0,0,2.0,2.7,NW,44,12:10,8.2,65,1,NNW,26,1015.0,11.8,53,7,N,15,1010.3
,2018-05-31,6.7,12.4,2.8,2.6,7.9,SSW,43,10:52,8.9,59,1,WSW,15,1024.9,11.5,53,2,SSW,15,1027.0
