"Daily Weather Observations for Hobart, Tasmania for September 2018"
"Prepared at 13:03 UTC on Sunday 11 August 2019   IDCJDW7021.201809"
"Copyright 2003 Commonwealth Bureau of Meteorology"
"Most observations from Battery Point, but cloud, evaporation and sunshine from Hobart Airport."
"Conditions at Hobart Airport may be markedly different to those in the city on some days. Some cloud observations are from automated equipment; these are somewhat different to those made by a human observer and may not appear every day."
"Temperature, humidity, wind, pressure and rainfall observations are from Hobart (Ellerslie Road) {station 094029}"
"Cloud, evaporation and sunshine observations are from Hobart Airport {station 094008}"

,"Date","Minimum temperature (°C)","Maximum temperature (°C)","Rainfall (mm)","Evaporation (mm)","Sunshine (hours)","Direction of maximum wind gust ","Speed of maximum wind gust (km/h)","Time of maximum wind gust","9am Temperature (°C)","9am relative humidity (%)","9am cloud amount (oktas)","9am wind direction","9am wind speed (km/h)","9am MSL pressure (hPa)","3pm Temperature (°C)","3pm relative humidity (%)","3pm cloud amount (oktas)","3pm wind direction","3pm wind speed (km/h)","3pm MSL pressure (hPa)"
,2018-09-1,7.9,11.8,0.2,0.6,5.5,SW,56,12:09,8.5,74,7,ESE,13,1002.1,10.0,48,3,SW,17,1004.8
,2018-09-2,5.3,12.9,0.2,2.0,6.7,SW,43,09:47,9.2,55,2,W,19,1018.8,10.8,56,6,SW,26,1020.7
,2018-09-3,2.3,13.9,0.2,1.6,7.8,W,24,07:27,7.7,70,1,WNW,13,1030.0,11.9,51,6,NE,7,1029.3
,2018-09-4,4.4,14.8,0,2.2,7.0,WNW,37,08:57,8.3,68,1,WNW,28,1031.0,13.8,49,7,SE,11,1027.5
,2018-09-5,4.7,15.5,0,2.2,2.6,WNW,31,08:03,6.7,80,7,WNW,19,1024.6,14.3,54,7,NNW,15,1019.9
,2018-09-6,6.7,17.0,0,1.2,1.7,NNW,50,15:38,10.8,77,7, ,Calm,1012.6,16.2,58,7,NNW,19,1006.9
,2018-09-7,7.0,14.5,3.4,1.6,8.5,W,35,15:58,11.7,69,6,NE,7,1011.0,12.5,56,5,SE,13,1011.0
,2018-09-8,4.8,17.2,0.2,2.0,9.3,WNW,43,11:03,10.0,61,1,N,15,1013.9,16.0,41,6,WNW,19,1011.0
,2018-09-9,7.8,18.0,0.2,2.4,8.3,SW,74,13:22,9.9,68,4,WNW,28,1005.7,15.9,35,2,WSW,15,1008.8
,2018-09-10,9.9,21.2,0,3.0,8.6,WNW,63,02:33,14.6,55,6,S,6,1017.0,20.8,44,1,WNW,20,1016.1
,2018-09-11,9.8,20.5,0,4.6,10.1,WNW,61,13:18,15.0,57,7,NW,33,1012.2,19.4,40,7,NW,37,1005.7
,2018-09-12,10.6,14.5,0.2,4.4,10.1,WNW,74,02:15,12.6,50,2,WNW,39,998.8,13.3,50,3,NW,37,1003.0
,2018-09-13,8.9,,3.6,6.0,7.3,,,,12.6,70,7,W,7,1009.2,18.8,45,6,NNW,26,1008.8
,2018-09-14,12.6,22.2,,4.8,10.9,NNW,63,11:17,17.0,46,6,N,30,1007.0,21.7,25,7,NW,33,1001.4
,2018-09-15,9.8,14.2,0.4,5.4,3.1,W,94,17:08,13.2,72,7,NNW,26,989.1,9.1,71,3,NW,57,985.7
,2018-09-16,3.9,14.8,6.4,4.2,9.6,WSW,56,02:52,7.9,64,3,NNW,26,1012.2,12.5,50,5,NW,30,1012.9
,2018-09-17,6.8,16.5,0,3.2,9.3,NNW,65,23:14,13.4,52,1,NW,20,1013.1,15.8,48,5,NNW,30,1009.7
,2018-09-18,11.3,20.8,0,3.4,7.4,N,76,12:01,16.2,39,1,N,31,1001.3,12.7,66,7,W,35,999.7
,2018-09-19,4.6,14.7,0.8,5.2,5.7,SSW,52,12:34,11.2,57,3,WNW,11,1006.2,12.0,54,4,S,24,1008.2
,2018-09-20,3.9,16.2,0.8,1.8,7.7,NNW,48,16:21,11.5,56,2,N,15,1013.7,14.7,51,5,NNW,24,1013.3
,2018-09-21,9.7,21.0,0,2.4,9.9,NNW,61,23:10,14.1,54,5,NW,24,1018.5,19.7,38,3,NW,26,1016.6
,2018-09-22,9.6,18.5,0,7.2,3.2,NW,65,00:51,11.7,61,7,NNW,19,1018.7,17.3,50,7,NW,31,1017.0
,2018-09-23,6.8,11.5,0,2.6,4.2,SW,46,17:18,9.8,63,7,SSW,15,1026.1,8.2,63,7,SW,24,1029.2
,2018-09-24,5.3,13.1,0.6,2.6,8.1,SW,41,17:59,8.8,51,1,WNW,7,1033.7,12.5,44,5,SW,15,1029.6
,2018-09-25,3.5,12.5,0,3.6,6.6,SE,31,11:53,10.2,60,6,NE,9,1029.4,10.4,64,7,ESE,15,1027.1
,2018-09-26,2.7,13.6,0,2.4,10.8,SE,28,15:00,10.2,60,1,NNW,13,1026.1,12.9,58,1,SE,20,1021.1
,2018-09-27,5.4,21.7,0,2.0,9.8,NW,57,17:27,10.5,53,3,N,20,1013.0,20.8,31,1,NNW,33,1004.3
,2018-09-28,9.5,14.2,0,5.2,5.3,SW,67,10:50,10.5,58,8,S,9,1008.1,13.3,41,3,SW,19,1008.8
,2018-09-29,3.2,15.3,0.2,3.0,6.8,NNW,63,07:26,8.9,57,4,N,33,1017.1,13.1,49,7,NW,31,1017.1
,2018-09-30,8.7,19.3,0,6.0,11.4,NW,46,10:20,15.1,50,1,NNW,13,1024.2,17.1,47,5,ESE,17,1023.5
