"Daily Weather Observations for Hobart, Tasmania for January 2019"
"Prepared at 16:03 UTC on Wednesday  7 August 2019   IDCJDW7021.201901"
"Copyright 2003 Commonwealth Bureau of Meteorology"
"Most observations from Battery Point, but cloud, evaporation and sunshine from Hobart Airport."
"Conditions at Hobart Airport may be markedly different to those in the city on some days. Some cloud observations are from automated equipment; these are somewhat different to those made by a human observer and may not appear every day."
"Temperature, humidity, wind, pressure and rainfall observations are from Hobart (Ellerslie Road) {station 094029}"
"Cloud, evaporation and sunshine observations are from Hobart Airport {station 094008}"

,"Date","Minimum temperature (°C)","Maximum temperature (°C)","Rainfall (mm)","Evaporation (mm)","Sunshine (hours)","Direction of maximum wind gust ","Speed of maximum wind gust (km/h)","Time of maximum wind gust","9am Temperature (°C)","9am relative humidity (%)","9am cloud amount (oktas)","9am wind direction","9am wind speed (km/h)","9am MSL pressure (hPa)","3pm Temperature (°C)","3pm relative humidity (%)","3pm cloud amount (oktas)","3pm wind direction","3pm wind speed (km/h)","3pm MSL pressure (hPa)"
,2019-01-1,14.1,27.2,0,7.8,13.0,NW,72,17:55,20.5,51,3,NNW,28,1005.7,26.2,35,5,NW,26,1004.0
,2019-01-2,14.5,25.4,0,9.8,10.9,NW,43,11:50,18.4,41,5,NW,20,1010.1,23.5,34,2,ESE,17,1009.3
,2019-01-3,12.1,26.0,0,7.6,12.6,SSE,31,15:37,18.1,56,1,NNW,19,1014.6,24.6,55,1,SE,22,1011.1
,2019-01-4,18.0,34.0,0,9.6,11.2,N,59,04:52,26.0,35,1,NNW,31,1000.3,21.9,62,3,S,20,998.6
,2019-01-5,15.4,24.7,0,11.8,12.4,NW,54,09:02,19.2,37,6,NW,26,1007.2,22.2,26,7,WNW,24,1007.8
,2019-01-6,13.7,25.5,0,6.8,12.3,NW,50,11:50,18.7,45,3,NNW,20,1014.2,24.5,36,4,WNW,28,1014.4
,2019-01-7,11.0,22.0,0,9.8,7.5,SE,39,13:23,18.4,48,3,NNW,7,1019.3,19.6,54,1,SE,22,1016.7
,2019-01-8,14.9,22.2,0,7.6,11.0,SE,43,14:01,19.3,63,3,E,13,1009.1,20.1,63,5,SE,31,1004.8
,2019-01-9,11.6,20.8,0,7.2,11.8,NW,59,14:07,15.0,49,1,NNW,20,1010.6,19.3,31,3,NW,28,1010.3
,2019-01-10,12.0,23.4,0,8.6,10.1,NW,65,10:29,14.6,63,3,NNW,20,1015.4,22.5,33,3,NW,28,1015.5
,2019-01-11,14.6,30.0,0,7.8,11.8,NNW,52,22:07,18.0,64,6,NE,11,1018.4,25.9,37,1,SE,19,1012.4
,2019-01-12,17.9,23.7,0,9.0,10.6,SW,63,10:42,20.1,56,5,SW,28,1010.0,22.9,26,4,SW,24,1015.0
,2019-01-13,9.9,23.4,0.2,12.0,12.9,SSE,31,15:22,17.7,46,1,N,7,1024.6,22.3,34,4,SE,20,1022.6
,2019-01-14,14.0,25.2,0,8.0,12.5,SSW,43,20:28,20.1,54,1,N,13,1018.8,24.3,43,6,SE,20,1014.6
,2019-01-15,17.4,28.2,0,7.8,11.2,SE,35,13:21,23.3,63,1,NNW,9,1010.0,24.8,50,5,SE,28,1006.1
,2019-01-16,16.0,20.1,0,8.0,5.6,ESE,33,12:09,17.0,68,7,SE,13,1011.0,19.6,58,5,SE,24,1011.5
,2019-01-17,15.7,25.2,0,6.8,8.2,ESE,33,14:36,18.4,71,8,E,4,1009.7,24.6,57,5,ESE,17,1005.0
,2019-01-18,16.9,23.2,0,5.6,4.6,WSW,81,22:41,17.5,80,8,ESE,11,1006.6,21.1,64,3,SE,30,1003.3
,2019-01-19,13.6,24.0,0,6.2,11.8,W,70,23:04,17.0,45,4,NNW,22,1014.4,23.3,32,3,NW,28,1014.3
,2019-01-20,16.7,29.4,0,9.8,11.8,NW,65,00:49,20.9,51,7,S,9,1015.4,26.6,35,5,ESE,15,1015.3
,2019-01-21,15.6,31.0,0,8.0,14.2,NNW,44,10:06,22.9,45,1,N,9,1014.7,22.4,61,1,SE,26,1012.5
,2019-01-22,14.9,23.9,0,7.0,11.8,SSW,50,22:25,19.1,73,1,SE,9,1011.0,21.9,62,1,SE,26,1009.0
,2019-01-23,12.7,17.7,0,9.6,9.0,S,56,01:46,15.1,59,7,S,11,1017.7,16.8,47,1,SE,22,1019.6
,2019-01-24,12.1,26.4,0.2,7.4,9.7,NNW,56,22:42,17.1,55,1,NNW,17,1018.8,23.3,45,6,SE,17,1014.5
,2019-01-25,17.1,37.9,0,9.2,4.3,NW,89,16:57,24.5,35,5,NNW,11,1001.3,35.2,27,7,NW,44,996.1
,2019-01-26,16.7,21.6,0,11.6,9.5,NW,46,23:23,18.8,49,5,NW,19,1007.7,18.7,60,1,SE,28,1006.9
,2019-01-27,15.6,25.2,0,8.0,12.0,WNW,63,14:45,18.9,47,3,WNW,20,1003.4,24.4,34,4,NW,31,1002.1
,2019-01-28,14.5,31.1,0,11.0,12.4,NNW,65,09:05,19.5,43,1,NW,35,1008.4,30.6,25,1,WNW,33,1005.0
,2019-01-29,19.1,32.9,0,13.4,11.0,WNW,59,12:14,22.1,37,4,NNW,19,1006.8,31.0,19,6,WNW,31,1004.5
,2019-01-30,14.0,31.9,0,10.4,5.7,W,56,15:59,18.0,59,7,NNW,19,1007.5,26.4,32,7,ESE,11,1002.2
,2019-01-31,13.5,19.0,0,7.2,6.3,SSW,56,02:31,14.1,54,6,SSW,22,1005.0,17.4,35,2,SW,31,1010.7
