"Daily Weather Observations for Hobart, Tasmania for February 2019"
"Prepared at 13:03 UTC on Tuesday 20 August 2019   IDCJDW7021.201902"
"Copyright 2003 Commonwealth Bureau of Meteorology"
"Most observations from Battery Point, but cloud, evaporation and sunshine from Hobart Airport."
"Conditions at Hobart Airport may be markedly different to those in the city on some days. Some cloud observations are from automated equipment; these are somewhat different to those made by a human observer and may not appear every day."
"Temperature, humidity, wind, pressure and rainfall observations are from Hobart (Ellerslie Road) {station 094029}"
"Cloud, evaporation and sunshine observations are from Hobart Airport {station 094008}"

,"Date","Minimum temperature (°C)","Maximum temperature (°C)","Rainfall (mm)","Evaporation (mm)","Sunshine (hours)","Direction of maximum wind gust ","Speed of maximum wind gust (km/h)","Time of maximum wind gust","9am Temperature (°C)","9am relative humidity (%)","9am cloud amount (oktas)","9am wind direction","9am wind speed (km/h)","9am MSL pressure (hPa)","3pm Temperature (°C)","3pm relative humidity (%)","3pm cloud amount (oktas)","3pm wind direction","3pm wind speed (km/h)","3pm MSL pressure (hPa)"
,2019-02-1,9.5,19.9,0,4.8,13.1,SE,43,15:49,13.9,52,2,NW,22,1024.8,18.2,46,4,SE,22,1023.8
,2019-02-2,11.0,27.3,0,6.4,12.5,ENE,46,17:48,16.3,58,1,NNW,13,1021.0,25.0,40,2,SE,17,1014.6
,2019-02-3,16.0,27.1,0,7.4,11.6,SE,48,13:14,22.9,52,0,NNW,15,1007.2,23.4,58,1,SE,28,1006.2
,2019-02-4,14.7,22.4,0,7.6,10.8,SSE,41,14:30,17.6,73,7,SE,13,1014.1,20.7,59,1,SE,26,1014.4
,2019-02-5,13.5,18.1,0,8.6,0.0,S,33,03:32,13.6,76,8,S,17,1024.1,14.8,67,8,SE,11,1025.0
,2019-02-6,13.0,23.8,0,1.6,6.4,NNE,43,15:28,17.7,65,7,N,13,1023.5,22.8,49,6,NE,24,1019.7
,2019-02-7,17.2,29.7,26.2,7.0,7.4,NNW,48,13:01,19.1,96,8,S,2,1009.5,28.7,40,4,NW,26,1003.7
,2019-02-8,16.1,23.5,4.6,5.4,10.9,WNW,59,10:47,21.7,56,4,N,17,999.7,22.4,31,3,WNW,35,998.6
,2019-02-9,13.1,17.4,0,8.2,5.5,SSW,50,12:26,14.0,67,8,NW,17,990.7,13.7,63,7,SW,22,994.2
,2019-02-10,12.3,25.0,0.2,3.8,10.1,NW,57,08:31,17.1,57,2,NNW,26,1000.3,21.2,55,7,NNW,26,999.9
,2019-02-11,16.2,26.0,0,6.4,6.0,WNW,59,11:41,22.3,54,2,NNW,20,996.3,25.0,49,7,NW,19,992.9
,2019-02-12,15.6,17.8,1.8,6.4,8.3,WNW,94,15:16,15.7,78,7,NW,22,979.1,16.2,37,3,NW,28,984.9
,2019-02-13,8.0,19.5,1.8,6.4,11.7,W,52,11:37,11.3,57,1,NNW,20,1001.2,17.8,32,3,SW,22,1004.4
,2019-02-14,10.2,19.7,0,7.0,6.3,NW,52,00:05,15.6,61,5,N,20,1007.0,18.7,58,7,NW,22,1010.7
,2019-02-15,13.2,21.5,0,5.6,7.1,NW,43,00:36,16.7,63,7,W,7,1022.0,19.8,59,6,SE,19,1022.9
,2019-02-16,14.7,25.0,0,4.2,9.3,SSE,43,16:27,17.7,73,7,NNW,15,1019.6,21.6,63,6,SE,26,1015.1
,2019-02-17,14.6,27.4,0,5.6,6.8,WNW,48,20:37,18.0,66,7,N,11,1010.5,22.8,47,7,WNW,22,1006.6
,2019-02-18,17.8,24.7,0.2,4.4,11.7,WNW,72,10:25,18.6,69,7,S,13,999.5,22.3,32,1,NW,30,997.8
,2019-02-19,12.7,21.6,0,7.8,11.0,NW,65,09:11,15.7,45,2,NNW,33,1003.8,20.3,34,2,WNW,20,1006.7
,2019-02-20,12.9,22.3,0,8.4,9.3,WNW,65,14:00,16.2,55,2,N,17,1006.0,20.2,38,6,WNW,33,1005.9
,2019-02-21,12.3,19.8,0,7.2,4.9,NW,44,05:47,14.6,57,6,NNW,26,1012.0,19.1,43,7,WSW,26,1015.1
,2019-02-22,12.0,22.2,0,3.4,7.3,SW,39,17:13,17.0,56,6,WSW,9,1022.0,18.8,57,5,ESE,17,1021.1
,2019-02-23,12.6,16.8,0,4.0,11.1,ESE,39,11:39,13.9,59,4,SSE,20,1028.8,16.0,52,1,ESE,24,1029.8
,2019-02-24,9.1,24.3,0,3.8,12.1,N,33,22:37,12.9,69,0,NNW,15,1030.3,21.5,54,0,ESE,19,1028.0
,2019-02-25,12.9,35.2,0,9.6,10.6,SE,52,14:44,20.0,24,0,NNW,22,1022.7,31.7,21,1,ESE,13,1018.3
,2019-02-26,13.1,19.1,0.4,7.2,5.0,SSW,54,19:32,13.5,87,7,SSE,13,1021.2,17.3,55,6,SE,22,1021.1
,2019-02-27,8.3,19.8,0.2,4.2,12.1,SE,30,16:02,12.5,62,1,NNW,15,1027.0,19.2,46,1,SE,17,1024.9
,2019-02-28,12.4,23.3,0,3.8,5.7,NNW,26,08:30,15.8,67,7,NNW,9,1024.0,22.3,46,6,ESE,15,1021.3
