"Daily Weather Observations for Hobart, Tasmania for April 2019"
"Prepared at 13:03 UTC on Sunday 18 August 2019   IDCJDW7021.201904"
"Copyright 2003 Commonwealth Bureau of Meteorology"
"Most observations from Battery Point, but cloud, evaporation and sunshine from Hobart Airport."
"Conditions at Hobart Airport may be markedly different to those in the city on some days. Some cloud observations are from automated equipment; these are somewhat different to those made by a human observer and may not appear every day."
"Temperature, humidity, wind, pressure and rainfall observations are from Hobart (Ellerslie Road) {station 094029}"
"Cloud, evaporation and sunshine observations are from Hobart Airport {station 094008}"

,"Date","Minimum temperature (°C)","Maximum temperature (°C)","Rainfall (mm)","Evaporation (mm)","Sunshine (hours)","Direction of maximum wind gust ","Speed of maximum wind gust (km/h)","Time of maximum wind gust","9am Temperature (°C)","9am relative humidity (%)","9am cloud amount (oktas)","9am wind direction","9am wind speed (km/h)","9am MSL pressure (hPa)","3pm Temperature (°C)","3pm relative humidity (%)","3pm cloud amount (oktas)","3pm wind direction","3pm wind speed (km/h)","3pm MSL pressure (hPa)"
,2019-04-1,7.2,17.3,0,2.8,9.0,NNW,33,00:56,11.0,68,6,NW,7,1024.1,15.7,48,2,SE,11,1023.5
,2019-04-2,6.9,21.4,0,3.4,10.8,NNW,30,09:20,8.8,78,7,NNW,15,1026.1,20.9,34,7,NNW,13,1021.2
,2019-04-3,8.8,18.6,0,4.6,5.4,SW,61,10:05,17.8,50,7,N,15,1015.9,17.1,33,3,WSW,31,1023.9
,2019-04-4,5.6,17.3,0,3.4,9.8,NE,33,17:45,8.1,70,1,NNW,15,1036.6,16.2,48,1,SE,17,1034.4
,2019-04-5,7.8,21.9,0,4.0,8.6,N,61,14:49,11.9,60,1,N,6,1028.8,21.2,48,7,N,35,1020.6
,2019-04-6,11.9,20.9,12.6,4.2,7.8,W,76,01:15,15.6,54,3,W,11,1012.3,19.7,39,3,NW,30,1014.0
,2019-04-7,8.6,22.0,0.2,6.0,8.4,W,87,20:39,14.3,59,5,NNW,20,1010.9,20.8,40,7,NW,30,1003.2
,2019-04-8,9.0,18.2,6.8,6.0,6.9,NW,63,10:12,13.4,54,1,NNW,9,1007.2,17.6,41,7,NW,31,1001.5
,2019-04-9,7.3,16.0,0.6,3.6,7.8,SW,48,14:45,10.9,55,6,NW,19,1010.4,13.1,52,7,SSW,22,1013.1
,2019-04-10,7.1,18.3,0,3.2,9.8,NNW,37,13:01,13.0,58,6,N,13,1023.0,16.8,45,6,ESE,13,1022.0
,2019-04-11,6.6,18.9,0,4.2,9.5,ESE,26,15:42,12.8,64,7,N,9,1024.7,16.9,51,1,SE,13,1023.3
,2019-04-12,7.0,22.2,0,2.8,10.5,N,39,11:11,10.9,76,0,NNW,19,1022.7,21.7,34,1,N,15,1017.0
,2019-04-13,10.4,16.4,0.4,3.0,6.2,NW,41,02:42,13.5,77,6,S,13,1024.2,14.5,66,1,SE,20,1025.7
,2019-04-14,11.0,17.9,0,3.6,7.8,E,24,16:45,13.2,62,7, ,Calm,1031.1,16.2,55,1,ESE,13,1028.1
,2019-04-15,10.2,21.0,0,2.8,8.7,N,44,12:00,15.6,60,1,N,9,1027.4,20.1,41,1,NNE,22,1021.8
,2019-04-16,12.5,27.6,0,3.8,8.8,N,39,11:43,15.8,68,1,NNW,24,1021.7,27.2,33,1,NNW,13,1018.5
,2019-04-17,15.8,28.7,0,4.6,6.2,NNW,61,12:15,19.5,55,1,NNW,24,1016.7,26.6,32,7,NNW,35,1012.5
,2019-04-18,9.9,16.6,8.8,6.8,6.6,WSW,52,13:04,11.2,64,6,NNW,22,1020.9,15.6,43,5,WSW,17,1024.1
,2019-04-19,5.4,15.2,0,2.6,9.7,NNW,24,08:10,9.3,73,1,N,13,1032.5,14.6,49,1,SE,17,1029.5
,2019-04-20,7.4,23.1,0,2.4,9.0,NNW,37,11:29,9.4,80,6,NW,20,1026.0,22.5,46,1,NNW,17,1021.4
,2019-04-21,9.4,25.7,0,3.8,7.8,NNW,50,10:28,15.2,73,7,N,20,1018.0,25.4,43,7,NE,6,1015.0
,2019-04-22,12.2,19.4,1.2,3.8,8.9,NW,46,12:45,14.4,55,3,N,13,1021.9,18.1,41,3,W,17,1022.9
,2019-04-23,7.7,20.3,0,4.0,8.8,WNW,37,18:15,11.6,71,1,NNW,19,1026.5,18.6,51,6,NW,20,1023.9
,2019-04-24,10.0,19.4,0,4.0,6.1,NW,70,23:58,12.6,83,7,NW,13,1021.2,18.7,48,7,NNW,19,1014.8
,2019-04-25,12.4,19.1,0,3.6,6.4,NW,87,22:50,15.3,54,6,NNW,28,1010.9,17.6,43,7,NW,30,1005.7
,2019-04-26,7.4,12.7,1.4,5.4,8.2,WNW,81,09:37,9.0,64,5,W,20,1001.8,11.1,45,3,W,26,1005.0
,2019-04-27,6.2,15.9,0.2,3.6,4.8,W,83,16:59,10.9,62,7,N,24,1012.9,15.3,55,7,NW,24,1008.0
,2019-04-28,10.9,14.4,0.2,5.8,8.1,WSW,98,05:03,13.2,55,7,E,11,1012.3,13.9,46,3,WSW,26,1016.2
,2019-04-29,7.9,18.7,0,3.8,8.8,NW,48,10:51,12.3,62,7,NW,28,1021.9,18.2,51,7,NNW,17,1018.5
,2019-04-30,8.5,22.1,0,2.8,8.3,,,09:24,12.0,69,7,NNW,22,1014.1,21.5,35,6,N,11,1010.6
