"Daily Weather Observations for Hobart, Tasmania for May 2019"
"Prepared at 13:03 UTC on Saturday 17 August 2019   IDCJDW7021.201905"
"Copyright 2003 Commonwealth Bureau of Meteorology"
"Most observations from Battery Point, but cloud, evaporation and sunshine from Hobart Airport."
"Conditions at Hobart Airport may be markedly different to those in the city on some days. Some cloud observations are from automated equipment; these are somewhat different to those made by a human observer and may not appear every day."
"Temperature, humidity, wind, pressure and rainfall observations are from Hobart (Ellerslie Road) {station 094029}"
"Cloud, evaporation and sunshine observations are from Hobart Airport {station 094008}"

,"Date","Minimum temperature (°C)","Maximum temperature (°C)","Rainfall (mm)","Evaporation (mm)","Sunshine (hours)","Direction of maximum wind gust ","Speed of maximum wind gust (km/h)","Time of maximum wind gust","9am Temperature (°C)","9am relative humidity (%)","9am cloud amount (oktas)","9am wind direction","9am wind speed (km/h)","9am MSL pressure (hPa)","3pm Temperature (°C)","3pm relative humidity (%)","3pm cloud amount (oktas)","3pm wind direction","3pm wind speed (km/h)","3pm MSL pressure (hPa)"
,2019-05-1,10.2,,0,3.2,1.7,,,,12.8,65,7,,,1017.0,16.7,54,7,E,2,1017.1
,2019-05-2,10.2,18.3,,1.0,1.2,NW,24,15:21,13.3,94,7,SSW,4,1018.9,17.2,76,7,NNW,2,1015.6
,2019-05-3,12.2,19.3,1.6,1.0,7.4,NW,54,09:55,14.8,76,1,NNW,15,1009.0,18.5,43,3,NW,20,1007.4
,2019-05-4,9.1,15.3,0.2,3.8,4.2,SW,41,11:08,12.1,71,4, ,Calm,1013.7,14.5,66,1,S,20,1017.6
,2019-05-5,9.2,13.6,0,1.4,1.4,SE,35,13:11,11.3,80,7,SSW,13,1026.8,12.1,58,7,SE,20,1025.9
,2019-05-6,10.4,13.1,0.2,2.8,1.1,S,37,11:15,10.9,62,7,S,17,1024.0,12.1,61,7,SE,26,1020.2
,2019-05-7,4.1,16.0,0,1.4,8.2,NNW,31,09:31,6.3,82,7,NNW,17,1011.6,13.9,57,7,ESE,7,1006.6
,2019-05-8,5.9,16.1,0,1.6,4.1,NW,33,12:58,7.8,79,6,NW,20,1005.3,14.8,58,5,NNW,13,1004.7
,2019-05-9,7.8,14.7,0,1.4,1.4,NNW,43,04:14,10.7,67,7,NNW,22,1009.3,14.6,61,7,N,11,1004.6
,2019-05-10,9.8,12.1,0.6,1.8,0.0,SW,33,06:41,11.1,64,7,SSW,13,1016.1,10.9,70,7,SW,15,1016.6
,2019-05-11,5.3,16.0,0,3.0,6.6,SSW,56,15:09,11.1,67,3,WSW,11,1017.1,15.4,39,3,SSW,24,1016.8
,2019-05-12,9.1,17.8,0,1.6,8.7,WNW,44,14:28,12.7,64,3,ENE,6,1019.6,15.5,38,1,NW,20,1020.3
,2019-05-13,8.2,19.0,0,2.4,8.1,NW,87,13:08,14.9,56,6,NW,30,1016.2,18.1,40,1,NW,46,1011.5
,2019-05-14,10.3,15.2,4.8,4.8,7.0,NNW,61,19:48,12.2,56,5,NNW,22,1019.7,14.3,51,5,NNW,28,1019.0
,2019-05-15,10.4,19.7,0,3.4,7.6,N,44,03:23,14.1,65,6,NW,22,1025.7,18.3,48,2,NW,22,1025.5
,2019-05-16,7.5,17.7,0,2.8,9.0,NNW,28,10:21,10.1,83,1,NW,15,1026.2,17.1,53,1,NNW,11,1023.0
,2019-05-17,7.2,17.5,0,1.8,6.5,NW,54,13:56,11.4,72,7,NNW,20,1023.5,16.0,50,7,NNW,22,1022.3
,2019-05-18,10.9,19.2,0,1.8,7.8,WNW,43,02:09,13.8,63,1,SSW,6,1028.0,17.5,51,3,E,11,1027.3
,2019-05-19,6.3,15.4,0,3.0,7.3,NNW,28,23:24,8.0,93,1,NNW,13,1029.5,13.2,70,7,E,6,1026.2
,2019-05-20,5.0,14.2,0,1.6,3.4,NNW,37,09:57,7.8,81,7,NNW,22,1021.0,10.6,83,7,NNW,20,1015.9
,2019-05-21,7.5,18.1,0.4,0.2,2.5,WNW,48,15:40,14.2,67,7,N,17,1014.0,17.9,49,3,WNW,24,1015.1
,2019-05-22,10.0,17.5,0,2.4,7.7,NW,44,15:38,13.3,57,1,NE,11,1022.9,17.2,47,1,NNW,24,1021.7
,2019-05-23,10.9,17.9,0.2,2.6,6.7,NNW,54,05:22,13.5,58,7,NNW,31,1020.8,16.9,43,7,NW,26,1016.5
,2019-05-24,8.3,18.5,0,3.2,3.2,NNW,37,00:19,11.0,67,7,N,7,1012.9,17.0,57,7,NNW,15,1008.3
,2019-05-25,10.4,16.4,0.4,0.8,6.7,NW,57,12:02,14.0,59,2,N,13,1004.4,15.0,45,7,NW,33,1001.7
,2019-05-26,9.7,14.5,0.2,3.8,5.1,NW,50,13:57,10.8,61,1,N,22,1001.4,10.8,72,7,NW,22,997.3
,2019-05-27,5.8,12.3,1.4,2.6,7.0,N,46,03:12,7.5,68,2,N,15,995.0,10.9,54,6,WSW,11,996.7
,2019-05-28,6.6,11.0,2.4,2.6,5.4,NW,65,01:38,9.3,51,2,WNW,30,993.4,6.9,80,7,NW,26,990.0
,2019-05-29,3.1,10.1,3.8,2.0,4.9,SW,65,20:04,5.9,75,2,N,7,991.6,7.9,63,6,WSW,33,994.4
,2019-05-30,5.5,13.7,7.2,1.4,2.4,SW,76,18:50,7.6,65,7,NW,11,1010.6,13.3,54,7,W,33,1008.1
,2019-05-31,7.6,14.2,0,1.4,0.6,SW,44,10:22,11.7,69,6,SW,11,1020.0,14.1,60,7,WSW,6,1022.8
