"Daily Weather Observations for Hobart, Tasmania for December 2019"
"Prepared at 13:03 UTC on Saturday  8 August 2020   IDCJDW7021.201912"
"Copyright 2003 Commonwealth Bureau of Meteorology"
"Most observations from Battery Point, but cloud, evaporation and sunshine from Hobart Airport."
"Conditions at Hobart Airport may be markedly different to those in the city on some days. Some cloud observations are from automated equipment; these are somewhat different to those made by a human observer and may not appear every day."
"Temperature, humidity, wind, pressure and rainfall observations are from Hobart (Ellerslie Road) {station 094029}"
"Cloud, evaporation and sunshine observations are from Hobart Airport {station 094008}"

,"Date","Minimum temperature (°C)","Maximum temperature (°C)","Rainfall (mm)","Evaporation (mm)","Sunshine (hours)","Direction of maximum wind gust ","Speed of maximum wind gust (km/h)","Time of maximum wind gust","9am Temperature (°C)","9am relative humidity (%)","9am cloud amount (oktas)","9am wind direction","9am wind speed (km/h)","9am MSL pressure (hPa)","3pm Temperature (°C)","3pm relative humidity (%)","3pm cloud amount (oktas)","3pm wind direction","3pm wind speed (km/h)","3pm MSL pressure (hPa)"
,2019-12-1,8.5,18.4,1.4,4.8,8.2,NW,56,08:01,12.8,53,7,NNW,37,992.0,17.3,41,6,WSW,20,986.2
,2019-12-2,8.5,16.6,0.4,5.4,7.2,WSW,69,13:29,12.2,53,6,SE,9,984.7,12.2,58,5,SW,35,987.2
,2019-12-3,7.7,15.8,0.4,4.6,10.8,WNW,76,14:24,12.1,51,6,WNW,24,987.4,14.1,53,3,NW,28,987.2
,2019-12-4,5.8,18.2,3.4,7.4,9.1,W,72,11:31,10.5,45,5,WNW,17,997.7,17.7,36,5,W,19,995.8
,2019-12-5,10.5,21.0,0,9.0,6.3,W,87,17:13,13.5,55,6,NNW,26,994.5,19.2,39,7,W,43,991.6
,2019-12-6,9.4,18.2,0,6.4,8.3,W,81,16:37,12.4,62,5,WNW,17,995.8,15.8,45,7,WNW,24,996.1
,2019-12-7,10.0,19.5,1.4,7.2,5.2,W,63,00:31,11.9,62,7,NNE,15,1004.2,15.9,77,7,SW,20,1006.6
,2019-12-8,8.9,19.2,0.8,4.0,11.4,SE,30,11:41,15.9,52,6,NW,9,1019.1,18.3,53,7,SE,13,1018.3
,2019-12-9,13.3,30.5,0,5.8,3.6,NNW,50,08:19,18.0,50,7,NNW,33,1011.9,28.4,27,7,NE,11,1007.3
,2019-12-10,12.8,20.3,0,6.2,11.2,SW,44,07:08,15.9,45,7,SW,26,1015.7,16.6,53,1,E,28,1016.5
,2019-12-11,9.8,22.0,0,7.4,6.9,N,43,10:10,15.9,56,7,NNW,13,1017.3,18.5,64,8,SSE,11,1014.4
,2019-12-12,12.9,18.9,0,3.8,9.9,SW,52,09:23,13.5,63,7,SW,19,1009.8,17.2,31,3,WSW,28,1011.3
,2019-12-13,10.7,19.0,0.2,8.2,1.5,N,56,09:06,13.0,57,7,NNW,31,1008.6,17.7,53,7,NW,24,1005.5
,2019-12-14,10.8,18.7,0.4,4.8,5.8,NNW,39,23:04,10.9,90,7,SSE,13,1007.2,16.8,40,6,SW,17,1007.2
,2019-12-15,9.5,20.1,3.6,4.8,3.0,WSW,46,16:34,12.8,66,7,NNW,13,1002.4,16.7,69,7,NNW,9,999.5
,2019-12-16,10.7,19.7,0.6,2.0,11.0,SSE,31,15:19,14.5,61,7,NNW,7,1013.0,19.6,46,3,SE,20,1013.3
,2019-12-17,11.4,22.4,0,6.4,10.1,ESE,43,14:00,19.5,42,6,NNE,9,1016.8,18.6,64,1,ESE,30,1016.7
,2019-12-18,14.3,23.6,0,6.6,8.8,ESE,30,16:37,19.0,63,7,ENE,7,1015.5,22.0,58,7,ESE,19,1008.9
,2019-12-19,15.3,23.7,0,4.4,12.1,SE,52,13:15,18.2,40,3,SW,17,1011.7,20.9,35,4,S,20,1014.0
,2019-12-20,10.1,32.4,0,10.0,11.6,WNW,72,22:30,15.4,62,7,NNW,22,1015.9,28.1,31,3,ENE,11,1008.3
,2019-12-21,15.4,22.7,0,14.2,12.6,N,57,23:13,18.2,44,3,NW,17,1007.6,21.0,25,1,NW,20,1010.5
,2019-12-22,11.3,19.7,0,11.2,12.4,NW,43,00:06,15.2,41,6,ESE,15,1021.6,17.8,49,7,SE,26,1020.7
,2019-12-23,12.2,15.9,0,7.8,1.3,SE,35,12:33,12.9,74,7,S,7,1019.9,14.0,64,7,SE,24,1019.0
,2019-12-24,10.1,19.2,0,4.0,10.3,ESE,33,17:10,13.5,57,6,ESE,13,1023.1,18.5,45,1,SE,20,1020.7
,2019-12-25,11.3,22.2,0,8.6,9.7,ESE,39,15:33,18.8,52,1,N,9,1016.8,20.4,49,6,ESE,20,1014.7
,2019-12-26,12.7,22.3,0,6.6,11.2,SE,39,15:08,17.8,62,6,NE,13,1017.6,20.5,52,1,ESE,22,1016.0
,2019-12-27,10.8,20.6,0,8.4,12.7,ENE,37,18:46,16.4,53,2,ESE,15,1021.8,18.4,47,1,SSE,20,1019.5
,2019-12-28,14.9,27.5,0,8.4,,SE,41,12:40,20.4,47,1,NNW,15,1010.4,22.1,50,4,ESE,20,1008.9
,2019-12-29,13.2,24.6,0,8.2,12.9,S,46,20:19,19.6,61,7,NW,13,1014.7,20.5,62,6,ESE,33,1012.7
,2019-12-30,14.4,40.8,0,6.6,9.7,NW,87,17:03,20.9,58,1,ENE,6,1004.1,37.8,17,4,WNW,39,993.9
,2019-12-31,13.2,23.4,3.4,14.2,11.2,NNW,61,17:13,18.6,39,1,N,11,1004.6,22.8,26,4,WNW,26,1005.4
