"Daily Weather Observations for Hobart, Tasmania for January 2020"
"Prepared at 16:03 UTC on Friday  7 August 2020   IDCJDW7021.202001"
"Copyright 2003 Commonwealth Bureau of Meteorology"
"Most observations from Battery Point, but cloud, evaporation and sunshine from Hobart Airport."
"Conditions at Hobart Airport may be markedly different to those in the city on some days. Some cloud observations are from automated equipment; these are somewhat different to those made by a human observer and may not appear every day."
"Temperature, humidity, wind, pressure and rainfall observations are from Hobart (Ellerslie Road) {station 094029}"
"Cloud, evaporation and sunshine observations are from Hobart Airport {station 094008}"

,"Date","Minimum temperature (°C)","Maximum temperature (°C)","Rainfall (mm)","Evaporation (mm)","Sunshine (hours)","Direction of maximum wind gust ","Speed of maximum wind gust (km/h)","Time of maximum wind gust","9am Temperature (°C)","9am relative humidity (%)","9am cloud amount (oktas)","9am wind direction","9am wind speed (km/h)","9am MSL pressure (hPa)","3pm Temperature (°C)","3pm relative humidity (%)","3pm cloud amount (oktas)","3pm wind direction","3pm wind speed (km/h)","3pm MSL pressure (hPa)"
,2020-01-1,11.9,23.3,0,7.8,10.4,NNW,52,11:45,17.4,41,3,NW,26,1010.8,22.1,36,7,NNW,28,1009.3
,2020-01-2,15.7,25.9,0,9.6,10.4,NW,50,06:11,19.0,43,6,NNW,22,1015.1,19.0,60,6,SE,30,1015.0
,2020-01-3,14.8,20.7,0,7.0,7.1,SSE,30,15:18,16.2,64,7,ESE,9,1016.6,19.7,59,7,ESE,17,1011.8
,2020-01-4,15.8,28.1,0,6.8,3.5,W,80,12:21,19.9,49,6,NNW,20,1001.6,20.6,28,6,WSW,24,1005.3
,2020-01-5,11.6,22.9,0,6.4,9.7,WNW,52,10:59,14.2,48,7,NNW,22,1020.7,21.9,27,3,E,15,1019.6
,2020-01-6,9.6,20.9,0,6.8,11.2,SSW,37,14:44,15.3,54,3,E,9,1022.9,20.8,53,1,SSE,20,1019.7
,2020-01-7,14.5,19.3,0,7.8,6.8,ESE,31,10:59,17.3,76,7,SE,9,1018.8,16.8,72,8,ESE,20,1018.3
,2020-01-8,12.5,23.2,0,4.6,11.4,SE,41,13:43,18.7,61,1,N,9,1019.9,20.3,51,2,SE,28,1019.1
,2020-01-9,12.8,30.9,0,7.2,10.5,NNW,52,20:44,19.8,57,2,N,19,1019.6,26.2,49,3,ESE,24,1014.8
,2020-01-10,19.8,30.3,0,11.4,0.9,WNW,76,16:42,22.4,56,7,N,22,998.9,21.2,68,8,E,11,996.2
,2020-01-11,12.8,19.1,2.2,5.6,8.2,WNW,69,11:55,14.2,45,3,ENE,11,1005.8,16.8,38,7,WSW,17,1009.0
,2020-01-12,11.9,23.3,0,6.6,11.4,SE,39,14:26,15.3,49,2,NE,19,1017.9,20.2,48,1,ESE,22,1017.7
,2020-01-13,12.6,31.1,0,7.6,13.8,S,59,15:40,19.9,43,1,N,22,1017.7,30.9,21,2,N,20,1012.5
,2020-01-14,15.1,22.8,0,9.2,9.4,ESE,33,14:37,16.5,74,7,ESE,7,1020.7,22.0,54,1,ESE,22,1018.4
,2020-01-15,16.5,30.5,0,5.0,7.9,ESE,35,13:56,22.2,56,5,NNW,22,1012.6,26.0,55,1,ESE,26,1006.9
,2020-01-16,12.2,16.0,1.6,8.6,0.6,S,52,06:44,12.2,87,8,S,28,1008.7,15.3,64,7,S,30,1011.5
,2020-01-17,9.0,15.6,2.2,3.8,7.6,SSW,37,23:26,13.2,53,6,SSW,22,1018.7,13.7,51,3,SSE,19,1019.3
,2020-01-18,10.4,18.0,0,5.0,9.4,SE,37,16:52,13.3,51,7,NE,9,1020.0,17.4,48,1,ESE,22,1016.0
,2020-01-19,12.0,21.1,0,6.2,8.9,SE,31,15:07,17.0,58,6,NNW,13,1013.7,20.5,53,7,SE,20,1012.0
,2020-01-20,14.6,17.6,0,5.8,1.2,SE,43,16:47,14.9,73,7,SSE,17,1011.7,16.6,69,7,SSE,20,1008.6
,2020-01-21,13.1,18.4,0,4.0,7.4,SE,43,14:32,14.3,74,7,SSW,20,1006.9,17.5,60,1,SE,28,1005.1
,2020-01-22,12.9,29.6,0,6.8,7.1,N,69,16:43,17.9,57,6,N,19,1002.5,29.1,27,7,N,30,996.2
,2020-01-23,14.0,20.9,25.2,9.2,5.7,NW,70,18:28,14.5,77,8,NW,19,992.0,19.3,61,6,NNW,22,988.7
,2020-01-24,11.9,21.9,2.4,6.0,6.9,NW,65,10:09,15.6,54,6,NNW,22,999.1,19.1,41,6,NW,28,1002.5
,2020-01-25,14.9,24.9,0,4.8,5.2,NNW,52,11:18,17.5,51,7,NW,20,1008.6,23.5,45,7,NNW,30,1007.4
,2020-01-26,16.6,23.3,0,6.4,7.8,NW,61,13:36,20.8,52,7,NNW,17,1006.5,21.7,34,5,NNW,37,1007.1
,2020-01-27,14.7,23.4,0,7.4,6.2,NW,46,13:55,15.2,55,8,NNW,19,1012.2,20.6,36,5,WNW,28,1010.5
,2020-01-28,15.2,25.6,0,5.8,7.6,NW,57,02:33,16.4,57,7,NNW,19,1009.8,22.8,47,6,NW,20,1008.2
,2020-01-29,16.4,29.5,0,7.4,8.5,NW,50,09:45,20.5,57,4,NNW,28,1012.1,27.5,37,4,NW,20,1010.8
,2020-01-30,17.7,36.3,0,10.0,13.6,NW,69,05:15,28.5,19,1,NW,31,1004.3,35.2,16,1,NW,33,1005.2
,2020-01-31,15.6,40.4,0,10.6,9.0,NNW,67,14:01,19.9,63,0,NNW,31,1007.7,39.8,9,6,NNW,39,1001.3
