"Daily Weather Observations for Hobart, Tasmania for February 2020"
"Prepared at 13:03 UTC on Thursday 20 August 2020   IDCJDW7021.202002"
"Copyright 2003 Commonwealth Bureau of Meteorology"
"Most observations from Battery Point, but cloud, evaporation and sunshine from Hobart Airport."
"Conditions at Hobart Airport may be markedly different to those in the city on some days. Some cloud observations are from automated equipment; these are somewhat different to those made by a human observer and may not appear every day."
"Temperature, humidity, wind, pressure and rainfall observations are from Hobart (Ellerslie Road) {station 094029}"
"Cloud, evaporation and sunshine observations are from Hobart Airport {station 094008}"

,"Date","Minimum temperature (°C)","Maximum temperature (°C)","Rainfall (mm)","Evaporation (mm)","Sunshine (hours)","Direction of maximum wind gust ","Speed of maximum wind gust (km/h)","Time of maximum wind gust","9am Temperature (°C)","9am relative humidity (%)","9am cloud amount (oktas)","9am wind direction","9am wind speed (km/h)","9am MSL pressure (hPa)","3pm Temperature (°C)","3pm relative humidity (%)","3pm cloud amount (oktas)","3pm wind direction","3pm wind speed (km/h)","3pm MSL pressure (hPa)"
,2020-02-1,19.9,21.5,2.6,11.2,2.5,N,46,01:12,20.7,79,7,ESE,17,1000.0,19.7,61,6,SE,26,1003.0
,2020-02-2,11.9,21.9,0,5.6,11.8,NNW,76,09:19,17.0,48,1,NNW,28,1000.7,20.3,46,6,WNW,31,997.8
,2020-02-3,8.7,15.1,1.6,7.8,8.9,SW,72,12:10,10.1,58,5,WSW,20,1003.9,13.4,56,3,SW,26,1009.4
,2020-02-4,7.6,21.4,0.6,5.6,12.0,NNW,44,12:03,11.8,60,1,NNW,24,1020.6,19.1,35,3,NW,20,1018.9
,2020-02-5,9.3,19.4,0,7.0,11.1,SE,41,11:54,15.2,56,3,NNW,17,1020.9,15.2,66,4,SE,26,1021.8
,2020-02-6,12.0,21.8,0,5.4,8.7,ESE,31,15:24,15.3,65,7,N,17,1026.7,20.9,55,1,SE,19,1024.6
,2020-02-7,14.9,16.8,0,6.6,0.0,ESE,31,12:14,15.5,75,8,S,9,1028.5,15.6,75,8,SSE,20,1028.9
,2020-02-8,13.5,17.6,0,3.2,0.7,ESE,31,15:19,14.7,68,7,W,2,1034.0,17.2,65,7,SE,17,1032.3
,2020-02-9,14.2,22.3,0,3.2,5.2,NE,39,17:46,16.0,63,7,ENE,4,1031.2,20.7,45,6,NNE,20,1028.0
,2020-02-10,15.6,20.8,0,5.8,0.1,NE,31,16:35,17.0,65,7,N,13,1023.9,19.9,62,7,NE,15,1020.6
,2020-02-11,17.0,22.5,0.4,2.0,2.2,E,28,17:08,17.4,91,8,SE,11,1013.2,21.1,72,7,SE,11,1010.9
,2020-02-12,16.0,17.3,0.2,2.0,0.0,SE,35,15:23,16.2,83,8,SE,17,1018.8,16.8,76,7,SE,22,1020.0
,2020-02-13,13.0,20.6,1.0,3.6,4.1,SE,30,15:40,14.5,77,8,ENE,9,1022.3,20.0,56,7,ESE,9,1019.1
,2020-02-14,14.3,27.1,0.2,3.6,3.7,SSW,37,21:02,18.4,73,7,NNW,13,1013.0,25.7,59,7,SE,13,1007.2
,2020-02-15,14.5,18.7,3.8,4.8,5.8,SSE,57,15:34,14.6,85,7,S,26,1011.7,18.0,60,5,SSE,28,1013.8
,2020-02-16,11.2,17.1,0,5.6,12.1,S,41,16:18,14.3,60,2,SSW,22,1022.6,16.7,48,1,SE,24,1022.4
,2020-02-17,8.7,19.1,0,6.0,10.7,SE,30,14:12,13.0,63,7,NNW,9,1020.3,18.1,44,1,SE,20,1015.8
,2020-02-18,9.2,20.3,0,7.0,8.5,SE,39,15:48,14.3,66,1,NNW,11,1010.9,18.6,52,7,SE,22,1008.3
,2020-02-19,12.3,16.4,0.6,5.2,7.1,SSE,57,04:37,13.1,65,8,SSE,30,1010.1,15.1,56,7,SE,37,1010.1
,2020-02-20,11.5,20.3,0,5.2,6.2,SSW,43,13:32,14.8,64,7,SW,20,1011.7,18.0,46,5,SW,24,1010.0
,2020-02-21,10.1,19.5,1.0,5.2,10.4,WSW,44,13:07,13.7,51,5,WSW,17,1016.5,16.6,45,3,S,15,1018.8
,2020-02-22,7.5,21.9,0.2,5.0,12.4,SE,37,14:37,13.3,57,4,NNW,17,1024.2,21.6,36,1,SE,20,1021.8
,2020-02-23,11.8,24.8,0,5.6,12.8,SE,35,12:36,15.4,69,1,NNW,15,1021.9,20.6,54,2,SE,24,1016.5
,2020-02-24,13.8,21.3,0,4.0,2.7,SSE,30,17:10,15.6,76,7,NNW,4,1019.2,20.7,54,7,SE,13,1017.9
,2020-02-25,12.0,31.3,0,5.6,11.8,NW,50,12:57,17.6,67,1,NW,11,1010.1,31.2,23,5,NW,20,1002.5
,2020-02-26,10.1,17.3,2.0,7.6,6.3,SW,59,15:36,10.6,78,8,SSW,15,999.8,16.3,47,3,S,19,1001.8
,2020-02-27,10.3,21.2,1.0,5.0,3.3,W,74,20:34,13.9,61,7,N,19,998.2,19.0,43,7,WNW,26,995.2
,2020-02-28,8.2,20.4,0.6,5.0,10.9,WNW,59,23:34,11.8,57,5,NNW,9,1006.9,18.8,37,5,NW,26,1007.6
,2020-02-29,11.8,27.8,0,7.4,12.2,NNW,76,02:45,17.6,52,5,NNW,44,1007.5,27.4,18,2,WNW,22,1007.7
