"Daily Weather Observations for Hobart, Tasmania for April 2020"
"Prepared at 13:03 UTC on Tuesday 18 August 2020   IDCJDW7021.202004"
"Copyright 2003 Commonwealth Bureau of Meteorology"
"Most observations from Battery Point, but cloud, evaporation and sunshine from Hobart Airport."
"Conditions at Hobart Airport may be markedly different to those in the city on some days. Some cloud observations are from automated equipment; these are somewhat different to those made by a human observer and may not appear every day."
"Temperature, humidity, wind, pressure and rainfall observations are from Hobart (Ellerslie Road) {station 094029}"
"Cloud, evaporation and sunshine observations are from Hobart Airport {station 094008}"

,"Date","Minimum temperature (°C)","Maximum temperature (°C)","Rainfall (mm)","Evaporation (mm)","Sunshine (hours)","Direction of maximum wind gust ","Speed of maximum wind gust (km/h)","Time of maximum wind gust","9am Temperature (°C)","9am relative humidity (%)","9am cloud amount (oktas)","9am wind direction","9am wind speed (km/h)","9am MSL pressure (hPa)","3pm Temperature (°C)","3pm relative humidity (%)","3pm cloud amount (oktas)","3pm wind direction","3pm wind speed (km/h)","3pm MSL pressure (hPa)"
,2020-04-1,12.7,19.7,0,2.4,9.4,NW,28,01:10,15.2,71,1,SSE,6,1018.8,19.1,54,7,SE,17,1018.0
,2020-04-2,14.5,16.0,0,2.4,0.2,SSW,35,14:08,15.3,84,8,SW,7,1015.5,14.8,94,8,SW,20,1007.4
,2020-04-3,13.8,22.1,36.0,4.2,3.9,NNW,39,02:27,16.0,65,7,NNW,19,1002.3,20.4,50,2,NNE,17,999.8
,2020-04-4,13.8,14.5,10.4,2.0,1.0,W,48,12:03,14.0,95,8, ,Calm,988.1,13.1,60,7,W,13,988.6
,2020-04-5,6.0,13.4,1.0,1.4,5.7,SSW,54,12:32,7.9,68,7,NNW,6,995.2,13.1,41,4,SW,17,997.3
,2020-04-6,7.1,16.7,0,2.2,9.0,NNW,44,00:46,11.9,62,7,NW,13,1014.7,14.8,44,4,ESE,9,1016.7
,2020-04-7,5.6,18.2,0.2,1.8,7.6,S,33,21:04,12.0,65,2,NNW,17,1022.1,16.8,55,4,WNW,17,1020.0
,2020-04-8,8.8,14.0,0,3.0,6.7,SW,24,02:01,12.2,66,7,S,9,1028.3,13.7,55,1,ESE,13,1028.6
,2020-04-9,5.2,20.3,0,2.2,10.7,NNW,39,23:56,11.2,73,1,NNW,17,1029.1,20.0,42,1,N,13,1023.7
,2020-04-10,10.5,21.2,0,2.0,3.2,NW,69,15:07,16.6,56,6,N,17,1009.2,20.0,44,7,NW,33,1001.8
,2020-04-11,10.9,14.2,2.4,3.0,2.3,S,54,14:19,12.9,64,7,E,7,994.0,11.3,88,5,SSW,20,1001.5
,2020-04-12,9.3,16.2,2.8,2.2,3.9,WSW,57,14:10,12.8,62,7,NNW,31,1010.0,15.7,59,7,SW,30,1009.9
,2020-04-13,7.7,15.4,0,1.6,3.7,WSW,19,05:25,12.6,74,7,NE,9,1018.5,14.6,65,7,SE,9,1017.0
,2020-04-14,10.9,21.5,0,1.4,8.8,NNW,43,10:43,14.1,71,3,NNW,17,1019.4,21.0,51,1,N,11,1016.5
,2020-04-15,14.1,16.7,0,2.4,0.0,NW,56,17:24,14.9,91,7,NE,9,1017.1,15.0,90,8,NNW,17,1011.8
,2020-04-16,13.6,18.2,5.2,0.0,7.2,NW,54,13:09,15.5,72,6,N,19,1000.4,16.3,41,1,NW,20,1001.3
,2020-04-17,7.7,14.0,3.2,4.2,8.1,W,93,15:21,10.1,57,1,SW,20,999.4,12.9,42,4,W,43,998.8
,2020-04-18,8.4,14.6,0.2,3.8,8.5,W,78,00:42,11.7,55,2,WSW,13,1008.2,13.3,47,5,WSW,22,1008.5
,2020-04-19,6.7,13.0,0,1.8,1.4,SE,20,12:30,10.4,76,7,NNW,7,1013.7,12.2,76,7,SE,11,1012.3
,2020-04-20,9.8,17.6,1.0,0.8,4.8,W,65,17:21,11.9,84,8,NNW,19,1000.5,15.1,49,6,WNW,26,999.6
,2020-04-21,9.3,17.7,2.6,1.8,5.5,N,46,11:59,12.3,64,2,NNW,19,1011.0,16.2,47,7,NW,24,1007.7
,2020-04-22,11.3,16.2,0,2.8,8.7,NW,61,08:07,13.1,48,1,N,24,1009.3,15.7,38,1,E,7,1011.1
,2020-04-23,9.9,18.3,0,3.8,8.8,NNW,48,05:44,12.5,64,7,N,17,1013.3,17.9,49,6,NNW,22,1008.1
,2020-04-24,12.5,17.3,0,3.4,7.1,NW,56,10:31,15.0,44,1,NNW,26,1007.1,16.9,51,4,NNW,28,1006.5
,2020-04-25,13.8,18.4,0,3.8,1.6,NW,41,11:41,14.6,70,7,NE,7,1011.7,18.1,53,7,NW,22,1008.4
,2020-04-26,14.5,16.4,0,2.6,8.0,W,74,13:52,15.1,45,1,NW,33,1001.0,14.3,35,3,NW,17,1006.0
,2020-04-27,10.6,19.0,0,3.8,5.9,WNW,67,04:29,14.6,59,6,N,15,1012.4,16.7,55,5,NNW,19,1014.1
,2020-04-28,13.1,20.3,0,3.2,4.1,N,52,13:24,14.7,58,6,NNW,22,1014.3,18.7,41,7,NNW,28,1009.9
,2020-04-29,10.3,21.5,0,3.2,7.8,NNW,44,12:38,13.4,66,1,NNW,22,1003.9,18.6,64,4,N,17,999.5
,2020-04-30,10.6,15.7,13.0,2.6,3.8,N,22,13:13,11.0,91,7,NNW,9,1002.4,14.0,63,7,NE,9,998.6
