"Daily Weather Observations for Hobart, Tasmania for May 2020"
"Prepared at 13:03 UTC on Monday 17 August 2020   IDCJDW7021.202005"
"Copyright 2003 Commonwealth Bureau of Meteorology"
"Most observations from Battery Point, but cloud, evaporation and sunshine from Hobart Airport."
"Conditions at Hobart Airport may be markedly different to those in the city on some days. Some cloud observations are from automated equipment; these are somewhat different to those made by a human observer and may not appear every day."
"Temperature, humidity, wind, pressure and rainfall observations are from Hobart (Ellerslie Road) {station 094029}"
"Cloud, evaporation and sunshine observations are from Hobart Airport {station 094008}"

,"Date","Minimum temperature (°C)","Maximum temperature (°C)","Rainfall (mm)","Evaporation (mm)","Sunshine (hours)","Direction of maximum wind gust ","Speed of maximum wind gust (km/h)","Time of maximum wind gust","9am Temperature (°C)","9am relative humidity (%)","9am cloud amount (oktas)","9am wind direction","9am wind speed (km/h)","9am MSL pressure (hPa)","3pm Temperature (°C)","3pm relative humidity (%)","3pm cloud amount (oktas)","3pm wind direction","3pm wind speed (km/h)","3pm MSL pressure (hPa)"
,2020-05-1,8.5,15.0,0.2,1.2,8.3,NNW,57,23:37,10.1,83,1,NNW,15,989.1,14.6,62,6,NW,7,984.5
,2020-05-2,6.8,15.0,1.6,4.4,4.0,WSW,91,05:44,10.3,73,6,SSW,35,984.5,11.3,83,7,SW,20,994.1
,2020-05-3,8.7,12.9,6.0,1.4,6.6,SW,54,00:21,10.7,57,6,SSW,20,1015.1,12.2,60,6,SSW,19,1016.4
,2020-05-4,9.0,16.0,0,1.6,4.6,NNW,37,00:12,12.7,70,4,N,9,1024.5,15.4,62,7,SW,13,1024.4
,2020-05-5,5.4,17.3,0,0.6,,NW,31,15:50,9.0,81,3,NNW,13,1027.1,16.7,50,6,NNW,17,1023.0
,2020-05-6,8.9,15.9,0,2.2,,NW,52,12:30,14.1,58,7,NW,24,1019.4,15.4,58,7,ESE,9,1016.8
,2020-05-7,10.0,18.7,0,1.2,,NNW,59,20:03,11.0,73,7,NNW,13,1011.9,17.4,58,7,NE,9,1005.6
,2020-05-8,11.0,18.1,0.6,1.2,,NW,43,14:24,14.7,63,5,NNW,19,1005.8,17.4,39,2,NNW,26,1005.6
,2020-05-9,9.2,12.8,3.4,1.0,,WSW,28,16:20,9.9,94,8,N,13,999.5,12.1,65,7,S,9,1001.4
,2020-05-10,4.6,13.1,2.0,0.6,,NNW,39,14:44,9.0,69,2,NW,11,1014.6,11.6,52,6,NNW,17,1015.0
,2020-05-11,8.6,15.3,0,2.6,,NNW,44,11:21,10.9,75,7,NNW,28,1019.2,14.7,61,7,NNW,22,1018.2
,2020-05-12,10.8,18.5,0,2.0,,NNW,67,12:18,13.9,64,7,N,24,1012.3,13.9,77,7,NNW,17,1010.5
,2020-05-13,7.8,12.7,1.0,1.0,,WSW,54,11:27,10.0,57,1,NW,22,1018.1,9.8,56,7,WNW,15,1020.0
,2020-05-14,5.3,16.9,0.2,1.0,,NNW,41,10:45,11.3,65,5,NNW,26,1024.1,16.3,56,6,NNW,17,1024.0
,2020-05-15,7.8,17.0,0.2,1.4,,N,30,12:18,10.8,78,1,NNW,17,1027.8,16.2,57,1,NNW,19,1025.9
,2020-05-16,7.4,16.9,0,2.0,,NNW,59,11:51,10.1,69,5,NNW,31,1025.3,16.5,46,1,NNW,26,1023.5
,2020-05-17,9.2,15.9,0,2.2,,NW,39,04:58,12.3,68,1,NNW,15,1028.0,14.7,66,2,SE,11,1028.8
,2020-05-18,6.8,17.1,0,3.0,,N,28,23:19,9.7,79,3,NW,17,1031.0,16.3,60,5,NNE,13,1026.3
,2020-05-19,8.5,17.1,0,0.8,,NNW,50,19:01,9.7,78,7, ,Calm,1021.1,16.2,61,7,SW,7,1015.5
,2020-05-20,9.7,16.0,0,1.6,,NW,46,19:20,14.1,69,7,NW,2,1003.8,15.5,39,7,NNW,24,1000.9
,2020-05-21,7.7,14.8,0.4,1.8,,W,37,04:05,9.9,59,1,N,11,1011.4,14.1,44,3,WSW,6,1012.9
,2020-05-22,3.7,13.3,0,1.6,,N,20,09:04,7.2,77,0,NNW,7,1020.3,12.4,54,1,NE,7,1018.5
,2020-05-23,3.6,12.9,0,1.0,,SSW,35,23:32,5.7,88,3,NNW,15,1018.0,12.1,69,7,ESE,9,1016.1
,2020-05-24,5.7,11.4,0,0.8,,S,39,14:05,8.8,90,7,S,17,1023.9,9.7,76,7,SSW,19,1025.0
,2020-05-25,7.5,11.2,0.2,1.4,,NNW,26,13:03,8.1,71,7,WNW,7,1029.8,11.0,59,2,NNW,11,1027.1
,2020-05-26,0.9,12.4,0,0.8,,NNW,41,23:41,1.9,97,1,NNW,20,1028.1,11.9,57,1,NNW,13,1024.3
,2020-05-27,1.9,15.1,0,0.6,,N,48,00:37,5.8,80,4,NNW,22,1020.8,12.9,62,6,NW,9,1016.4
,2020-05-28,5.8,17.9,0,0.4,,NNW,46,19:04,10.5,73,1,NNW,15,1015.4,16.8,51,4,WNW,7,1014.1
,2020-05-29,10.5,18.9,0,2.0,,WNW,70,16:49,12.3,80,6,NNW,13,1020.0,18.4,49,7,NW,31,1017.9
,2020-05-30,9.8,17.6,0,1.8,,NNW,67,23:40,11.1,65,7,NNW,11,1017.9,16.7,44,7,NNW,35,1011.1
,2020-05-31,11.1,15.6,0,3.4,,NW,65,03:03,12.3,64,1,N,13,1006.6,14.5,46,7,WNW,20,1004.0
