"Daily Weather Observations for Hobart, Tasmania for July 2020"
"Prepared at 13:03 UTC on Friday 21 August 2020   IDCJDW7021.202007"
"Copyright 2003 Commonwealth Bureau of Meteorology"
"Most observations from Battery Point, but cloud, evaporation and sunshine from Hobart Airport."
"Conditions at Hobart Airport may be markedly different to those in the city on some days. Some cloud observations are from automated equipment; these are somewhat different to those made by a human observer and may not appear every day."
"Temperature, humidity, wind, pressure and rainfall observations are from Hobart (Ellerslie Road) {station 094029}"
"Cloud, evaporation and sunshine observations are from Hobart Airport {station 094008}"

,"Date","Minimum temperature (°C)","Maximum temperature (°C)","Rainfall (mm)","Evaporation (mm)","Sunshine (hours)","Direction of maximum wind gust ","Speed of maximum wind gust (km/h)","Time of maximum wind gust","9am Temperature (°C)","9am relative humidity (%)","9am cloud amount (oktas)","9am wind direction","9am wind speed (km/h)","9am MSL pressure (hPa)","3pm Temperature (°C)","3pm relative humidity (%)","3pm cloud amount (oktas)","3pm wind direction","3pm wind speed (km/h)","3pm MSL pressure (hPa)"
,2020-07-1,3.3,13.8,0,0.4,,N,35,15:47,5.5,83,1,NNW,19,1014.0,13.8,62,3,N,13,1008.9
,2020-07-2,5.1,12.9,5.0,0.6,,NNW,52,13:02,9.7,81,7,N,22,998.6,12.6,53,2,NNW,28,1000.9
,2020-07-3,6.2,10.0,0,2.0,,NNW,56,07:45,7.2,68,6,NW,33,1008.6,9.7,59,6,SSW,20,1011.9
,2020-07-4,6.1,13.0,0,1.0,,NNW,54,06:15,8.7,72,7,NW,20,1012.9,12.2,66,6,SW,17,1012.9
,2020-07-5,8.7,15.3,0,0.8,,SW,44,09:37,11.6,67,7,SSW,15,1019.9,13.9,57,7,SW,20,1020.4
,2020-07-6,7.9,13.2,0,1.0,,SSW,44,16:28,9.3,72,7,ESE,7,1024.3,12.0,66,7,NNW,20,1023.2
,2020-07-7,3.8,10.0,2.8,1.2,,SSW,33,11:35,7.0,63,7,W,13,1033.3,8.4,61,7,SSW,13,1032.5
,2020-07-8,0.5,10.1,0.2,0.8,,NNW,28,08:39,2.0,90,7,NNW,20,1031.2,9.3,62,1,SSE,6,1028.1
,2020-07-9,2.0,12.5,0,0.6,,NNW,28,08:34,4.6,82,6,NNW,17,1029.0,12.1,58,5,NE,4,1026.6
,2020-07-10,2.1,8.6,0,0.4,,NNW,37,10:27,2.1,92,7,NNW,20,1026.0,7.5,80,7,N,13,1022.4
,2020-07-11,2.1,8.8,0,0.0,,NNW,30,09:06,4.5,88,7,NNW,20,1018.4,8.8,75,7,NNW,13,1015.9
,2020-07-12,4.4,10.9,0.8,0.4,,S,24,13:05,7.6,94,7,N,4,1022.3,9.7,79,6,S,11,1024.1
,2020-07-13,3.3,12.6,1.0,0.2,,NNW,20,04:22,5.1,88,7,NNW,9,1031.1,11.4,55,2,N,9,1030.4
,2020-07-14,3.3,10.7,0.2,1.0,,W,17,20:45,5.8,83,7,NNW,7,1034.0,10.2,66,7,NE,6,1031.9
,2020-07-15,5.8,12.0,0,0.4,,SE,20,17:27,7.6,83,7,NNE,7,1030.1,10.5,63,7,ENE,2,1027.4
,2020-07-16,4.6,12.0,0,0.8,,NW,19,22:36,6.0,87,7,NW,7,1026.3,10.0,74,7,SE,9,1025.3
,2020-07-17,2.7,12.0,0,0.4,,NNW,30,10:07,4.7,84,1,NNW,17,1024.9,11.3,55,1,NNW,19,1020.4
,2020-07-18,2.4,9.7,0,1.0,,NNW,41,20:05,4.1,80,7,NW,17,1017.3,8.0,74,7,NNW,20,1012.5
,2020-07-19,3.3,15.4,0,0.6,,NW,46,17:41,9.1,75,1,WSW,2,1005.1,14.6,48,6,N,17,999.2
,2020-07-20,6.6,10.1,1.2,1.0,,WSW,57,13:28,7.9,65,7,NNW,11,1009.5,9.3,57,6,SW,41,1012.4
,2020-07-21,6.0,13.8,0.2,1.4,,NW,31,02:37,9.7,77,7,WSW,6,1022.5,13.0,56,4,NW,11,1022.2
,2020-07-22,5.0,13.3,0,1.4,,WNW,33,21:30,7.6,72,7,S,6,1022.5,12.7,56,6,NE,13,1020.7
,2020-07-23,5.1,13.5,0,1.4,,NNW,37,13:43,6.5,83,7,NW,11,1023.2,12.5,53,6,NNW,20,1021.0
,2020-07-24,3.1,13.1,0,0.8,,NNW,30,12:10,5.8,80,7,NNW,19,1023.9,11.4,59,6,NNW,9,1021.9
,2020-07-25,5.7,13.8,0,1.2,,NNW,31,04:04,7.6,74,7,NNW,13,1026.7,12.6,55,7,NNW,9,1025.6
,2020-07-26,4.5,14.5,0,1.2,,NNW,37,09:39,5.5,83,1,NW,19,1025.2,14.1,49,3,NNW,9,1020.1
,2020-07-27,5.3,12.4,0.2,1.2,,SE,35,14:39,8.1,80,7,N,11,1021.0,11.0,66,7,SE,28,1022.9
,2020-07-28,5.9,14.0,0,1.2,,NW,24,23:28,7.1,87,7,NNW,13,1024.9,12.5,61,7,NW,11,1021.3
,2020-07-29,4.4,14.8,0,1.0,,N,43,22:20,5.6,87,7,NW,15,1015.8,14.3,46,1,NNW,13,1011.4
,2020-07-30,5.6,14.0,0,0.8,,WSW,41,04:29,9.9,58,2,NNW,11,1022.2,13.9,45,1,NW,24,1022.0
,2020-07-31,6.9,15.6,0,1.6,,N,43,12:48,10.0,74,7,NNW,7,1023.3,15.2,53,7,NW,22,1020.5
