"Daily Weather Observations for Hobart, Tasmania for November 2020"
"Prepared at 13:03 UTC on Friday 12 November 2021   IDCJDW7021.202011"
"Copyright 2003 Commonwealth Bureau of Meteorology"
"Most observations from Battery Point, but cloud, evaporation and sunshine from Hobart Airport."
"Conditions at Hobart Airport may be markedly different to those in the city on some days. Some cloud observations are from automated equipment; these are somewhat different to those made by a human observer and may not appear every day."
"Temperature, humidity, wind, pressure and rainfall observations are from Hobart (Ellerslie Road) {station 094029}"
"Cloud, evaporation and sunshine observations are from Hobart Airport {station 094008}"

,"Date","Minimum temperature (°C)","Maximum temperature (°C)","Rainfall (mm)","Evaporation (mm)","Sunshine (hours)","Direction of maximum wind gust ","Speed of maximum wind gust (km/h)","Time of maximum wind gust","9am Temperature (°C)","9am relative humidity (%)","9am cloud amount (oktas)","9am wind direction","9am wind speed (km/h)","9am MSL pressure (hPa)","3pm Temperature (°C)","3pm relative humidity (%)","3pm cloud amount (oktas)","3pm wind direction","3pm wind speed (km/h)","3pm MSL pressure (hPa)"
,2020-11-1,11.0,16.5,0,5.8,,SE,26,12:42,15.0,65,7,ESE,11,1023.1,15.2,67,7,SE,20,1024.1
,2020-11-2,11.1,26.0,0,3.6,,N,35,07:44,16.4,68,7,N,22,1025.2,24.7,38,6,NNE,13,1021.2
,2020-11-3,15.5,28.9,0,5.4,,N,57,18:29,19.2,50,7,WSW,6,1019.5,27.3,34,7,ENE,15,1012.9
,2020-11-4,19.1,23.9,0,7.2,,W,65,10:05,23.1,46,6,NW,28,1002.5,19.4,37,2,SW,19,1005.8
,2020-11-5,7.9,17.1,0,7.4,,SW,50,23:06,11.8,51,6,NW,15,1016.6,16.1,42,6,NW,17,1016.3
,2020-11-6,11.4,17.4,0,4.0,,NNW,56,10:41,13.3,55,7,NW,28,1012.1,14.0,72,7,S,19,1010.7
,2020-11-7,6.2,16.9,0.4,4.2,,SW,52,08:20,10.7,51,4,SW,19,1022.9,15.6,42,6,SW,22,1024.6
,2020-11-8,4.9,16.2,0,2.2,,SE,31,15:20,11.5,60,1,NW,9,1030.3,15.5,50,1,SE,17,1028.5
,2020-11-9,7.7,22.7,0,3.4,,NW,30,07:23,13.7,66,0,NNW,20,1026.6,22.2,44,1,SE,19,1022.0
,2020-11-10,11.4,27.4,0,5.4,,NNW,37,08:05,17.2,56,6,NNW,22,1018.8,23.9,45,1,ESE,24,1015.2
,2020-11-11,16.3,32.6,0,6.8,,N,50,17:19,22.7,44,3,NNW,26,1010.5,31.3,26,7,NE,19,1005.2
,2020-11-12,16.7,26.8,1.2,8.6,,NW,76,19:33,20.8,65,6,N,15,998.5,22.8,41,5,N,39,993.4
,2020-11-13,15.1,22.6,0,9.2,,NNW,54,23:01,18.6,54,2,NW,20,998.0,18.6,60,7,S,22,997.6
,2020-11-14,10.8,21.7,1.0,4.0,,NW,44,14:04,16.4,56,2,NNW,20,1003.9,20.8,38,7,NNW,20,1004.0
,2020-11-15,10.3,15.9,0,5.4,,NW,35,23:58,13.6,61,7,NNW,22,1009.9,13.0,84,8,NNW,7,1009.7
,2020-11-16,12.3,21.2,3.6,1.6,,W,74,16:42,14.3,87,7,NW,13,996.5,20.9,54,7,NW,20,996.0
,2020-11-17,10.7,19.9,5.8,4.0,,SSW,44,13:41,13.9,62,6,NNW,22,1012.5,19.7,31,5,SSW,20,1015.5
,2020-11-18,10.1,24.2,0,3.6,,WNW,54,01:43,15.5,52,6,NNW,24,1019.5,21.7,41,6,ESE,17,1016.3
,2020-11-19,15.4,20.7,0,6.2,,NNW,50,01:18,17.2,55,7,NW,9,1017.3,17.4,65,7,SE,9,1016.2
,2020-11-20,11.7,20.8,0,2.2,,S,52,10:04,20.6,53,5,SW,20,1012.4,16.7,56,1,SE,31,1019.2
,2020-11-21,7.7,22.0,0,5.4,,ESE,31,16:12,14.6,58,4,NW,13,1025.3,20.6,49,3,ENE,19,1020.1
,2020-11-22,14.2,21.9,0,6.0,,SE,33,16:34,17.8,59,7,N,13,1014.3,16.7,74,6,ESE,20,1012.2
,2020-11-23,11.6,16.9,0,4.2,,ESE,43,15:04,14.2,76,7,ESE,13,1010.2,15.6,69,7,ESE,28,1009.1
,2020-11-24,11.6,23.9,0,4.8,,NW,50,22:42,16.2,55,7,NE,9,1010.1,23.5,40,7,NW,19,1007.3
,2020-11-25,15.1,31.2,0,4.6,,NW,65,22:06,22.0,51,2,N,28,1004.3,29.0,37,5,WNW,24,1000.5
,2020-11-26,13.2,21.8,0,8.8,,NW,61,02:19,16.8,44,5,E,19,1007.6,20.7,30,1,SSW,22,1011.7
,2020-11-27,10.9,26.7,0,5.6,,N,65,15:24,16.3,58,6,N,22,1014.0,26.2,24,7,NNW,28,1005.2
,2020-11-28,12.9,22.6,0,7.4,,NW,39,06:57,17.5,45,6,NW,24,1005.0,21.6,34,3,ENE,13,1003.2
,2020-11-29,12.5,20.4,0.2,6.4,,SW,61,12:02,13.9,81,8,SE,17,1000.3,17.7,45,3,SW,22,1003.9
,2020-11-30,8.9,21.7,0,4.8,,NNW,52,22:32,16.2,51,1,NNW,11,1015.4,20.9,50,2,SE,17,1011.3
