"Daily Weather Observations for Hobart, Tasmania for July 2021"
"Prepared at 13:03 UTC on Sunday  5 December 2021   IDCJDW7021.202107"
"Copyright 2003 Commonwealth Bureau of Meteorology"
"Most observations from Battery Point, but cloud, evaporation and sunshine from Hobart Airport."
"Conditions at Hobart Airport may be markedly different to those in the city on some days. Some cloud observations are from automated equipment; these are somewhat different to those made by a human observer and may not appear every day."
"Temperature, humidity, wind, pressure and rainfall observations are from Hobart (Ellerslie Road) {station 094029}"
"Cloud, evaporation and sunshine observations are from Hobart Airport {station 094008}"

,"Date","Minimum temperature (°C)","Maximum temperature (°C)","Rainfall (mm)","Evaporation (mm)","Sunshine (hours)","Direction of maximum wind gust ","Speed of maximum wind gust (km/h)","Time of maximum wind gust","9am Temperature (°C)","9am relative humidity (%)","9am cloud amount (oktas)","9am wind direction","9am wind speed (km/h)","9am MSL pressure (hPa)","3pm Temperature (°C)","3pm relative humidity (%)","3pm cloud amount (oktas)","3pm wind direction","3pm wind speed (km/h)","3pm MSL pressure (hPa)"
,2021-07-1,5.0,17.0,0,0.4,,NNW,26,08:00,7.6,79,2,NNE,11,1018.5,15.0,57,6,NNW,2,1016.5
,2021-07-2,7.6,14.1,0.2,0.8,,N,31,16:58,11.1,77,7,NNW,11,1012.1,13.9,67,7,N,13,1007.7
,2021-07-3,7.9,14.8,0.4,1.0,,N,31,11:38,9.6,84,4,WNW,2,1011.8,13.1,59,2,NE,15,1012.1
,2021-07-4,5.5,9.8,0,1.0,,NNW,57,17:37,6.2,80,7,NW,4,1009.4,9.3,67,7,NNW,31,1005.7
,2021-07-5,5.8,12.6,2.2,1.4,,WNW,54,21:29,7.5,81,3,N,7,1016.0,11.8,52,2,N,17,1014.1
,2021-07-6,7.0,9.3,2.6,1.6,,NNW,43,00:53,7.1,91,8,S,26,1018.0,8.6,69,6,WSW,19,1019.2
,2021-07-7,0.2,10.5,0.2,,,NNW,22,10:24,2.3,81,1,NW,7,1025.6,8.2,59,7,ESE,9,1024.4
,2021-07-8,2.3,10.5,0,1.4,,NNW,33,11:46,4.3,80,7,NNW,17,1025.2,10.5,48,7,NW,9,1022.8
,2021-07-9,0.5,9.7,0,0.6,,NNW,28,09:49,2.0,82,5,NNW,13,1020.9,9.6,54,1,NNE,6,1018.4
,2021-07-10,1.5,12.7,0,0.6,,NNW,26,08:59,3.0,83,1,NNW,20,1024.4,12.1,56,1,NNW,7,1024.6
,2021-07-11,2.3,12.1,0,1.0,,NNW,37,22:03,3.5,86,1,NNW,20,1027.1,11.7,54,3,NNW,15,1023.3
,2021-07-12,3.5,11.3,0.2,0.4,,NNW,37,00:58,5.1,85,7,NNW,22,1017.4,9.7,71,7,NNW,19,1011.8
,2021-07-13,4.1,14.6,0,0.4,,NNW,35,10:12,10.1,67,1,N,17,1007.4,14.0,60,6,NNW,13,1005.5
,2021-07-14,7.8,11.1,0,1.2,,NNW,17,10:52,8.8,90,7,NNW,2,1005.5,10.7,86,7,SSE,6,1001.6
,2021-07-15,5.9,10.8,0.6,0.4,,NW,30,20:59,7.2,97,7,NW,11,996.6,10.7,88,7,NW,13,992.0
,2021-07-16,5.0,11.9,0.8,0.4,,NNW,30,01:38,5.1,98,7,N,13,986.7,11.1,76,7,NNW,11,982.8
,2021-07-17,4.2,14.1,0.2,0.2,,NW,35,23:59,5.6,96,7,NNW,15,987.6,13.3,63,6,NNW,9,990.7
,2021-07-18,5.5,14.9,0.2,1.0,,NW,50,13:54,10.0,64,1,W,9,1005.3,11.5,65,7,NNW,22,1006.2
,2021-07-19,9.0,13.0,0,1.0,,NNW,43,12:42,9.3,76,7,N,19,1008.4,12.9,57,7,NW,15,1004.3
,2021-07-20,8.3,9.3,0,1.2,,SW,48,20:00,9.0,77,7,ENE,7,996.5,8.4,59,7,WNW,13,1002.0
,2021-07-21,5.0,15.1,0.2,1.0,,WNW,57,14:06,7.8,73,2,N,7,1011.6,13.9,54,2,NW,19,1009.9
,2021-07-22,7.7,14.8,0,1.4,,NW,57,23:05,10.4,68,3,NNW,22,1009.5,13.9,49,6,NNW,17,1005.8
,2021-07-23,8.0,15.0,0,1.8,,NW,57,00:36,9.2,64,6,N,17,1003.6,13.3,51,5,N,19,1000.5
,2021-07-24,4.2,13.3,0,2.0,,WNW,54,15:16,5.9,76,6,NNW,26,990.0,12.2,66,7,NNW,20,983.0
,2021-07-25,4.8,8.7,1.4,1.2,,NW,69,10:57,6.5,64,6,WNW,35,987.5,4.9,81,7,W,17,992.3
,2021-07-26,4.1,13.9,2.8,1.6,,W,52,01:13,8.6,65,1,N,19,1000.0,12.9,66,7,NNW,20,997.2
,2021-07-27,8.1,16.6,0.8,2.2,,NNW,69,21:36,11.2,82,7,NNE,6,1003.8,15.9,42,7,NNW,50,998.9
,2021-07-28,11.2,13.6,0.8,2.8,,NW,74,12:43,11.5,80,2,NNW,26,985.0,13.1,49,1,NNW,35,986.6
,2021-07-29,5.6,13.3,0.2,1.6,,NW,50,07:16,7.4,72,5,NNE,13,1000.4,13.0,52,3,WNW,19,1003.3
,2021-07-30,6.7,16.4,0,1.8,,N,57,13:11,8.5,70,7,NNW,26,1009.1,15.2,46,7,N,31,1005.6
,2021-07-31,8.5,17.7,0.4,2.8,,NNW,56,15:33,11.3,77,7,NNW,17,1000.7,16.4,51,6,NNW,24,995.9
