"Daily Weather Observations for Hobart, Tasmania for August 2021"
"Prepared at 13:03 UTC on Saturday  4 December 2021   IDCJDW7021.202108"
"Copyright 2003 Commonwealth Bureau of Meteorology"
"Most observations from Battery Point, but cloud, evaporation and sunshine from Hobart Airport."
"Conditions at Hobart Airport may be markedly different to those in the city on some days. Some cloud observations are from automated equipment; these are somewhat different to those made by a human observer and may not appear every day."
"Temperature, humidity, wind, pressure and rainfall observations are from Hobart (Ellerslie Road) {station 094029}"
"Cloud, evaporation and sunshine observations are from Hobart Airport {station 094008}"

,"Date","Minimum temperature (°C)","Maximum temperature (°C)","Rainfall (mm)","Evaporation (mm)","Sunshine (hours)","Direction of maximum wind gust ","Speed of maximum wind gust (km/h)","Time of maximum wind gust","9am Temperature (°C)","9am relative humidity (%)","9am cloud amount (oktas)","9am wind direction","9am wind speed (km/h)","9am MSL pressure (hPa)","3pm Temperature (°C)","3pm relative humidity (%)","3pm cloud amount (oktas)","3pm wind direction","3pm wind speed (km/h)","3pm MSL pressure (hPa)"
,2021-08-1,7.5,11.3,0.4,3.0,,NNW,54,07:31,7.7,70,7,N,24,1001.1,10.4,63,6,N,24,1003.6
,2021-08-2,2.8,14.6,1.2,1.2,,NW,43,13:52,4.5,78,7,NNW,22,1013.2,13.8,50,7,NNE,13,1009.6
,2021-08-3,4.5,14.7,0,1.2,,N,39,01:18,6.8,80,7,N,11,1005.7,11.4,66,7,SE,9,1002.6
,2021-08-4,6.3,13.5,0,0.8,,WSW,54,17:56,7.7,76,7,NNW,7,1006.7,12.0,58,7,NNW,19,1004.4
,2021-08-5,7.7,13.7,0,1.4,,NNW,59,23:20,9.9,74,7,NNW,19,1010.8,12.8,65,7,ENE,6,1009.0
,2021-08-6,9.9,16.6,0.2,2.2,,W,78,12:40,13.0,52,3,SW,17,1009.9,15.2,48,7,NNW,9,1011.1
,2021-08-7,8.9,12.5,0,2.2,,WSW,65,09:34,12.5,54,7,WSW,30,1014.1,9.8,54,3,SSW,20,1022.3
,2021-08-8,1.7,12.9,1.8,2.2,,NNW,35,13:07,3.4,79,7,NNW,20,1031.9,12.0,47,1,NNE,15,1027.6
,2021-08-9,3.3,14.9,0,1.0,,N,35,10:18,8.0,73,4,NNW,20,1025.0,14.3,51,7,N,13,1020.9
,2021-08-10,6.1,19.7,0,1.6,,NW,69,21:01,11.1,63,6,WNW,13,1015.6,18.5,37,5,N,33,1010.4
,2021-08-11,10.8,16.3,1.2,3.2,,NNW,87,11:59,14.1,57,7,NW,35,1003.1,14.5,53,8,NNW,52,997.3
,2021-08-12,7.3,13.8,8.4,3.0,,W,96,05:06,10.4,52,1,NE,17,1011.2,13.1,47,1,NW,30,1015.1
,2021-08-13,9.8,16.2,0,4.0,,NW,74,12:06,11.7,61,5,WNW,30,1010.4,13.0,58,7,WSW,30,1011.4
,2021-08-14,6.1,16.0,0,1.8,,NNW,50,17:33,10.8,63,1,NNW,20,1019.4,15.3,47,6,NW,15,1016.3
,2021-08-15,10.8,16.7,0,4.0,,NNW,102,09:24,14.3,48,3,NW,63,1001.3,9.6,72,8,W,20,1000.2
,2021-08-16,3.9,10.0,27.6,3.2,,WSW,78,10:32,5.6,84,7,NNW,15,1005.3,8.6,57,4,W,33,1009.3
,2021-08-17,5.4,13.3,3.0,1.6,,W,61,00:22,8.7,57,7,WSW,24,1017.9,12.4,45,1,SW,15,1018.9
,2021-08-18,5.7,13.9,0,2.2,,NW,59,19:08,10.5,64,7,N,20,1018.8,13.4,53,7,NNW,31,1014.5
,2021-08-19,6.5,14.9,0,2.2,,NW,26,00:48,10.1,74,5,NE,9,1019.4,13.6,58,5,ESE,13,1018.4
,2021-08-20,5.8,16.1,0.2,1.8,,N,59,16:53,8.8,76,7,NNW,22,1013.2,15.4,54,7,N,22,1005.2
,2021-08-21,7.2,16.8,0,2.4,,NW,63,08:55,11.6,63,5,NW,37,1003.9,15.7,50,7,NW,20,1003.7
,2021-08-22,9.7,18.3,0,2.8,,NNW,65,18:43,13.7,54,5,N,26,1006.9,18.1,45,3,NW,24,1001.4
,2021-08-23,9.3,13.1,2.4,4.0,,NNW,61,00:19,10.1,68,7,SW,26,1003.0,9.8,59,7,SW,37,1008.6
,2021-08-24,1.0,14.0,2.2,2.0,,NNW,35,10:02,5.7,73,1,NNW,17,1020.3,13.0,53,5,ENE,9,1019.1
,2021-08-25,5.6,11.1,0.2,1.6,,SSW,39,12:08,8.3,60,7,SSW,15,1027.3,9.8,59,7,SSW,19,1025.1
,2021-08-26,6.4,10.1,0.4,1.0,,SSW,37,11:25,8.8,64,7,SSW,20,1025.0,9.5,82,8,SSW,17,1024.2
,2021-08-27,7.1,10.1,1.2,1.0,,SE,24,12:23,8.1,78,8,WSW,11,1023.8,9.8,66,8,ESE,7,1021.4
,2021-08-28,4.7,11.7,0,0.8,,NNW,24,09:49,6.9,90,7,NNW,11,1020.4,10.3,75,7,ESE,19,1016.4
,2021-08-29,4.9,12.7,0,1.0,,NNW,31,09:32,6.7,81,7,NNW,15,1012.3,12.1,66,7,N,11,1009.4
,2021-08-30,5.9,17.5,0,0.4,,N,43,22:16,7.4,88,7,NNW,24,1011.2,16.1,50,5,NW,19,1007.6
,2021-08-31,7.4,18.5,0.2,3.0,,NW,94,15:44,15.9,52,7,N,22,1005.0,18.4,44,6,NNW,46,1000.5
