"Daily Weather Observations for Hobart, Tasmania for October 2021"
"Prepared at 16:03 UTC on Thursday  2 December 2021   IDCJDW7021.202110"
"Copyright 2003 Commonwealth Bureau of Meteorology"
"Most observations from Battery Point, but cloud, evaporation and sunshine from Hobart Airport."
"Conditions at Hobart Airport may be markedly different to those in the city on some days. Some cloud observations are from automated equipment; these are somewhat different to those made by a human observer and may not appear every day."
"Temperature, humidity, wind, pressure and rainfall observations are from Hobart (Ellerslie Road) {station 094029}"
"Cloud, evaporation and sunshine observations are from Hobart Airport {station 094008}"

,"Date","Minimum temperature (°C)","Maximum temperature (°C)","Rainfall (mm)","Evaporation (mm)","Sunshine (hours)","Direction of maximum wind gust ","Speed of maximum wind gust (km/h)","Time of maximum wind gust","9am Temperature (°C)","9am relative humidity (%)","9am cloud amount (oktas)","9am wind direction","9am wind speed (km/h)","9am MSL pressure (hPa)","3pm Temperature (°C)","3pm relative humidity (%)","3pm cloud amount (oktas)","3pm wind direction","3pm wind speed (km/h)","3pm MSL pressure (hPa)"
,2021-10-1,10.1,15.5,7.0,1.0,,SSW,33,00:34,12.7,97,8,SSW,15,1013.6,14.8,91,6,ESE,9,1009.7
,2021-10-2,12.7,15.2,3.4,1.0,,SSW,46,21:55,13.4,95,8,SSE,15,1008.9,14.5,84,8,S,20,1006.0
,2021-10-3,11.4,17.8,7.4,0.6,,SSE,43,07:49,12.0,96,8,S,28,1001.9,14.2,80,5,SSE,20,997.0
,2021-10-4,10.9,17.6,2.2,1.6,,ESE,26,18:26,13.2,88,7,ENE,6,992.8,14.6,91,7,E,9,990.3
,2021-10-5,7.7,16.4,2.6,1.6,,SW,31,16:28,11.2,71,6,S,6,995.8,15.4,58,7,ENE,9,997.9
,2021-10-6,8.6,18.8,0.2,3.0,,NW,44,11:22,12.2,52,5,N,13,1008.3,17.6,43,6,NW,22,1005.8
,2021-10-7,8.4,15.4,2.2,3.6,,WSW,61,11:16,9.7,54,4,WNW,17,1001.3,13.6,41,2,WSW,24,1005.2
,2021-10-8,8.8,21.3,0,4.0,,NW,52,14:09,13.1,74,1,WNW,24,1010.2,20.9,38,7,NW,28,1006.2
,2021-10-9,12.3,18.7,0,4.8,,NNW,57,02:25,13.4,62,7,NNW,22,1006.9,16.1,61,7,NW,28,1004.2
,2021-10-10,6.6,15.0,0.4,3.0,,NW,54,00:02,10.8,55,2,NNW,17,1008.9,13.6,37,5,SW,28,1009.1
,2021-10-11,3.6,13.6,0,3.2,,SSW,44,11:27,10.0,58,1,ENE,7,1018.4,11.0,58,6,S,15,1019.1
,2021-10-12,4.9,15.9,0,2.4,,ESE,31,15:22,9.4,69,6,NNW,9,1022.6,13.4,57,2,ESE,20,1019.7
,2021-10-13,7.7,17.2,0,2.4,,NE,44,14:19,11.6,56,7,N,15,1019.1,15.6,58,7,NE,30,1015.2
,2021-10-14,10.4,14.3,0.6,3.4,,NNE,28,14:08,12.3,81,7,SSE,7,1013.0,13.6,80,8,NNE,7,1009.8
,2021-10-15,12.0,15.1,10.0,1.6,,SSW,48,22:58,12.8,99,8,SSE,17,999.0,14.4,93,7,ESE,17,994.4
,2021-10-16,10.0,16.2,12.8,1.4,,SSW,72,05:13,10.7,77,8,S,24,999.6,14.9,56,6,SW,26,1000.3
,2021-10-17,6.4,18.8,0,2.4,,WSW,39,23:41,11.0,66,7,SSE,7,1008.8,17.6,42,7,NNW,20,1007.0
,2021-10-18,10.0,16.2,0,3.8,,S,48,16:00,13.1,59,7,N,17,1008.8,11.1,80,7,SSE,26,1010.1
,2021-10-19,6.3,13.1,21.4,4.0,,SSE,44,01:20,9.0,60,7,SSE,17,1027.0,12.1,45,7,SE,15,1027.5
,2021-10-20,4.5,15.1,0,2.4,,NE,39,17:51,10.8,61,1,NNW,13,1027.9,14.5,56,5,ENE,20,1024.6
,2021-10-21,9.4,23.9,0.2,2.8,,NNW,52,11:59,15.0,60,6,N,20,1018.8,23.3,40,3,NNW,22,1014.8
,2021-10-22,14.7,22.1,0,5.8,,N,39,12:08,17.8,68,7,NNE,17,1016.0,19.5,62,7,N,22,1013.1
,2021-10-23,10.6,13.2,7.6,3.4,,SSW,41,22:39,10.8,97,8,ESE,19,1013.9,11.6,80,8,SSE,11,1013.0
,2021-10-24,8.0,12.6,14.8,2.0,,S,61,13:58,9.1,77,7,SSW,19,1019.0,9.9,67,7,S,39,1019.4
,2021-10-25,7.7,12.1,3.0,2.4,,SSW,50,03:55,9.0,74,7,S,24,1021.6,10.0,84,7,S,24,1021.5
,2021-10-26,8.7,14.8,1.0,0.8,,SW,31,23:24,10.6,59,7,SW,15,1023.1,14.0,52,1,ESE,13,1019.8
,2021-10-27,6.1,21.5,0,2.2,,NNW,39,22:53,13.0,67,0,NW,15,1016.0,18.1,62,1,SE,26,1011.1
,2021-10-28,12.8,19.4,0,6.0,,NNW,43,01:25,18.8,49,1,S,6,1007.0,13.4,69,8,SE,24,1008.4
,2021-10-29,7.2,10.5,41.8,2.6,,SSW,69,12:53,7.3,93,8,SSW,35,1000.2,7.4,88,8,S,33,996.9
,2021-10-30,5.2,15.9,21.8,5.8,,SW,54,11:04,10.4,54,4,WSW,20,1012.8,14.2,42,5,SW,20,1013.7
,2021-10-31,9.8,18.4,0,3.6,,NNW,56,02:29,13.9,58,7,NNW,28,1017.6,16.5,49,7,WNW,24,1016.6
