"Daily Weather Observations for Hobart, Tasmania for December 2021"
"Prepared at 13:03 UTC on Monday 12 December 2022   IDCJDW7021.202112"
"Copyright 2003 Commonwealth Bureau of Meteorology"
"Most observations from Battery Point, but some from Hobart Airport West."
"Hobart Airport West {station 94008} was originally called Hobart Airport. The name was changed with the opening of the new site Hobart Airport {station 94250}."
"Temperature, humidity, wind, pressure and rainfall observations are from Hobart (Ellerslie Road) {station 094029}"
"Cloud, evaporation and sunshine observations are from Hobart Airport West {station 094008}"

,"Date","Minimum temperature (°C)","Maximum temperature (°C)","Rainfall (mm)","Evaporation (mm)","Sunshine (hours)","Direction of maximum wind gust ","Speed of maximum wind gust (km/h)","Time of maximum wind gust","9am Temperature (°C)","9am relative humidity (%)","9am cloud amount (oktas)","9am wind direction","9am wind speed (km/h)","9am MSL pressure (hPa)","3pm Temperature (°C)","3pm relative humidity (%)","3pm cloud amount (oktas)","3pm wind direction","3pm wind speed (km/h)","3pm MSL pressure (hPa)"
,2021-12-1,15.1,30.7,0,6.6,,NNW,52,05:08,20.1,55,7,NNW,31,1011.4,26.9,44,7,WSW,11,1010.5
,2021-12-2,15.1,22.7,0,5.0,,SE,48,15:13,19.3,64,1,N,7,1013.3,21.5,70,7,ESE,17,1008.3
,2021-12-3,10.1,18.7,31.2,9.4,,NW,48,21:38,15.8,44,2,ESE,19,1016.2,18.2,47,5,SE,17,1014.5
,2021-12-4,9.9,15.1,0.8,4.4,,WSW,61,07:18,11.9,54,6,SW,26,1011.8,12.4,48,6,SSW,31,1016.3
,2021-12-5,5.4,19.1,1.4,3.6,,ESE,35,12:15,12.9,49,3,N,11,1024.6,18.4,51,3,SE,19,1021.2
,2021-12-6,11.2,24.5,0,5.8,,NNW,59,16:05,15.3,54,6,NNW,24,1017.0,22.4,46,5,NNE,22,1009.4
,2021-12-7,13.6,16.2,2.0,6.8,,SW,54,14:51,13.6,85,7,ESE,7,1007.1,13.3,66,7,SE,17,1010.1
,2021-12-8,6.4,15.1,0.4,1.6,,S,30,08:45,12.8,56,3,NNE,9,1019.7,13.6,54,5,SE,20,1020.1
,2021-12-9,8.6,17.4,0,3.2,,SE,35,13:33,13.7,58,3,ENE,13,1022.0,16.0,55,5,SE,22,1019.7
,2021-12-10,11.2,16.0,0,5.6,,SSE,37,16:55,15.0,57,7,SSW,13,1019.5,11.7,90,8,SSE,17,1019.1
,2021-12-11,9.8,16.2,2.0,3.4,,SE,33,10:33,11.0,81,7,SSW,20,1023.9,15.0,48,7,ESE,19,1023.9
,2021-12-12,9.4,18.7,0,4.0,,SE,35,16:33,13.3,55,7,NNE,9,1024.6,17.8,50,6,NNE,9,1020.6
,2021-12-13,9.7,24.9,0,3.8,,NNW,35,07:55,16.2,61,2,NNW,20,1015.1,24.0,40,5,NE,13,1010.5
,2021-12-14,14.1,20.1,0,5.8,,SSE,39,16:14,17.8,73,6,SE,11,1014.5,18.4,62,5,S,24,1014.4
,2021-12-15,13.3,20.4,0,6.0,,SE,39,11:06,17.0,71,6,NW,7,1010.9,18.5,60,4,ESE,26,1010.7
,2021-12-16,11.5,20.3,0,5.8,,SSW,41,02:03,15.5,44,5,WSW,17,1014.8,17.7,53,3,SE,20,1014.2
,2021-12-17,9.6,24.2,0,4.0,,ESE,30,13:06,16.7,54,3,N,9,1014.7,20.2,55,7,SE,19,1010.6
,2021-12-18,16.1,32.1,0,8.6,,NW,65,11:29,24.2,37,3,N,19,997.8,27.4,26,6,WNW,33,998.9
,2021-12-19,14.3,25.4,0,8.8,,NW,76,11:37,19.1,40,6,N,15,997.3,17.6,55,7,NNW,28,993.7
,2021-12-20,10.1,22.5,1.0,7.2,,W,89,17:35,16.9,54,5,NW,26,995.1,21.3,42,6,WNW,35,996.0
,2021-12-21,14.5,21.5,0,6.4,,WNW,80,12:00,15.6,51,5,NW,28,1002.7,20.8,35,3,NW,37,1002.1
,2021-12-22,12.6,19.4,0,9.4,,WNW,56,00:06,12.8,58,7,NNW,17,1009.0,17.7,43,7,WSW,9,1009.7
,2021-12-23,8.3,19.1,0,5.4,,ESE,39,10:41,13.9,51,6,ENE,7,1014.0,18.7,41,5,SE,19,1012.5
,2021-12-24,12.9,27.2,0,5.4,,NW,39,10:42,18.9,51,4,NNW,20,1012.7,25.7,34,7,NW,15,1008.8
,2021-12-25,16.2,23.1,0,5.8,,NNW,57,08:58,18.9,37,3,NW,26,1011.3,22.0,32,2,NNW,30,1010.4
,2021-12-26,11.0,18.6,0.2,8.6,,SW,56,14:16,15.4,41,4,SW,22,1016.2,15.8,45,7,SW,22,1016.6
,2021-12-27,8.7,17.0,1.8,4.8,,SW,39,10:47,13.7,49,6,SSW,20,1025.2,16.8,48,1,ESE,17,1024.0
,2021-12-28,9.0,19.3,0,6.4,,SE,31,13:09,15.0,61,2,NE,9,1022.9,17.8,57,1,ESE,22,1020.0
,2021-12-29,10.4,20.5,0,5.6,,ESE,39,11:39,17.1,65,7,NNW,13,1017.5,17.7,61,1,SE,28,1014.8
,2021-12-30,12.8,23.1,0,6.4,,SE,35,16:59,17.6,56,8,NW,15,1012.0,21.5,55,4,SE,22,1007.3
,2021-12-31,12.9,24.8,0,4.0,,SE,41,13:50,19.0,51,1,E,15,1006.9,21.0,49,1,SE,30,1006.7
