"Daily Weather Observations for Hobart, Tasmania for January 2022"
"Prepared at 13:03 UTC on Sunday 11 December 2022   IDCJDW7021.202201"
"Copyright 2003 Commonwealth Bureau of Meteorology"
"Most observations from Battery Point, but some from Hobart Airport West."
"Hobart Airport West {station 94008} was originally called Hobart Airport. The name was changed with the opening of the new site Hobart Airport {station 94250}."
"Temperature, humidity, wind, pressure and rainfall observations are from Hobart (Ellerslie Road) {station 094029}"
"Cloud, evaporation and sunshine observations are from Hobart Airport West {station 094008}"

,"Date","Minimum temperature (°C)","Maximum temperature (°C)","Rainfall (mm)","Evaporation (mm)","Sunshine (hours)","Direction of maximum wind gust ","Speed of maximum wind gust (km/h)","Time of maximum wind gust","9am Temperature (°C)","9am relative humidity (%)","9am cloud amount (oktas)","9am wind direction","9am wind speed (km/h)","9am MSL pressure (hPa)","3pm Temperature (°C)","3pm relative humidity (%)","3pm cloud amount (oktas)","3pm wind direction","3pm wind speed (km/h)","3pm MSL pressure (hPa)"
,2022-01-1,13.2,21.9,0,8.0,,SE,31,10:37,17.8,74,1,ESE,17,1006.6,19.9,65,8,SSE,15,1005.5
,2022-01-2,15.6,19.2,0,4.0,,S,37,13:58,17.4,79,7,SE,13,1006.5,15.7,80,7,SSE,28,1008.6
,2022-01-3,12.9,18.7,1.6,5.0,,S,33,16:58,14.3,75,7,SSW,7,1014.7,17.3,60,3,SE,15,1014.5
,2022-01-4,12.4,17.9,0.2,5.2,,S,33,18:05,13.5,89,8,SW,7,1018.4,17.3,66,7,SE,15,1017.9
,2022-01-5,12.4,19.0,1.6,4.0,,ESE,35,13:56,15.5,77,7,SSE,13,1022.6,18.4,57,7,ESE,24,1023.0
,2022-01-6,14.3,18.3,0.4,4.0,,ENE,30,08:09,16.3,64,7,E,19,1024.5,15.9,93,8,SE,11,1022.2
,2022-01-7,15.3,26.8,19.0,0.0,,NW,30,15:27,18.3,98,8,SW,9,1010.7,24.4,71,7,SE,13,1006.5
,2022-01-8,14.8,17.2,26.4,,,S,46,15:02,15.6,83,7,S,17,1011.7,15.4,74,7,S,19,1013.9
,2022-01-9,12.4,20.9,0.2,2.8,,SSE,35,17:11,14.8,69,7,NNE,13,1017.7,20.0,62,7,ESE,17,1015.1
,2022-01-10,14.6,16.9,0,5.8,,SSE,35,16:58,15.4,83,8,SE,19,1019.2,15.3,78,8,SSE,24,1020.7
,2022-01-11,12.6,20.1,0,3.0,,SSE,39,18:00,16.8,67,7,E,9,1025.5,18.9,55,2,SE,22,1025.9
,2022-01-12,13.6,19.8,0,4.0,,SE,33,16:43,15.2,73,8,SSW,13,1029.4,18.7,60,6,SE,20,1028.2
,2022-01-13,13.4,22.0,0,5.2,,ENE,39,15:28,17.4,64,7,N,13,1025.7,20.7,57,7,NE,19,1020.9
,2022-01-14,15.6,22.0,0,5.0,,ENE,46,16:07,18.4,71,7,N,13,1013.7,20.7,72,7,NE,19,1008.9
,2022-01-15,16.2,25.7,0,3.8,,S,31,14:10,21.5,69,5,NNW,13,1001.0,22.7,62,4,S,22,1000.3
,2022-01-16,15.9,22.6,4.2,5.0,,SE,37,12:25,19.2,76,3,SE,15,1006.8,19.5,70,6,SSE,17,1007.4
,2022-01-17,15.1,27.0,0,3.6,,WNW,46,10:53,21.1,56,2,N,13,1005.4,22.3,55,6,E,22,1005.1
,2022-01-18,12.3,18.8,0,7.4,,SSW,43,18:55,16.0,62,7,SSW,11,1016.1,16.7,62,7,SE,24,1018.2
,2022-01-19,11.2,18.4,0,4.6,,SE,46,13:44,14.5,65,7,SW,19,1029.4,17.4,57,6,SE,30,1030.8
,2022-01-20,9.8,22.2,0,3.8,,NNW,26,08:20,13.6,73,7,NNW,19,1034.1,21.1,41,4,SE,17,1032.0
,2022-01-21,12.0,24.9,0,5.4,,ESE,33,14:15,19.1,58,1,NNW,11,1030.7,23.4,43,1,ESE,22,1029.0
,2022-01-22,12.8,25.9,0,6.8,,S,33,16:45,19.4,60,1,NNW,9,1026.2,25.0,50,3,SE,22,1022.6
,2022-01-23,15.4,25.7,0,7.6,,SE,30,12:09,21.4,61,7,NNW,13,1019.6,25.0,49,5,SE,20,1016.6
,2022-01-24,15.5,24.4,0,7.2,,SE,37,13:06,19.1,75,8,ESE,7,1015.5,21.1,69,6,ESE,26,1013.1
,2022-01-25,17.1,19.2,0,6.8,,S,35,16:28,18.8,74,7,SW,6,1013.7,18.6,73,7,SE,15,1013.6
,2022-01-26,15.4,21.6,0,3.6,,NE,24,15:25,16.3,73,7,NNE,6,1017.5,18.9,65,8,NE,9,1016.5
,2022-01-27,16.2,27.7,0,3.0,,N,54,11:38,21.4,57,6,N,20,1011.7,24.2,56,7,NNW,26,1008.5
,2022-01-28,20.7,30.0,0.8,4.0,,SSW,37,13:20,26.8,55,1,NNW,19,1006.5,24.0,69,7,S,15,1007.2
,2022-01-29,16.1,20.3,0,5.8,,SSW,35,05:16,17.7,69,7,SSE,19,1019.0,18.3,68,7,SE,24,1020.8
,2022-01-30,15.5,23.4,0,4.0,,N,35,08:33,16.7,65,7,N,17,1021.4,22.1,58,1,ESE,20,1017.5
,2022-01-31,12.7,25.5,0,6.4,,SSE,31,16:01,17.8,72,2,NNW,13,1012.0,24.9,60,1,SE,20,1006.6
