"Daily Weather Observations for Hobart, Tasmania for May 2022"
"Prepared at 16:03 UTC on Wednesday  7 December 2022   IDCJDW7021.202205"
"Copyright 2003 Commonwealth Bureau of Meteorology"
"Most observations from Battery Point, but some from Hobart Airport West."
"Hobart Airport West {station 94008} was originally called Hobart Airport. The name was changed with the opening of the new site Hobart Airport {station 94250}."
"Temperature, humidity, wind, pressure and rainfall observations are from Hobart (Ellerslie Road) {station 094029}"
"Cloud, evaporation and sunshine observations are from Hobart Airport West {station 094008}"

,"Date","Minimum temperature (°C)","Maximum temperature (°C)","Rainfall (mm)","Evaporation (mm)","Sunshine (hours)","Direction of maximum wind gust ","Speed of maximum wind gust (km/h)","Time of maximum wind gust","9am Temperature (°C)","9am relative humidity (%)","9am cloud amount (oktas)","9am wind direction","9am wind speed (km/h)","9am MSL pressure (hPa)","3pm Temperature (°C)","3pm relative humidity (%)","3pm cloud amount (oktas)","3pm wind direction","3pm wind speed (km/h)","3pm MSL pressure (hPa)"
,2022-05-1,11.8,18.8,1.0,4.2,,WNW,52,16:44,15.4,49,4,NNW,19,1011.9,18.0,64,7,NW,20,1009.9
,2022-05-2,13.2,21.7,0,2.6,,NW,50,13:16,16.4,66,6,N,22,1014.5,20.0,51,7,NW,26,1012.9
,2022-05-3,14.2,21.4,0,4.0,,NNW,54,11:36,17.3,59,7,N,15,1011.5,20.7,41,7,NNW,24,1008.4
,2022-05-4,12.8,14.4,3.2,2.8,,NNW,43,00:17,13.0,81,7,N,11,1008.4,12.6,73,7,SSE,9,1009.0
,2022-05-5,4.7,14.4,0.8,1.8,,S,54,22:25,6.4,88,2,NNW,15,1017.5,12.5,72,8,SSW,26,1016.8
,2022-05-6,6.4,13.5,85.2,,,S,87,02:52,9.4,91,7,SSW,17,1009.1,13.3,63,7,NNW,24,1005.5
,2022-05-7,9.4,12.2,5.0,1.8,,SSW,63,14:56,11.1,82,7,SW,19,999.6,11.0,85,8,SSW,33,1003.4
,2022-05-8,9.6,16.6,19.8,,,SW,54,00:17,12.1,75,3,N,4,1019.7,14.9,52,2,SSW,17,1021.3
,2022-05-9,4.6,16.1,0.2,1.8,,NNW,26,10:36,7.6,79,1,NNW,15,1029.1,15.8,47,1,N,9,1027.3
,2022-05-10,5.8,18.0,0,1.2,,NW,35,04:46,8.4,81,1,N,13,1031.0,16.4,51,1,NE,9,1029.4
,2022-05-11,6.1,15.1,0,2.0,,NW,33,04:57,9.3,73,3,N,15,1031.2,14.1,62,7,NNW,15,1028.2
,2022-05-12,9.3,14.3,0,0.4,,NW,35,10:32,10.7,82,7,N,15,1024.9,14.2,72,8,NNW,7,1020.4
,2022-05-13,7.4,16.7,0,0.4,,NNW,26,04:31,9.8,90,3,NNW,13,1017.9,15.5,69,7,ESE,13,1016.7
,2022-05-14,9.8,17.7,3.2,0.6,,NW,46,21:52,12.4,94,7,N,7,1009.3,16.8,79,3,NW,7,1002.5
,2022-05-15,12.3,19.9,0.2,1.2,,NW,50,11:48,16.0,63,5,NNW,15,1004.2,18.3,51,7,WNW,17,998.2
,2022-05-16,7.3,12.5,8.4,2.2,,WNW,72,00:46,9.7,72,2,NNW,20,1001.1,9.9,64,2,NNW,28,1001.6
,2022-05-17,6.1,14.2,5.8,1.8,,W,59,12:22,9.7,68,6,N,20,1005.4,13.2,50,7,NNW,28,1004.1
,2022-05-18,7.1,12.5,1.0,1.8,,W,67,12:40,9.0,72,7,NNW,22,1002.9,11.4,55,4,SW,30,1007.2
,2022-05-19,9.0,13.6,0.8,1.2,,WSW,57,09:26,11.0,65,4,SW,37,1019.6,12.0,50,2,SW,22,1024.3
,2022-05-20,5.0,13.1,0,2.0,,WSW,50,00:17,7.7,78,7,WNW,11,1034.1,12.0,66,6,E,9,1033.8
,2022-05-21,4.1,13.0,0,0.8,,NNW,28,10:25,6.2,88,7,NNW,9,1036.9,12.6,59,2,N,7,1034.0
,2022-05-22,4.0,11.5,0,1.2,,NNW,33,07:42,6.7,83,7,NW,17,1032.9,11.2,65,7,NNW,15,1031.0
,2022-05-23,6.1,15.3,0,0.8,,NNW,28,01:58,7.1,86,1,NNW,15,1032.0,15.0,56,1,NNW,9,1029.6
,2022-05-24,6.8,14.8,0,1.6,,NNW,26,10:42,7.5,84,6,NNW,19,1031.4,12.7,62,2,ESE,11,1028.8
,2022-05-25,3.0,15.4,0,0.8,,NNW,43,09:53,4.2,93,1,NW,26,1026.6,13.9,62,1,NE,11,1023.2
,2022-05-26,3.7,14.8,0,1.0,,NNW,31,01:50,4.8,95,3,NNW,20,1019.4,12.8,70,7,N,15,1014.6
,2022-05-27,4.7,16.0,0,0.6,,NNW,33,04:41,12.4,69,7,WNW,9,1014.5,14.6,46,7,NW,20,1014.6
,2022-05-28,4.6,15.6,0,1.4,,NW,37,07:29,5.6,82,6,NNW,17,1011.8,14.6,55,3,N,2,1009.0
,2022-05-29,3.5,11.9,0,1.0,,NNW,22,09:48,5.3,91,7,NNW,7,1010.3,10.6,76,3, ,Calm,1006.1
,2022-05-30,4.2,13.4,0,0.6,,NNW,28,09:32,7.4,87,1,NNW,13,996.0,11.9,61,5,NE,9,989.9
,2022-05-31,4.0,10.2,0,0.8,,NNW,28,05:31,5.1,87,7,NNW,9,983.9,10.1,64,7,NNW,17,983.4
