"Daily Weather Observations for Hobart, Tasmania for August 2022"
"Prepared at 13:03 UTC on Sunday  4 December 2022   IDCJDW7021.202208"
"Copyright 2003 Commonwealth Bureau of Meteorology"
"Most observations from Battery Point, but some from Hobart Airport West."
"Hobart Airport West {station 94008} was originally called Hobart Airport. The name was changed with the opening of the new site Hobart Airport {station 94250}."
"Temperature, humidity, wind, pressure and rainfall observations are from Hobart (Ellerslie Road) {station 094029}"
"Cloud, evaporation and sunshine observations are from Hobart Airport West {station 094008}"

,"Date","Minimum temperature (°C)","Maximum temperature (°C)","Rainfall (mm)","Evaporation (mm)","Sunshine (hours)","Direction of maximum wind gust ","Speed of maximum wind gust (km/h)","Time of maximum wind gust","9am Temperature (°C)","9am relative humidity (%)","9am cloud amount (oktas)","9am wind direction","9am wind speed (km/h)","9am MSL pressure (hPa)","3pm Temperature (°C)","3pm relative humidity (%)","3pm cloud amount (oktas)","3pm wind direction","3pm wind speed (km/h)","3pm MSL pressure (hPa)"
,2022-08-1,7.1,13.7,0,2.2,,NW,65,14:10,10.1,63,6,NNW,24,998.6,10.1,63,7,NW,28,996.5
,2022-08-2,5.8,14.6,8.8,2.0,,WNW,63,05:24,9.7,58,1,NNW,26,1005.0,13.7,45,7,N,15,1005.7
,2022-08-3,8.5,16.5,0,2.6,,NW,59,00:56,11.7,66,7,N,13,993.5,15.1,52,,NNW,20,992.4
,2022-08-4,8.5,18.0,3.0,,,NW,52,12:14,11.5,69,,NW,24,991.8,17.4,39,,NNW,28,989.0
,2022-08-5,6.2,14.1,0,,,NW,35,14:13,8.7,77,,WSW,7,987.9,11.4,73,,NW,15,988.9
,2022-08-6,7.5,9.9,3.2,,,SSW,43,09:54,8.7,81,,SSW,22,1005.9,7.8,72,,S,17,1009.7
,2022-08-7,3.8,11.1,2.4,,,SSW,28,02:00,5.6,84,,NNW,11,1021.3,8.8,77,,ESE,13,1022.0
,2022-08-8,1.2,12.9,0.2,,,NNW,31,08:26,3.0,97,,NW,19,1026.1,12.5,38,,N,13,1024.3
,2022-08-9,1.8,14.0,0,,,NW,28,06:33,4.0,79,,NNW,17,1028.6,13.0,43,,NE,9,1027.5
,2022-08-10,2.6,13.8,0,,,NNW,39,14:46,4.0,78,,NNW,24,1029.8,13.0,42,,N,24,1025.2
,2022-08-11,3.1,12.8,0,,,NNW,35,08:15,7.1,73,,N,13,1018.2,11.8,64,,S,6,1012.6
,2022-08-12,5.4,14.6,0.2,,,NW,26,00:02,8.4,79,,NNW,9,1015.0,12.7,66,,SE,13,1015.4
,2022-08-13,7.4,14.5,0.6,,,S,41,23:33,8.9,94,,NW,4,1019.1,12.1,88,,SE,13,1016.3
,2022-08-14,8.8,14.6,19.0,,,SSE,81,07:07,11.8,96,,S,46,1002.6,13.1,82,,SE,28,1000.8
,2022-08-15,10.3,13.8,7.6,,,ENE,33,00:15,11.2,87,,SSW,13,999.3,12.4,82,,S,13,996.2
,2022-08-16,8.6,15.1,9.6,,,SSW,41,13:44,10.7,82,,N,6,1005.2,12.8,79,,ESE,17,1008.2
,2022-08-17,6.6,16.0,0.4,,,N,70,20:04,7.4,88,,N,13,1015.3,15.6,59,,N,19,1009.0
,2022-08-18,7.4,17.4,0,,,NW,81,15:25,14.8,58,,N,20,996.7,16.0,49,,NW,37,991.9
,2022-08-19,7.1,14.2,0.2,,,NNW,63,13:00,9.3,60,,NNW,26,1005.5,13.7,51,,NW,20,1004.8
,2022-08-20,6.0,10.2,1.6,,,SW,57,04:42,7.3,63,,SSW,13,1016.7,9.2,51,,S,13,1020.8
,2022-08-21,0.9,13.0,0.8,,,NNW,57,23:43,4.1,74,,NNW,13,1021.0,12.4,49,,NNW,28,1013.8
,2022-08-22,3.9,11.4,4.8,,,NNW,65,02:34,11.4,78,,W,13,1001.1,10.3,61,,SW,11,1001.2
,2022-08-23,3.7,10.4,0.6,,,SW,57,10:50,5.3,79,,NW,20,1007.2,9.0,57,,SW,19,1010.1
,2022-08-24,4.9,13.3,0.6,,,N,54,02:53,8.6,74,,NW,26,1010.9,12.3,74,,WNW,9,1009.8
,2022-08-25,7.0,17.1,0.2,,,SSW,46,12:37,10.8,71,,NNE,11,1021.1,14.8,60,,SE,9,1022.7
,2022-08-26,5.1,15.3,0.2,,,ESE,26,15:19,9.4,83,,N,6,1027.8,14.1,63,,SE,15,1026.5
,2022-08-27,7.0,16.6,0,,,NNW,31,10:45,8.3,89,,NNW,13,1029.7,14.1,66,,ESE,11,1026.1
,2022-08-28,6.3,19.3,0,,,NE,31,13:56,10.0,82,, ,Calm,1027.2,17.7,48,,NNE,19,1022.2
,2022-08-29,8.7,21.1,0,,,N,37,14:25,11.6,79,,E,7,1020.2,19.7,46,,N,20,1015.3
,2022-08-30,9.6,14.2,0.6,,,SW,50,22:31,11.6,92,,ENE,6,1008.4,12.6,89,,N,6,1003.8
,2022-08-31,9.2,18.5,2.4,,,NNW,50,10:36,13.7,57,,N,30,1016.5,17.6,44,,NW,24,1015.4
