"Daily Weather Observations for Hobart, Tasmania for October 2022"
"Prepared at 16:03 UTC on Friday  2 December 2022   IDCJDW7021.202210"
"Copyright 2003 Commonwealth Bureau of Meteorology"
"Most observations from Battery Point, but some from Hobart Airport West."
"Hobart Airport West {station 94008} was originally called Hobart Airport. The name was changed with the opening of the new site Hobart Airport {station 94250}."
"Temperature, humidity, wind, pressure and rainfall observations are from Hobart (Ellerslie Road) {station 094029}"
"Cloud, evaporation and sunshine observations are from Hobart Airport West {station 094008}"

,"Date","Minimum temperature (°C)","Maximum temperature (°C)","Rainfall (mm)","Evaporation (mm)","Sunshine (hours)","Direction of maximum wind gust ","Speed of maximum wind gust (km/h)","Time of maximum wind gust","9am Temperature (°C)","9am relative humidity (%)","9am cloud amount (oktas)","9am wind direction","9am wind speed (km/h)","9am MSL pressure (hPa)","3pm Temperature (°C)","3pm relative humidity (%)","3pm cloud amount (oktas)","3pm wind direction","3pm wind speed (km/h)","3pm MSL pressure (hPa)"
,2022-10-1,3.8,16.0,0,,,NW,28,03:49,10.8,64,,NNW,13,1029.3,14.7,47,,SE,13,1025.0
,2022-10-2,4.5,18.6,0,,,WNW,50,14:43,10.1,67,,NNW,17,1019.1,17.4,42,,W,19,1016.5
,2022-10-3,8.7,15.1,0,,,SE,39,14:49,9.8,77,,N,15,1020.0,13.7,60,,ESE,15,1016.7
,2022-10-4,6.2,12.3,0,,,SSE,54,13:35,8.9,59,,SSW,20,1026.4,10.6,55,,SE,30,1029.1
,2022-10-5,4.0,12.4,0,,,E,35,15:26,8.2,67,, ,Calm,1036.0,11.7,55,,E,20,1032.9
,2022-10-6,8.1,14.7,0,,,NE,50,14:03,11.8,65,,N,15,1027.9,13.4,69,,NE,24,1021.8
,2022-10-7,11.4,21.7,1.6,,,NW,41,20:56,13.7,92,,N,9,1007.0,21.6,47,,NW,11,1003.5
,2022-10-8,8.5,15.8,4.0,,,SW,56,15:44,11.7,48,,NW,20,1011.7,15.5,41,,NW,13,1013.8
,2022-10-9,3.1,14.4,0.2,,,SE,30,15:03,8.4,65,,NNW,13,1022.6,12.7,50,,SE,15,1021.7
,2022-10-10,5.1,18.7,0,,,NE,33,11:18,11.3,63,,ESE,4,1022.3,16.2,52,,NNE,13,1022.0
,2022-10-11,7.9,19.8,0.4,,,NE,37,15:57,12.4,71,,NNW,13,1024.6,17.6,53,,E,13,1020.8
,2022-10-12,10.5,18.8,0,,,NNE,44,18:36,15.3,69,,NNE,7,1021.5,18.3,65,,NNE,22,1018.8
,2022-10-13,14.3,17.7,0.6,,,N,56,19:29,16.3,75,,NNE,17,1011.7,16.9,76,,NE,19,1007.7
,2022-10-14,11.0,16.4,4.0,,,NNW,52,06:13,12.7,58,,NNW,13,1000.8,15.6,53,,ESE,15,1001.5
,2022-10-15,10.0,16.7,5.0,,,SW,57,13:18,12.6,63,,N,20,1010.4,14.1,63,,SSE,15,1012.4
,2022-10-16,6.4,16.5,1.6,,,NNW,46,22:16,9.2,56,,NNW,17,1018.7,14.0,50,,E,13,1017.5
,2022-10-17,8.0,14.9,0.2,,,NW,56,00:46,10.4,61,,SSW,11,1021.6,11.5,66,,ESE,17,1021.4
,2022-10-18,5.0,19.1,0.2,,,NW,46,10:42,11.0,69,,N,15,1019.1,18.6,38,,N,17,1013.0
,2022-10-19,10.7,18.9,0,,,NW,39,23:35,13.0,76,,ESE,11,1016.9,17.3,60,,ESE,20,1013.4
,2022-10-20,7.5,16.4,0,,,SE,35,12:28,13.4,57,,N,6,1020.6,15.5,68,,ESE,20,1020.7
,2022-10-21,8.1,24.3,0,,,NW,46,13:38,13.9,73,,NNW,17,1017.5,23.2,52,,NW,28,1012.5
,2022-10-22,13.9,18.0,5.8,,,S,50,22:37,17.2,96,,NNW,9,1005.1,14.7,94,,SSE,11,1006.9
,2022-10-23,9.9,13.8,9.2,,,SSW,52,01:05,11.6,66,,SSW,20,1022.2,13.0,56,,SSE,28,1024.7
,2022-10-24,9.6,14.2,0,,,E,44,14:51,11.5,58,,ESE,24,1028.7,12.5,64,,E,20,1025.6
,2022-10-25,10.4,15.6,2.2,,,SSE,30,22:05,14.1,98,,S,6,1016.6,15.0,94,,SE,17,1012.3
,2022-10-26,12.4,15.1,12.2,,,S,57,07:38,12.9,97,,S,35,1002.1,14.9,93,,SE,24,998.9
,2022-10-27,12.2,15.8,18.6,,,S,30,07:26,12.3,98,,S,15,995.2,15.7,82,,SSW,9,990.9
,2022-10-28,12.0,15.3,17.0,,,S,35,13:40,13.6,96,,NNW,9,986.4,13.6,90,,S,20,986.6
,2022-10-29,9.8,16.1,7.0,,,SSW,54,13:58,11.6,60,,SSW,15,996.4,13.5,58,,SW,30,996.7
,2022-10-30,5.7,18.2,0.2,,,N,41,22:49,12.4,58,,NNE,13,1007.0,17.2,41,,NNE,13,1004.1
,2022-10-31,10.9,23.1,0.2,,,WNW,91,11:21,18.1,62,,NNW,30,978.6,18.3,47,,WNW,39,979.0
