"Daily Weather Observations for Hobart, Tasmania for November 2022"
"Prepared at 13:03 UTC on Wednesday  7 December 2022   IDCJDW7021.202211"
"Copyright 2003 Commonwealth Bureau of Meteorology"
"Most observations from Battery Point, but some from Hobart Airport West."
"Hobart Airport West {station 94008} was originally called Hobart Airport. The name was changed with the opening of the new site Hobart Airport {station 94250}."
"Temperature, humidity, wind, pressure and rainfall observations are from Hobart (Ellerslie Road) {station 094029}"
"Cloud, evaporation and sunshine observations are from Hobart Airport West {station 094008}"

,"Date","Minimum temperature (°C)","Maximum temperature (°C)","Rainfall (mm)","Evaporation (mm)","Sunshine (hours)","Direction of maximum wind gust ","Speed of maximum wind gust (km/h)","Time of maximum wind gust","9am Temperature (°C)","9am relative humidity (%)","9am cloud amount (oktas)","9am wind direction","9am wind speed (km/h)","9am MSL pressure (hPa)","3pm Temperature (°C)","3pm relative humidity (%)","3pm cloud amount (oktas)","3pm wind direction","3pm wind speed (km/h)","3pm MSL pressure (hPa)"
,2022-11-1,6.5,14.0,1.0,,,SSW,48,12:40,12.9,46,,NNW,9,984.1,11.9,69,,ENE,15,985.0
,2022-11-2,4.1,15.8,7.0,,,SW,54,19:12,10.6,54,,NNW,19,996.7,12.7,53,,NNW,22,996.8
,2022-11-3,6.3,17.8,0.4,,,SSW,54,15:53,13.9,51,,NNW,17,1008.1,16.8,50,,SW,24,1010.7
,2022-11-4,6.5,17.6,0,,,SE,37,15:34,13.0,54,,NW,15,1023.8,16.7,49,,SE,19,1023.4
,2022-11-5,11.6,18.2,0,,,SE,35,16:41,14.2,70,,ENE,11,1026.6,16.8,62,,ESE,22,1023.8
,2022-11-6,9.8,25.7,1.8,,,NW,41,11:24,16.3,68,,NNW,15,1021.6,23.5,32,,WNW,22,1017.7
,2022-11-7,10.9,19.9,0.2,,,SSE,33,14:56,16.0,65,,SE,7,1021.3,18.6,60,,SE,20,1019.4
,2022-11-8,11.4,24.9,0,,,NNW,31,02:36,17.4,59,,SE,7,1018.1,24.7,41,,SE,20,1015.9
,2022-11-9,12.8,24.9,0,,,N,31,21:55,19.1,58,,NNW,13,1020.4,23.6,53,,ESE,17,1018.1
,2022-11-10,15.2,28.1,0,,,NNW,67,17:47,19.9,54,,NNW,22,1014.9,27.4,39,,N,33,1009.0
,2022-11-11,16.9,23.0,0.4,,,ESE,43,11:28,19.7,72,,N,11,1007.1,14.3,87,,SE,28,1008.1
,2022-11-12,9.9,15.5,5.0,,,SSW,41,03:48,12.3,63,,S,15,1016.9,15.0,48,,SE,19,1016.3
,2022-11-13,9.6,13.2,0,,,E,26,16:32,12.1,61,,NNW,9,1012.1,12.4,93,,ESE,11,1005.5
,2022-11-14,11.1,15.6,11.2,,,SW,57,15:24,12.7,95,,S,17,990.9,15.5,66,,SSW,20,992.0
,2022-11-15,5.5,11.9,23.6,,,SSW,61,12:58,6.8,86,,SW,26,1003.2,9.8,76,,SSW,31,1005.7
,2022-11-16,6.8,12.9,10.6,,,SW,52,08:21,10.2,60,,SW,24,1011.6,11.3,55,,S,24,1012.2
,2022-11-17,7.2,16.0,0.4,,,SE,39,13:52,12.1,64,,NE,9,1017.6,14.4,58,,SE,26,1016.9
,2022-11-18,6.8,17.7,0,,,ESE,28,14:23,14.3,63,,N,11,1018.2,17.0,53,,SE,19,1014.6
,2022-11-19,10.1,21.2,0,,,N,50,13:01,14.9,61,,NNW,15,1006.1,20.7,42,,NNE,26,998.5
,2022-11-20,12.7,18.7,12.0,,,NW,57,12:18,13.4,73,,NW,7,984.0,15.8,41,,WNW,30,985.5
,2022-11-21,6.8,13.5,0.2,,,WSW,63,16:59,10.2,61,,NNW,20,986.4,10.6,60,,WSW,19,990.5
,2022-11-22,4.8,17.7,1.2,,,WSW,102,22:29,10.3,63,,NNE,35,994.6,16.3,38,,W,37,995.8
,2022-11-23,8.0,19.6,0,,,WSW,91,23:23,12.5,46,,WSW,35,1005.4,17.7,33,,N,6,1007.2
,2022-11-24,11.4,20.5,0,,,NW,39,23:11,18.3,50,,NNW,13,1012.3,17.9,52,,E,11,1012.9
,2022-11-25,10.7,17.1,0,,,SW,39,13:51,11.5,70,,NNW,7,1015.9,15.2,63,,SW,22,1014.3
,2022-11-26,7.5,18.4,0.4,,,NNW,31,22:09,12.6,71,,NNW,15,1011.5,17.8,53,,NNE,11,1005.6
,2022-11-27,12.2,18.7,2.4,,,SW,52,13:48,16.2,45,,NW,24,996.3,12.4,66,,SW,31,996.4
,2022-11-28,7.8,18.6,0.4,,,WNW,57,16:04,12.0,58,,NNE,28,999.3,15.4,57,,WNW,17,996.2
,2022-11-29,8.0,18.4,0.4,,,W,52,11:48,12.3,52,,WSW,20,1006.6,17.5,39,,SW,17,1009.5
,2022-11-30,9.1,20.5,0,,,NW,65,09:46,17.4,50,,NW,33,1011.8,18.0,53,,SW,15,1011.9
