"Daily Weather Observations for Melbourne (Olympic Park), Victoria for October 2014"
"Prepared at 13:03 UTC on Monday 10 August 2015   IDCJDW3033.201410"
"Copyright 2003 Commonwealth Bureau of Meteorology"
"Observations were drawn from Melbourne (Olympic Park) {station 086338}"

,"Date","Minimum temperature (°C)","Maximum temperature (°C)","Rainfall (mm)","Evaporation (mm)","Sunshine (hours)","Direction of maximum wind gust ","Speed of maximum wind gust (km/h)","Time of maximum wind gust","9am Temperature (°C)","9am relative humidity (%)","9am cloud amount (oktas)","9am wind direction","9am wind speed (km/h)","9am MSL pressure (hPa)","3pm Temperature (°C)","3pm relative humidity (%)","3pm cloud amount (oktas)","3pm wind direction","3pm wind speed (km/h)","3pm MSL pressure (hPa)"
,2014-10-1,7.4,15.2,2.6,,,N,41,11:30,12.6,56,,WSW,11,1023.0,13.2,62,,SSW,13,1024.1
,2014-10-2,9.6,17.1,0,,,SW,26,10:25,13.1,72,,WNW,9,1024.7,17.0,57,,SSW,11,1022.8
,2014-10-3,10.7,19.6,0.6,,,SSW,24,08:33,12.3,87,,S,11,1023.3,15.8,64,,SSW,13,1019.0
,2014-10-4,8.7,26.3,0.2,,,NNW,48,14:41,19.5,47,,N,13,1015.7,25.6,32,,N,26,1011.6
,2014-10-5,13.7,17.4,0,,,SW,26,,14.5,67,,WSW,7,1017.2,16.9,51,,SSW,15,1016.7
,2014-10-6,9.1,25.4,0,,,NNW,67,18:32,12.3,75,,NE,7,1009.1,23.2,45,,NNW,7,1003.8
,2014-10-7,12.1,17.2,1.0,,,W,50,00:01,12.7,73,,WNW,11,1012.1,14.6,62,,SW,15,1014.0
,2014-10-8,9.0,18.6,1.0,,,WSW,24,08:55,12.9,70,,NW,6,1020.8,16.9,57,,S,11,1020.1
,2014-10-9,9.4,21.9,0,,,N,28,12:42,13.8,74,,NE,4,1022.9,20.7,46,,SSW,13,1018.0
,2014-10-10,13.8,24.5,0,,,N,41,15:59,18.4,47,,N,19,1014.7,20.9,41,,N,20,1012.1
,2014-10-11,13.7,20.0,0,,,SSW,30,02:33,14.7,75,,W,9,1016.4,19.3,54,,SSW,9,1014.3
,2014-10-12,9.4,26.9,0,,,SSW,44,15:45,13.6,77,,NE,2,1010.8,24.7,39,,SSW,13,1005.0
,2014-10-13,9.7,14.6,4.4,,,S,54,20:27,11.1,69,,WSW,13,1012.2,14.2,54,,SSW,20,1013.4
,2014-10-14,8.6,15.6,6.0,,,S,46,14:33,12.3,65,,SSE,17,1021.9,13.8,46,,S,22,1022.3
,2014-10-15,5.9,15.4,0.2,,,SSW,31,12:01,11.3,58,,SSW,2,1022.8,14.8,49,,SSE,19,1020.3
,2014-10-16,11.0,15.6,0,,,S,37,14:05,13.3,70,,NW,9,1019.2,14.9,60,,S,17,1020.2
,2014-10-17,10.2,16.3,3.4,,,SSW,30,16:47,12.3,58,,ESE,9,1027.3,15.4,51,,SSW,13,1026.1
,2014-10-18,8.0,24.6,0,,,N,46,15:22,13.6,69,,NE,9,1026.5,22.8,31,,N,17,1022.9
,2014-10-19,13.5,29.2,0,,,N,57,08:28,21.8,35,,N,22,1021.6,27.8,29,,N,20,1018.7
,2014-10-20,10.2,20.7,0,,,SE,37,09:15,12.8,49,,SE,17,1030.5,20.0,35,,SE,19,1027.4
,2014-10-21,8.0,28.2,0,,,NNW,24,12:53,13.4,70,,NE,7,1027.6,27.2,35,,N,11,1023.2
,2014-10-22,13.1,32.3,0,,,N,48,07:27,21.1,54,,N,24,1019.5,31.5,28,,N,19,1015.2
,2014-10-23,14.8,22.3,0,,,SSW,30,14:38,14.9,95,,SSW,7,1020.5,17.6,79,,SW,13,1017.1
,2014-10-24,14.6,30.3,0,,,SSW,30,18:02,17.8,81,,NW,2,1012.1,27.5,44,,S,7,1009.9
,2014-10-25,14.1,18.2,0,,,SSW,33,16:18,15.6,74,,SSE,7,1017.5,17.7,65,,SSW,15,1015.2
,2014-10-26,13.8,24.7,0,,,NNW,31,22:58,14.4,74,,SSW,4,1014.5,20.3,56,,S,9,1012.3
,2014-10-27,13.5,19.4,22.4,,,WSW,46,15:32,13.7,95,,W,7,1005.5,15.1,65,,SW,15,1008.7
,2014-10-28,11.6,19.5,3.6,,,SW,44,15:12,14.8,61,,NW,13,1011.5,18.8,47,,W,17,1012.8
,2014-10-29,10.7,21.8,0.4,,,N,28,13:45,13.7,64,,WNW,7,1019.0,20.8,42,,SW,7,1015.3
,2014-10-30,13.4,21.3,0,,,SSW,28,14:26,15.6,64,,WSW,7,1015.9,19.3,46,,SSW,13,1013.1
,2014-10-31,10.4,32.3,0,,,N,54,12:47,14.8,76,,NE,9,1009.6,30.4,22,,N,24,1002.3
