"Daily Weather Observations for Melbourne (Olympic Park), Victoria for November 2014"
"Prepared at 13:03 UTC on Sunday  9 August 2015   IDCJDW3033.201411"
"Copyright 2003 Commonwealth Bureau of Meteorology"
"Observations were drawn from Melbourne (Olympic Park) {station 086338}"

,"Date","Minimum temperature (°C)","Maximum temperature (°C)","Rainfall (mm)","Evaporation (mm)","Sunshine (hours)","Direction of maximum wind gust ","Speed of maximum wind gust (km/h)","Time of maximum wind gust","9am Temperature (°C)","9am relative humidity (%)","9am cloud amount (oktas)","9am wind direction","9am wind speed (km/h)","9am MSL pressure (hPa)","3pm Temperature (°C)","3pm relative humidity (%)","3pm cloud amount (oktas)","3pm wind direction","3pm wind speed (km/h)","3pm MSL pressure (hPa)"
,2014-11-1,13.4,17.2,6.0,,,W,52,12:17,13.7,80,,WSW,15,1004.2,15.6,41,,W,19,1008.3
,2014-11-2,9.1,15.4,0.2,,,S,37,11:26,12.0,64,,W,13,1021.3,14.7,56,,S,13,1023.8
,2014-11-3,11.0,23.1,0,,,S,24,14:42,13.2,58,,ENE,6,1026.0,19.1,47,,SSW,13,1021.6
,2014-11-4,12.5,28.8,0,,,N,54,12:35,19.5,39,,NNE,11,1016.8,27.3,20,,N,26,1012.1
,2014-11-5,12.5,16.8,0,,,SSW,39,11:10,14.7,61,,SSW,13,1019.1,15.8,54,,S,19,1018.7
,2014-11-6,11.0,22.5,0,,,S,28,16:34,14.0,63,,SW,6,1018.0,21.2,41,,SSW,11,1014.3
,2014-11-7,11.1,32.1,0,,,N,35,13:52,18.8,54,,NNE,15,1016.9,30.7,26,,NNE,20,1014.9
,2014-11-8,18.0,34.9,0,,,S,57,15:12,26.2,27,,N,20,1014.7,33.7,13,,NW,20,1011.4
,2014-11-9,12.6,17.5,0.2,,,S,41,15:55,15.4,58,,SSE,11,1022.7,16.7,56,,SSW,17,1021.7
,2014-11-10,11.0,19.6,0,,,SSW,41,15:53,15.2,61,,SSW,7,1023.2,17.6,60,,S,20,1022.4
,2014-11-11,12.2,17.0,0,,,SSW,35,13:32,14.2,53,,SSE,15,1024.4,16.3,50,,SSW,19,1021.8
,2014-11-12,7.9,22.8,0,,,SSW,28,15:30,13.4,72,,SW,7,1018.8,22.1,55,,SW,9,1014.3
,2014-11-13,12.7,30.6,0,,,WSW,19,13:55,17.8,70,, ,Calm,1014.8,29.0,28,,SW,9,1009.5
,2014-11-14,17.7,18.9,0,,,SSW,50,07:05,18.4,71,,SSW,17,1010.3,16.7,63,,S,17,1014.0
,2014-11-15,12.1,17.6,0,,,SW,28,11:27,14.1,61,,SSE,7,1013.8,15.8,59,,SSW,11,1010.9
,2014-11-16,10.6,17.6,36.6,,,S,31,09:31,12.7,92,,SSW,11,1009.1,15.8,70,,S,15,1010.1
,2014-11-17,12.2,19.1,0.6,,,W,30,07:55,15.1,74,,W,13,1015.4,18.7,46,,SW,7,1015.5
,2014-11-18,10.9,19.9,0,,,S,26,10:00,14.2,64,,WSW,7,1021.0,18.7,47,,S,9,1020.5
,2014-11-19,11.4,29.2,0,,,N,30,15:36,15.7,66,,NNE,9,1019.8,27.0,31,,SW,11,1013.6
,2014-11-20,15.4,28.4,0,,,N,50,07:18,25.2,27,,N,31,1006.6,26.3,45,,S,7,1005.3
,2014-11-21,16.2,22.2,0.8,,,SSW,30,07:08,16.6,71,,WSW,9,1011.3,21.4,45,,SSW,11,1011.0
,2014-11-22,12.9,31.0,0,,,N,52,15:34,16.9,72,,NE,9,1011.0,28.0,29,,N,24,1007.6
,2014-11-23,16.5,24.5,0,,,SSW,30,14:54,18.8,74,,S,9,1012.7,22.1,59,,SSW,15,1010.5
,2014-11-24,14.5,19.7,1.2,,,W,44,07:25,16.5,88,,WSW,7,1009.6,17.9,95,,SW,9,1006.7
,2014-11-25,11.5,20.9,12.6,,,SW,33,09:10,15.3,63,,WNW,13,1018.5,20.3,38,,WSW,11,1018.5
,2014-11-26,12.0,18.9,0,,,S,35,16:10,15.0,61,,WSW,4,1021.8,17.8,61,,SSW,11,1021.6
,2014-11-27,13.1,18.3,0,,,SSW,37,13:36,14.8,55,,SSE,13,1026.1,17.5,60,,SSW,19,1024.7
,2014-11-28,11.4,18.8,0,,,SSW,31,17:58,13.9,74,,SE,7,1024.4,18.3,63,,SSW,13,1020.7
,2014-11-29,11.9,24.1,0,,,SSW,31,14:02,15.7,79,,E,6,1017.5,21.4,69,,SSW,15,1012.2
,2014-11-30,15.6,35.0,0,,,N,35,10:47,20.8,66,,SSW,2,1008.2,30.4,40,,S,9,1004.4
