"Daily Weather Observations for Melbourne (Olympic Park), Victoria for December 2014"
"Prepared at 13:03 UTC on Saturday  8 August 2015   IDCJDW3033.201412"
"Copyright 2003 Commonwealth Bureau of Meteorology"
"Observations were drawn from Melbourne (Olympic Park) {station 086338}"

,"Date","Minimum temperature (°C)","Maximum temperature (°C)","Rainfall (mm)","Evaporation (mm)","Sunshine (hours)","Direction of maximum wind gust ","Speed of maximum wind gust (km/h)","Time of maximum wind gust","9am Temperature (°C)","9am relative humidity (%)","9am cloud amount (oktas)","9am wind direction","9am wind speed (km/h)","9am MSL pressure (hPa)","3pm Temperature (°C)","3pm relative humidity (%)","3pm cloud amount (oktas)","3pm wind direction","3pm wind speed (km/h)","3pm MSL pressure (hPa)"
,2014-12-1,20.8,28.1,0,,,N,48,01:18,22.3,65,,S,19,1005.2,26.1,57,,SSW,13,1003.7
,2014-12-2,16.1,24.3,0.4,,,SSW,31,17:22,19.2,72,, ,Calm,1010.1,22.7,57,,SSW,17,1009.5
,2014-12-3,16.2,23.9,0,,,SSW,31,18:51,17.8,84,,SSW,6,1013.7,19.1,83,, ,Calm,1012.9
,2014-12-4,17.5,25.6,9.0,,,S,28,17:36,20.3,86,,SSE,6,1010.3,24.2,64,,SSW,17,1008.3
,2014-12-5,17.4,20.4,0,,,SSW,28,13:32,18.5,85,,S,9,1008.6,19.1,84,,S,13,1007.5
,2014-12-6,15.4,22.7,2.6,,,SE,54,15:10,16.5,93,,S,9,1009.1,21.1,68,,SE,24,1006.5
,2014-12-7,13.8,17.8,14.8,,,SE,37,23:06,14.3,96,,SE,13,1009.2,16.3,83,,SE,13,1007.9
,2014-12-8,14.1,20.1,2.2,,,SSW,30,09:58,17.1,84,,SE,13,1009.6,19.3,70,,SSW,15,1011.4
,2014-12-9,15.3,19.0,0,,,SSW,30,10:52,16.2,69,,ESE,6,1016.5,18.4,63,,SSW,13,1015.3
,2014-12-10,12.7,20.0,0,,,SSW,30,20:24,15.9,79,,NNE,4,1012.7,18.7,79,,SSW,9,1011.3
,2014-12-11,15.9,19.8,0.8,,,SSW,44,12:49,17.9,81,,S,13,1015.4,18.9,74,,SSW,20,1017.7
,2014-12-12,14.0,26.6,0,,,SE,30,14:54,18.5,68,,ENE,6,1021.4,25.4,39,,SSE,11,1018.6
,2014-12-13,14.4,30.7,0,,,N,48,08:00,22.3,45,,N,26,1016.3,29.6,27,,NNE,11,1011.3
,2014-12-14,18.9,25.1,0,,,N,43,07:32,24.6,36,,NW,13,1009.3,22.4,62,,SSW,13,1008.0
,2014-12-15,15.3,22.9,0,,,SSW,31,14:12,18.8,72,,ESE,7,1009.5,20.6,71,,S,19,1005.7
,2014-12-16,16.0,32.3,0,,,NW,61,14:58,19.6,78,,SSW,13,996.3,31.3,16,,NW,19,991.5
,2014-12-17,12.2,21.6,0,,,S,30,17:03,16.2,50,,WSW,9,1009.2,20.6,36,,S,9,1008.1
,2014-12-18,11.6,24.8,0,,,SSW,43,14:51,18.7,43,,NW,13,1005.9,22.0,39,,S,13,1005.6
,2014-12-19,11.4,19.3,1.6,,,SSW,31,10:50,15.0,61,,SSW,13,1016.9,18.6,49,,S,13,1017.6
,2014-12-20,12.5,22.5,0,,,SSW,28,15:08,16.6,61,,SSW,7,1019.4,21.6,46,,SSW,9,1017.6
,2014-12-21,13.1,33.1,0,,,S,35,16:21,18.2,71,,NNE,13,1014.7,32.7,27,,WNW,6,1011.5
,2014-12-22,17.2,23.6,0,,,S,26,12:03,19.8,73,,N,4,1013.1,22.5,75,,SSW,9,1009.6
,2014-12-23,19.7,26.5,1.0,,,S,39,15:54,23.4,61,,NNW,7,1008.0,21.8,78,,SSW,15,1008.6
,2014-12-24,14.4,21.3,0.6,,,S,41,13:39,18.2,55,,SSE,9,1015.9,19.9,60,,SSW,20,1014.7
,2014-12-25,13.4,23.0,0,,,S,39,17:35,18.5,64,,NNE,6,1010.1,21.6,54,,SSW,13,1007.5
,2014-12-26,10.8,18.9,3.4,,,S,39,15:57,14.4,63,,WSW,15,1015.8,17.4,51,,S,17,1017.4
,2014-12-27,12.5,21.1,0,,,S,31,15:40,16.1,59,,NNW,6,1021.3,19.4,50,,SW,15,1019.4
,2014-12-28,12.2,32.0,0,,,SSE,28,18:42,18.6,66,, ,Calm,1016.0,28.2,30,,SSW,13,1009.2
,2014-12-29,16.7,26.2,0,,,NW,52,10:29,23.6,28,,N,13,1000.2,19.8,59,,WNW,13,1001.8
,2014-12-30,13.5,23.4,0.2,,,WSW,43,13:26,17.9,58,,NW,15,1007.7,21.7,37,,SW,13,1010.0
,2014-12-31,12.6,25.3,0.4,,,SSW,28,17:54,15.3,64,,SE,2,1016.3,21.5,42,,S,11,1014.0
