"Daily Weather Observations for Melbourne (Olympic Park), Victoria for July 2015"
"Prepared at 13:03 UTC on Friday 21 August 2015   IDCJDW3033.201507"
"Copyright 2003 Commonwealth Bureau of Meteorology"
"Observations were drawn from Melbourne (Olympic Park) {station 086338}"

,"Date","Minimum temperature (°C)","Maximum temperature (°C)","Rainfall (mm)","Evaporation (mm)","Sunshine (hours)","Direction of maximum wind gust ","Speed of maximum wind gust (km/h)","Time of maximum wind gust","9am Temperature (°C)","9am relative humidity (%)","9am cloud amount (oktas)","9am wind direction","9am wind speed (km/h)","9am MSL pressure (hPa)","3pm Temperature (°C)","3pm relative humidity (%)","3pm cloud amount (oktas)","3pm wind direction","3pm wind speed (km/h)","3pm MSL pressure (hPa)"
,2015-07-1,7.4,15.0,0,,,NNW,39,12:48,11.8,50,,NW,9,1028.1,13.7,46,,NNW,19,1023.5
,2015-07-2,10.3,11.9,0.6,,,SW,44,09:36,10.4,69,,W,15,1021.3,10.8,69,,SSW,11,1025.1
,2015-07-3,5.9,12.0,2.6,,,N,22,22:06,7.3,86,,NE,6,1028.8,11.1,48,,NW,7,1026.1
,2015-07-4,7.3,10.6,0,,,NNW,26,00:40,9.4,58,,N,15,1022.6,9.2,79,,NNE,13,1021.6
,2015-07-5,8.2,14.9,2.0,,,N,39,12:49,9.2,66,,N,19,1020.6,13.6,54,,N,17,1017.7
,2015-07-6,7.5,11.5,1.6,,,N,41,12:21,7.5,86,,N,19,1017.0,11.3,61,,N,20,1015.3
,2015-07-7,7.4,14.2,2.2,,,N,17,00:01,9.5,84,,N,7,1022.5,12.0,75,,SSW,11,1022.6
,2015-07-8,4.9,14.8,0.2,,,NW,31,13:47,6.5,92,,NNE,9,1027.4,14.0,55,,N,13,1025.7
,2015-07-9,6.5,13.4,0,,,N,28,14:06,10.5,76,,N,11,1027.3,13.1,57,,N,13,1023.8
,2015-07-10,7.6,14.3,0,,,NNW,48,23:41,11.0,74,,N,11,1016.9,14.1,60,,N,19,1011.9
,2015-07-11,10.9,13.1,0.2,,,N,48,01:04,12.7,72,,N,17,1005.7,9.2,85,,NNE,9,1003.2
,2015-07-12,3.4,12.3,1.6,,,SSW,37,15:50,6.1,87,,NW,7,1006.6,9.5,100,,W,11,1004.2
,2015-07-13,6.1,12.7,28.4,,,SSW,48,05:22,8.7,90,,WSW,11,1012.9,12.5,72,,WSW,9,1009.8
,2015-07-14,8.1,9.8,3.8,,,N,41,15:45,8.6,67,,NW,11,1013.3,8.0,75,,N,24,1009.0
,2015-07-15,5.8,10.5,3.6,,,SSE,22,20:36,6.7,83,,NE,7,1017.0,8.5,76,,SSW,11,1018.7
,2015-07-16,6.6,12.3,0.2,,,SE,30,11:01,10.5,70,,SSE,11,1024.6,10.8,73,,SSW,15,1022.4
,2015-07-17,7.3,12.3,2.4,,,S,39,15:01,8.4,94,,WSW,9,1022.1,11.6,81,,SSW,17,1022.1
,2015-07-18,6.1,11.5,0.4,,,SSW,26,02:50,7.7,81,,S,6,1030.8,10.3,56,,SSW,13,1030.8
,2015-07-19,0.6,12.1,0,,,SSW,19,13:33,2.1,89,,NE,9,1034.4,11.2,57,,SSW,7,1031.7
,2015-07-20,1.8,14.7,0,,,N,39,13:22,4.3,86,,NNE,9,1033.0,13.6,47,,N,22,1029.5
,2015-07-21,4.2,17.0,0,,,NNW,70,12:21,11.4,63,,N,19,1026.6,15.9,51,,NNW,24,1021.0
,2015-07-22,11.4,16.6,1.6,,,N,54,00:51,13.4,73,,N,17,1017.7,14.6,60,,WNW,6,1019.3
,2015-07-23,5.1,16.1,0,,,N,33,14:25,7.7,89,,NNE,11,1025.9,15.2,58,,N,17,1022.4
,2015-07-24,7.6,15.0,1.2,,,N,39,15:23,11.6,83,,N,20,1012.9,14.8,70,,N,20,1008.7
,2015-07-25,9.4,13.3,0.8,,,N,54,19:44,10.6,62,,N,13,1013.7,12.7,58,,NNW,24,1011.8
,2015-07-26,8.1,11.6,3.2,,,NNW,56,00:06,9.2,60,,NNW,13,1012.9,8.8,64,,NW,9,1015.7
,2015-07-27,6.2,13.9,0.8,,,NW,31,00:53,7.9,74,,NW,9,1027.9,13.3,55,,W,13,1028.1
,2015-07-28,7.9,14.4,0,,,NW,24,10:44,10.6,78,,W,7,1035.2,12.3,73,,SSW,9,1033.4
,2015-07-29,8.4,14.0,0,,,N,35,14:20,9.9,67,,N,9,1033.3,12.6,54,,N,19,1029.0
,2015-07-30,8.6,12.3,0,,,NNW,63,14:23,10.1,65,,N,26,1020.7,11.8,57,,N,24,1013.9
,2015-07-31,4.1,14.0,0.6,,,N,41,22:29,6.5,82,,NNE,11,1021.5,13.3,45,,N,20,1016.8
