"Daily Weather Observations for Melbourne (Olympic Park), Victoria for August 2017"
"Prepared at 13:01 UTC on Sunday 12 August 2018   IDCJDW3033.201708"
"Copyright 2003 Commonwealth Bureau of Meteorology"
"Observations were drawn from Melbourne (Olympic Park) {station 086338}"

,"Date","Minimum temperature (°C)","Maximum temperature (°C)","Rainfall (mm)","Evaporation (mm)","Sunshine (hours)","Direction of maximum wind gust ","Speed of maximum wind gust (km/h)","Time of maximum wind gust","9am Temperature (°C)","9am relative humidity (%)","9am cloud amount (oktas)","9am wind direction","9am wind speed (km/h)","9am MSL pressure (hPa)","3pm Temperature (°C)","3pm relative humidity (%)","3pm cloud amount (oktas)","3pm wind direction","3pm wind speed (km/h)","3pm MSL pressure (hPa)"
,2017-08-1,3.5,15.5,0,,,SSW,20,13:32,6.2,89,,NE,6,1027.4,13.0,64,,SSW,11,1026.1
,2017-08-2,3.4,12.9,0,,,NNE,13,09:46,5.6,100,,NE,2,1027.1,12.8,61,, ,Calm,1023.0
,2017-08-3,3.1,9.0,0,,,NNE,15,07:15,4.3,89,,NNE,7,1017.8,8.7,84,,E,2,1011.4
,2017-08-4,4.3,12.1,6.6,,,N,50,23:30,8.9,87,,NNW,11,1007.6,11.5,66,,N,20,1005.7
,2017-08-5,8.8,14.2,0,,,N,52,21:19,10.6,68,,N,13,1007.9,13.1,55,,NNW,24,1006.3
,2017-08-6,9.0,13.0,0,,,NNE,54,00:23,10.0,76,,N,15,1003.7,11.7,54,,NNW,20,1001.7
,2017-08-7,7.7,12.3,4.2,,,SW,41,15:18,9.4,70,,NW,13,1004.8,11.0,79,,WSW,13,1008.9
,2017-08-8,7.9,15.0,2.2,,,NW,26,12:23,10.5,72,,NNW,6,1020.8,13.9,59,,NNW,6,1019.3
,2017-08-9,8.9,16.8,0,,,N,46,18:33,11.4,74,,N,11,1022.9,15.1,60,,N,20,1018.9
,2017-08-10,11.4,18.8,0,,,N,63,10:58,15.0,48,,N,22,1011.5,17.0,43,,N,19,1005.8
,2017-08-11,10.3,16.4,0,,,NNW,44,10:31,12.7,59,,NW,13,1013.7,15.8,44,,WNW,15,1012.7
,2017-08-12,10.3,17.9,2.8,,,NNW,41,01:05,11.7,84,,N,13,1017.8,16.9,43,,W,13,1017.1
,2017-08-13,9.4,18.7,2.0,,,NNW,43,15:47,12.4,83,,N,9,1021.2,17.3,47,,N,19,1017.0
,2017-08-14,12.3,20.1,0,,,N,35,09:47,13.5,51,,N,20,1015.6,19.7,41,,N,17,1012.0
,2017-08-15,10.4,17.5,0.2,,,N,50,10:43,14.6,69,,N,20,1004.7,16.9,70,,NNW,20,999.5
,2017-08-16,12.1,18.1,0.8,,,NW,54,13:26,13.4,53,,WNW,13,997.5,16.9,39,,WNW,24,999.0
,2017-08-17,9.3,15.6,1.8,,,NW,52,12:48,9.5,77,,N,7,1002.3,14.4,47,,NW,24,1000.9
,2017-08-18,8.0,12.2,2.8,,,WSW,39,14:34,9.6,64,,NW,19,1009.2,9.6,75,,WSW,11,1013.1
,2017-08-19,5.9,11.8,7.2,,,S,30,10:40,7.2,89,,W,7,1026.2,10.9,64,,SW,11,1026.5
,2017-08-20,5.1,13.3,2.0,,,WSW,20,00:08,7.1,79,,NE,7,1027.6,12.9,49,,SW,6,1020.9
,2017-08-21,6.8,12.7,0.6,,,N,33,06:49,7.3,82,,N,11,1017.1,12.3,61,,NNW,13,1013.8
,2017-08-22,5.7,16.8,1.6,,,N,20,00:59,11.1,64,,NNE,4,1019.2,15.1,56,,S,7,1017.8
,2017-08-23,8.3,18.1,0,,,SSW,41,15:57,13.2,65,,N,13,1018.1,16.6,48,,NNW,19,1015.0
,2017-08-24,5.2,13.3,9.2,,,WSW,30,13:32,9.6,74,,WSW,6,1023.1,12.3,65,,S,13,1023.0
,2017-08-25,4.9,15.0,0.6,,,SSW,20,14:38,10.0,61,,ENE,4,1028.1,13.3,50,,SSW,11,1025.9
,2017-08-26,9.9,15.3,0,,,NNW,33,19:39,12.4,56,,NW,13,1025.0,14.5,45,,W,13,1021.5
,2017-08-27,5.8,10.7,7.8,,,S,52,10:14,9.3,53,,S,17,1022.8,10.0,52,,S,20,1023.5
,2017-08-28,5.8,11.8,0.6,,,S,26,11:41,7.8,82,,W,9,1025.6,11.4,57,,SW,11,1023.5
,2017-08-29,5.4,12.9,0,,,WSW,24,22:11,9.3,73,,NNW,9,1023.8,12.1,56,, ,Calm,1021.8
,2017-08-30,7.7,13.8,0.6,,,S,35,12:39,8.2,92,,SW,7,1026.8,12.7,56,,SSW,15,1028.0
,2017-08-31,4.0,16.7,0.2,,,SE,26,12:42,8.6,76,, ,Calm,1031.6,15.5,40,,W,6,1027.2
