"Daily Weather Observations for Melbourne (Olympic Park), Victoria for November 2017"
"Prepared at 13:01 UTC on Thursday  9 August 2018   IDCJDW3033.201711"
"Copyright 2003 Commonwealth Bureau of Meteorology"
"Observations were drawn from Melbourne (Olympic Park) {station 086338}"

,"Date","Minimum temperature (°C)","Maximum temperature (°C)","Rainfall (mm)","Evaporation (mm)","Sunshine (hours)","Direction of maximum wind gust ","Speed of maximum wind gust (km/h)","Time of maximum wind gust","9am Temperature (°C)","9am relative humidity (%)","9am cloud amount (oktas)","9am wind direction","9am wind speed (km/h)","9am MSL pressure (hPa)","3pm Temperature (°C)","3pm relative humidity (%)","3pm cloud amount (oktas)","3pm wind direction","3pm wind speed (km/h)","3pm MSL pressure (hPa)"
,2017-11-1,11.9,18.0,0.4,,,SSW,26,09:41,14.7,78,,SW,7,1019.3,15.8,66,,SSW,11,1017.9
,2017-11-2,11.3,17.4,1.4,,,SSE,26,04:45,12.7,79,,SSE,9,1017.2,15.9,56,,SSW,13,1014.8
,2017-11-3,9.4,16.6,1.4,,,S,46,14:17,12.0,58,,WSW,13,1015.1,15.3,45,,SSW,19,1015.9
,2017-11-4,8.3,15.8,0.4,,,SSW,35,12:51,10.2,72,,SSE,9,1022.7,14.5,47,,SSW,17,1022.4
,2017-11-5,6.4,17.6,0,,,SSW,39,13:04,13.4,59,,ESE,11,1023.2,15.6,49,,SSW,15,1020.4
,2017-11-6,10.9,16.1,0,,,S,43,14:19,13.8,66,,SSE,17,1015.9,14.8,60,,SSW,19,1016.5
,2017-11-7,10.0,15.8,3.4,,,S,43,13:50,12.2,76,,SSE,13,1020.7,14.4,52,,S,20,1023.3
,2017-11-8,12.1,16.9,0,,,S,30,13:27,13.9,59,,SSE,11,1027.7,15.6,64,,S,15,1027.3
,2017-11-9,8.7,21.8,0,,,SSW,28,15:14,14.6,68,,ESE,2,1028.3,18.1,66,,SSW,17,1025.4
,2017-11-10,12.1,27.2,0,,,SE,20,16:27,15.7,78,,NNE,6,1027.0,22.8,63,,WSW,9,1023.9
,2017-11-11,14.8,24.7,0,,,SSW,26,12:21,17.8,79,,WNW,2,1025.6,22.0,65,,SSW,15,1022.4
,2017-11-12,13.2,23.3,0,,,SSW,28,16:01,16.1,86,, ,Calm,1023.8,21.6,69,,SSW,15,1020.3
,2017-11-13,13.7,33.0,0,,,NE,24,11:41,19.3,73,,NNE,6,1019.7,32.0,20,,SSW,13,1014.9
,2017-11-14,18.2,33.9,0,,,N,48,08:11,25.3,38,,NNW,20,1015.9,33.1,27,,NNW,15,1012.1
,2017-11-15,21.5,31.4,0,,,N,52,09:50,27.5,29,,N,15,1011.5,28.6,30,,W,11,1009.6
,2017-11-16,18.1,21.3,3.6,,,NNE,26,11:15,19.0,99,, ,Calm,1010.8,19.6,87,,NNE,11,1010.1
,2017-11-17,16.4,26.8,4.2,,,N,37,12:53,21.1,65,,NNE,9,1013.6,25.1,43,,NNE,15,1012.0
,2017-11-18,16.1,28.1,0,,,SE,39,15:42,21.8,64,,E,2,1016.7,26.1,46,,SSW,13,1014.8
,2017-11-19,15.1,29.3,24.8,,,SSE,37,16:42,19.9,74,,NE,9,1021.1,27.6,37,,ENE,9,1019.4
,2017-11-20,16.6,30.8,0,,,N,35,09:19,23.8,43,,NNW,22,1023.3,29.0,34,,S,13,1019.9
,2017-11-21,17.8,32.9,0,,,NNW,30,12:41,24.5,43,,N,17,1021.2,31.9,26,,N,15,1017.7
,2017-11-22,18.7,32.6,0,,,SSW,31,15:40,26.0,42,,NE,9,1016.5,31.1,25,,S,17,1012.8
,2017-11-23,16.2,31.9,0,,,NNW,50,18:39,22.6,50,,N,4,1011.6,27.5,38,,SW,7,1009.6
,2017-11-24,18.6,30.7,1.0,,,NNW,31,09:31,23.7,51,, ,Calm,1013.2,29.3,37,,N,6,1012.2
,2017-11-25,19.3,32.5,0.4,,,N,37,13:19,22.5,70,,NNE,9,1014.3,32.0,28,,NNE,22,1010.6
,2017-11-26,19.4,28.3,3.4,,,SSW,44,17:48,20.2,88,,ESE,7,1011.8,23.5,62,,NE,9,1011.1
,2017-11-27,16.5,21.2,1.4,,,SSW,37,15:44,16.6,96,,SSE,11,1017.0,20.6,62,,SSW,17,1016.3
,2017-11-28,13.7,31.0,0.2,,,SE,26,17:47,19.1,65,,NNE,4,1018.9,24.6,63,,SSW,11,1016.0
,2017-11-29,18.5,35.8,0,,,N,37,09:00,26.8,48,,NNE,11,1016.8,34.5,27,,N,11,1013.0
,2017-11-30,22.5,34.9,0,,,N,52,11:00,29.0,44,,N,22,1011.6,34.1,32,,N,19,1007.9
