"Daily Weather Observations for Melbourne (Olympic Park), Victoria for December 2017"
"Prepared at 13:01 UTC on Wednesday  8 August 2018   IDCJDW3033.201712"
"Copyright 2003 Commonwealth Bureau of Meteorology"
"Observations were drawn from Melbourne (Olympic Park) {station 086338}"

,"Date","Minimum temperature (°C)","Maximum temperature (°C)","Rainfall (mm)","Evaporation (mm)","Sunshine (hours)","Direction of maximum wind gust ","Speed of maximum wind gust (km/h)","Time of maximum wind gust","9am Temperature (°C)","9am relative humidity (%)","9am cloud amount (oktas)","9am wind direction","9am wind speed (km/h)","9am MSL pressure (hPa)","3pm Temperature (°C)","3pm relative humidity (%)","3pm cloud amount (oktas)","3pm wind direction","3pm wind speed (km/h)","3pm MSL pressure (hPa)"
,2017-12-1,21.5,23.5,1.8,,,N,41,05:31,21.8,92,,NNW,13,1006.3,18.9,98,,SSW,15,1006.7
,2017-12-2,14.7,16.4,20.6,,,SSW,56,18:49,15.1,97,,S,17,1006.2,16.1,93,,SSW,20,1004.9
,2017-12-3,11.5,17.1,43.8,,,S,44,10:15,13.2,79,,W,13,1010.0,16.5,64,,SSW,20,1011.9
,2017-12-4,12.4,17.5,5.4,,,SSE,37,14:07,15.9,70,,SSE,15,1015.3,17.5,67,,S,13,1014.7
,2017-12-5,10.8,22.8,1.8,,,ESE,39,16:21,16.7,71,,SSE,11,1013.4,21.2,54,,SE,17,1009.6
,2017-12-6,13.6,21.3,0,,,SSW,33,15:07,17.3,70,,ESE,9,1006.9,20.3,63,,S,17,1003.9
,2017-12-7,11.6,21.9,0,,,SSW,39,19:34,16.9,65,, ,Calm,1004.5,21.3,48,,SSW,11,1002.7
,2017-12-8,11.4,18.7,25.2,,,SSW,30,23:05,14.9,64,,W,9,1014.8,17.0,53,,S,13,1016.1
,2017-12-9,12.7,23.0,0,,,S,31,14:47,18.0,61,,WNW,11,1020.0,21.7,54,,SSW,13,1020.1
,2017-12-10,14.5,22.2,0,,,SSW,28,17:38,17.5,61,,SW,9,1023.3,21.4,57,,SSW,15,1021.4
,2017-12-11,16.4,20.7,0,,,S,31,17:16,17.5,61,,S,7,1022.0,19.7,58,,SSW,13,1020.4
,2017-12-12,15.8,26.4,0,,,S,28,16:50,18.2,57,,S,6,1019.1,21.9,59,,SSW,15,1015.6
,2017-12-13,15.8,37.6,0,,,N,44,16:22,26.4,41,,NNE,11,1008.8,36.0,17,,NNW,26,1004.5
,2017-12-14,20.5,23.1,0,,,SSW,39,11:52,21.1,71,,S,13,1006.0,21.5,68,,SSW,13,1008.1
,2017-12-15,14.1,26.4,0,,,SW,28,13:42,18.4,58,,SSE,9,1013.1,23.1,42,,SSW,17,1009.7
,2017-12-16,13.8,24.6,0,,,SSW,30,16:57,18.7,72,,SSW,7,1014.9,23.2,46,,SSW,11,1014.7
,2017-12-17,15.7,24.5,0,,,SSW,35,16:25,19.0,69,,SSE,15,1017.7,23.1,69,,SSW,17,1014.8
,2017-12-18,17.1,33.0,0,,,N,20,22:56,19.7,78,,NNE,9,1012.2,31.2,38,,SSW,7,1008.7
,2017-12-19,19.7,37.4,0,,,S,50,15:33,29.6,41,,NNW,9,999.6,36.4,29,,N,24,995.5
,2017-12-20,15.8,24.5,20.6,,,SSE,41,16:04,20.0,48,,W,13,1007.9,19.5,72,,S,15,1010.9
,2017-12-21,12.3,23.7,0,,,SSE,28,18:55,17.7,59,,SW,7,1019.2,22.1,49,,SSW,11,1017.4
,2017-12-22,13.6,27.7,0,,,SSW,28,15:48,18.8,64,,N,6,1016.5,25.9,50,,S,7,1011.6
,2017-12-23,14.7,30.2,0,,,SSW,35,22:40,18.2,74,,NE,7,1009.5,26.7,38,,SW,4,1006.3
,2017-12-24,15.8,19.4,0.4,,,S,43,11:55,16.8,62,,S,11,1011.8,18.0,55,,SSW,22,1013.8
,2017-12-25,15.1,21.4,0,,,S,44,14:38,17.2,57,,SSE,13,1019.1,20.7,54,,S,20,1017.5
,2017-12-26,12.5,30.5,0,,,SSE,37,16:15,17.4,66,,NNE,7,1017.9,27.0,43,,SSW,11,1013.4
,2017-12-27,17.3,34.5,0,,,NW,46,13:35,25.3,45,,NNE,20,1013.3,32.9,32,,N,24,1009.2
,2017-12-28,24.0,32.8,0,,,SSW,31,15:47,26.4,46,,NNE,9,1011.6,23.9,73,,SW,13,1009.6
,2017-12-29,18.6,24.4,0.2,,,SSW,35,12:15,19.5,78,,E,6,1010.7,20.0,85,,SSW,13,1007.3
,2017-12-30,15.6,21.3,8.4,,,SSW,65,11:36,19.0,60,,WNW,11,1007.7,19.6,71,,S,9,1009.3
,2017-12-31,12.0,25.7,0.2,,,S,33,17:28,17.3,60,,S,2,1012.0,22.5,48,,SSW,13,1008.5
