"Daily Weather Observations for Melbourne (Olympic Park), Victoria for January 2018"
"Prepared at 16:01 UTC on Tuesday  7 August 2018   IDCJDW3033.201801"
"Copyright 2003 Commonwealth Bureau of Meteorology"
"Observations were drawn from Melbourne (Olympic Park) {station 086338}"

,"Date","Minimum temperature (°C)","Maximum temperature (°C)","Rainfall (mm)","Evaporation (mm)","Sunshine (hours)","Direction of maximum wind gust ","Speed of maximum wind gust (km/h)","Time of maximum wind gust","9am Temperature (°C)","9am relative humidity (%)","9am cloud amount (oktas)","9am wind direction","9am wind speed (km/h)","9am MSL pressure (hPa)","3pm Temperature (°C)","3pm relative humidity (%)","3pm cloud amount (oktas)","3pm wind direction","3pm wind speed (km/h)","3pm MSL pressure (hPa)"
,2018-01-1,16.6,25.3,0,,,S,35,16:21,18.9,57,,SW,9,1009.1,24.3,40,,S,9,1006.7
,2018-01-2,16.4,21.8,0,,,SSW,35,14:43,19.0,55,,SSE,9,1008.4,21.5,50,,S,15,1008.7
,2018-01-3,14.6,21.0,0,,,SSW,33,15:09,17.3,76,,SSW,9,1015.3,20.5,46,,S,13,1015.6
,2018-01-4,14.1,23.6,0.2,,,SSW,31,15:47,19.2,62,,N,2,1016.9,22.2,58,,SSW,15,1016.1
,2018-01-5,14.7,30.7,0,,,SSW,26,16:00,19.4,62,,SSE,2,1016.9,23.4,60,,SW,9,1013.6
,2018-01-6,18.8,41.7,0,,,N,56,12:02,30.7,29,,N,17,1009.3,40.2,13,,NNW,24,1004.8
,2018-01-7,18.7,21.8,0,,,SSW,41,23:34,19.6,70,,SSE,9,1015.4,20.0,66,,SSW,9,1015.2
,2018-01-8,17.3,21.9,0,,,S,31,15:23,19.0,74,,S,7,1014.0,20.1,69,,SSW,13,1012.4
,2018-01-9,15.7,22.5,0,,,SSW,41,13:39,18.8,56,,SW,7,1014.8,19.9,54,,S,19,1017.4
,2018-01-10,13.6,25.6,0,,,ESE,33,08:59,18.5,63,,SSE,17,1018.6,24.0,45,,SW,9,1015.7
,2018-01-11,15.5,34.5,0,,,N,33,13:41,20.4,66,,NE,6,1013.9,33.2,23,,N,13,1010.4
,2018-01-12,20.4,30.0,1.0,,,SSW,37,15:39,23.8,84,, ,Calm,1004.2,24.9,80,,NNW,6,1003.1
,2018-01-13,16.0,20.9,7.0,,,S,59,18:03,18.1,57,,W,9,1005.6,15.6,85,,SSW,6,1004.5
,2018-01-14,12.7,19.5,15.0,,,SSW,43,13:06,16.4,60,,SSE,13,1017.5,18.4,47,,SSW,19,1019.1
,2018-01-15,14.6,20.9,0,,,SSW,41,14:33,17.2,86,,WSW,9,1020.3,19.5,77,,SSW,20,1020.8
,2018-01-16,12.9,26.9,0,,,SE,35,17:50,18.0,70,,ENE,2,1023.1,25.3,35,,SE,17,1020.0
,2018-01-17,12.4,30.3,0,,,SSW,24,14:25,17.3,69,,N,9,1019.4,28.5,38,,SW,9,1015.8
,2018-01-18,16.6,40.0,0,,,NNE,41,12:20,25.7,37,,NNE,13,1015.2,37.9,13,,NNW,17,1011.7
,2018-01-19,22.5,40.3,0,,,N,48,11:08,32.0,20,,NNE,15,1011.8,35.6,29,,SSW,11,1009.3
,2018-01-20,20.3,24.6,0,,,SSW,31,13:36,21.4,79,,SSW,13,1015.2,22.6,74,,S,17,1013.6
,2018-01-21,21.0,28.2,0,,,NE,37,06:05,24.4,63,,WSW,7,1008.6,25.7,67,,SW,9,1007.6
,2018-01-22,20.5,23.9,0,,,SSW,39,15:31,21.6,78,,SSW,4,1009.1,23.3,65,,SSW,15,1007.9
,2018-01-23,18.0,23.6,0,,,SSW,37,14:55,19.3,65,,SSE,11,1012.4,22.3,57,,SSW,17,1011.2
,2018-01-24,14.8,23.3,0,,,S,39,16:12,19.2,71,,SSE,9,1011.4,22.5,59,,S,17,1010.4
,2018-01-25,17.1,26.6,0,,,SSW,35,14:15,19.5,77,,NE,2,1010.7,25.9,64,,SSW,11,1007.5
,2018-01-26,19.4,28.4,0,,,SSW,31,16:56,22.5,81,, ,Calm,1011.2,25.9,69,,SSW,17,1009.2
,2018-01-27,21.2,33.2,3.4,,,S,28,17:15,23.5,84,,SSE,4,1011.2,29.9,59,,S,13,1008.5
,2018-01-28,22.7,38.1,0,,,N,37,10:05,29.3,53,,N,13,1008.5,36.5,34,,NNW,19,1005.2
,2018-01-29,27.8,33.5,0,,,N,48,10:03,29.5,49,,N,17,1006.6,26.9,66,,S,17,1005.8
,2018-01-30,15.6,21.0,38.8,,,S,43,14:58,17.0,72,,SSE,11,1012.3,19.4,50,,S,19,1012.2
,2018-01-31,14.6,19.1,0,,,S,46,11:49,16.3,61,,S,15,1015.3,17.6,48,,S,20,1016.0
