"Daily Weather Observations for Melbourne (Olympic Park), Victoria for February 2018"
"Prepared at 13:01 UTC on Monday 20 August 2018   IDCJDW3033.201802"
"Copyright 2003 Commonwealth Bureau of Meteorology"
"Observations were drawn from Melbourne (Olympic Park) {station 086338}"

,"Date","Minimum temperature (°C)","Maximum temperature (°C)","Rainfall (mm)","Evaporation (mm)","Sunshine (hours)","Direction of maximum wind gust ","Speed of maximum wind gust (km/h)","Time of maximum wind gust","9am Temperature (°C)","9am relative humidity (%)","9am cloud amount (oktas)","9am wind direction","9am wind speed (km/h)","9am MSL pressure (hPa)","3pm Temperature (°C)","3pm relative humidity (%)","3pm cloud amount (oktas)","3pm wind direction","3pm wind speed (km/h)","3pm MSL pressure (hPa)"
,2018-02-1,12.1,22.5,0.2,,,SSW,48,15:43,16.8,47,,SE,15,1017.5,21.1,43,,SSW,17,1016.0
,2018-02-2,13.4,22.1,0,,,SSW,39,16:24,19.1,57,,SSE,7,1019.2,20.9,63,,SSW,17,1018.2
,2018-02-3,15.8,28.1,0,,,SSW,35,15:41,18.9,67,,NE,4,1021.9,26.2,44,,SSW,13,1020.3
,2018-02-4,14.7,25.7,0,,,SSW,28,16:49,18.8,74,,NNW,7,1024.3,24.6,52,,SSW,13,1021.8
,2018-02-5,17.0,25.7,0,,,SSW,33,16:56,19.4,77,,SSE,4,1021.0,22.7,68,,S,13,1018.1
,2018-02-6,17.7,29.9,0,,,SSW,26,14:53,20.6,76,,N,7,1017.6,26.3,55,,S,11,1015.5
,2018-02-7,18.7,37.4,0,,,NNE,33,11:20,23.2,71,, ,Calm,1015.1,36.1,24,,NNW,13,1011.5
,2018-02-8,20.6,27.5,0,,,SSW,30,18:47,23.8,70,,WNW,2,1013.1,26.7,61,,S,11,1014.7
,2018-02-9,20.4,24.9,0,,,SSW,28,15:51,21.0,78,,SSE,9,1015.8,23.6,69,,SW,9,1014.5
,2018-02-10,18.7,30.3,0,,,NNW,61,14:45,23.1,66,,NNE,11,1006.0,27.3,51,,N,19,1003.2
,2018-02-11,15.5,21.2,0,,,SSE,33,14:54,18.5,68,,SW,9,1009.1,20.1,50,,S,19,1009.0
,2018-02-12,16.3,23.6,0,,,S,28,13:48,17.8,56,,S,11,1011.1,21.3,42,,S,11,1011.6
,2018-02-13,13.6,29.0,0,,,N,26,14:54,18.2,67,,NE,4,1012.9,27.1,33,,E,7,1009.3
,2018-02-14,17.5,23.3,0,,,W,57,08:47,17.5,68,,WSW,22,1005.9,22.6,29,,W,19,1011.1
,2018-02-15,13.5,24.2,0,,,SSW,31,17:54,16.8,51,,NNW,13,1014.7,23.3,39,,SSW,13,1012.1
,2018-02-16,15.7,22.2,0,,,S,31,09:10,17.0,64,,WSW,9,1014.7,21.2,43,,SSE,11,1014.1
,2018-02-17,12.4,25.3,0,,,SSW,35,15:52,15.3,71,,NNE,7,1013.7,23.5,49,,S,13,1011.2
,2018-02-18,13.6,24.0,0,,,SSW,30,13:29,17.8,69,,NNE,2,1013.1,21.7,68,,SSW,15,1012.3
,2018-02-19,17.6,25.4,0.8,,,SE,56,16:24,19.0,77,,SSE,17,1015.5,25.0,52,,SE,24,1014.0
,2018-02-20,14.1,29.5,0,,,ESE,31,02:00,18.0,65,,ESE,2,1018.9,26.8,39,,WSW,11,1015.8
,2018-02-21,16.0,29.3,0,,,N,46,10:02,21.4,44,,N,19,1015.9,27.8,33,,N,17,1013.7
,2018-02-22,20.3,31.0,0,,,N,35,13:54,22.4,60,,N,7,1014.7,28.9,43,,NNW,20,1012.3
,2018-02-23,21.2,33.5,0.2,,,NNW,48,13:47,22.8,73,,ENE,4,1010.8,32.1,32,,N,24,1006.3
,2018-02-24,22.7,31.6,0.4,,,NNW,48,04:12,28.0,41,,N,15,1002.0,20.4,79,,S,17,1005.4
,2018-02-25,16.2,19.8,0,,,SE,39,11:04,16.7,54,,SSE,13,1012.4,18.4,51,,SSE,15,1012.8
,2018-02-26,14.3,26.5,0,,,SSE,31,23:03,17.5,68,,E,9,1016.2,25.3,44,,SSW,13,1014.1
,2018-02-27,14.9,31.3,0,,,N,43,08:16,21.6,53,,N,19,1015.8,29.3,31,,N,17,1012.7
,2018-02-28,20.0,30.9,0,,,N,59,09:35,25.0,36,,N,19,1005.1,29.0,25,,W,17,1004.2
