"Daily Weather Observations for Melbourne (Olympic Park), Victoria for April 2018"
"Prepared at 13:01 UTC on Saturday 18 August 2018   IDCJDW3033.201804"
"Copyright 2003 Commonwealth Bureau of Meteorology"
"Observations were drawn from Melbourne (Olympic Park) {station 086338}"

,"Date","Minimum temperature (°C)","Maximum temperature (°C)","Rainfall (mm)","Evaporation (mm)","Sunshine (hours)","Direction of maximum wind gust ","Speed of maximum wind gust (km/h)","Time of maximum wind gust","9am Temperature (°C)","9am relative humidity (%)","9am cloud amount (oktas)","9am wind direction","9am wind speed (km/h)","9am MSL pressure (hPa)","3pm Temperature (°C)","3pm relative humidity (%)","3pm cloud amount (oktas)","3pm wind direction","3pm wind speed (km/h)","3pm MSL pressure (hPa)"
,2018-04-1,13.0,27.7,0,,,NNW,33,14:26,18.0,62,,NNE,6,1014.8,27.1,32,,NNW,17,1010.7
,2018-04-2,14.9,20.9,0,,,SSW,28,09:58,16.4,64,,WSW,6,1018.9,20.8,46,,SSW,7,1018.6
,2018-04-3,13.4,19.8,0,,,S,28,12:57,16.6,74,,SW,7,1023.9,19.1,56,,SSW,11,1021.6
,2018-04-4,13.3,20.6,0,,,S,28,14:45,16.9,61,,NE,6,1021.8,19.6,64,,SSW,13,1018.0
,2018-04-5,13.3,18.7,0,,,SSW,22,12:09,15.8,81,,NNE,9,1016.8,17.8,67,,S,13,1016.2
,2018-04-6,13.8,21.2,0,,,S,30,16:52,16.3,70,,W,6,1020.4,20.9,56,,SW,9,1019.0
,2018-04-7,9.8,21.6,0,,,S,20,13:00,14.0,76,,NE,4,1021.8,20.9,49,,SSW,9,1019.0
,2018-04-8,11.8,29.9,0,,,N,44,12:44,18.2,53,,NNE,9,1016.8,29.1,24,,NNW,17,1012.9
,2018-04-9,15.9,25.7,0,,,WSW,20,06:11,17.5,82,,SSW,6,1020.3,20.7,65,,SSW,11,1018.1
,2018-04-10,14.8,28.8,0,,,N,37,17:55,25.3,35,,NNW,15,1015.8,27.6,34,,N,11,1014.2
,2018-04-11,18.1,27.3,0,,,SSW,31,15:18,18.7,82,,S,11,1017.5,20.1,76,,SSW,15,1013.8
,2018-04-12,15.9,26.5,0,,,SW,44,08:06,21.9,54,,SW,9,1009.1,25.3,45,,SE,6,1007.8
,2018-04-13,11.9,25.9,0,,,N,50,13:43,18.9,58,,N,15,1009.6,25.1,33,,NNW,31,1002.5
,2018-04-14,13.5,16.1,0,,,N,67,11:41,13.6,65,,N,30,997.4,15.8,54,,NW,26,994.9
,2018-04-15,9.7,19.1,12.2,,,WNW,43,03:56,14.2,74,,NNW,19,1002.3,16.9,78,,NW,17,1005.0
,2018-04-16,13.1,21.0,3.0,,,WNW,43,09:43,19.1,63,,NW,13,1010.8,17.2,77,,SSW,17,1014.0
,2018-04-17,13.2,16.6,0.6,,,SSW,28,14:19,15.0,51,,S,9,1025.0,16.3,53,,SSW,11,1024.5
,2018-04-18,6.2,19.4,0,,,S,20,15:22,11.5,71,,NE,7,1024.5,17.9,60,,SW,9,1018.9
,2018-04-19,11.0,22.3,0,,,SSW,17,13:06,14.6,75,,NNE,4,1019.4,21.4,37,,SSW,9,1018.1
,2018-04-20,8.9,20.2,0,,,SW,19,15:19,12.9,79,,NE,4,1022.9,19.3,69,,SW,9,1020.6
,2018-04-21,11.9,22.8,0,,,SSW,19,15:44,13.5,91,,N,6,1022.8,17.8,72,,SW,9,1019.3
,2018-04-22,11.2,20.4,0,,,SSW,17,14:02,14.9,86,,N,7,1023.4,20.1,66,,SSW,11,1020.2
,2018-04-23,11.9,26.9,0,,,N,20,16:39,13.8,99,,NNE,7,1020.6,22.0,65,,SW,6,1016.0
,2018-04-24,13.7,24.6,0,,,N,33,07:19,21.5,37,,N,17,1015.9,22.5,52,,SW,6,1015.6
,2018-04-25,15.7,20.1,0.6,,,S,19,15:23,17.1,81,,S,2,1017.2,19.4,61,,SSW,11,1013.9
,2018-04-26,11.9,17.5,0,,,S,30,11:40,15.2,75,,W,7,1020.0,17.1,56,,SSW,9,1020.4
,2018-04-27,11.6,17.8,0,,,ESE,26,15:57,15.7,68,,SSE,7,1027.1,17.5,55,,SE,11,1026.1
,2018-04-28,7.7,18.3,0,,,S,24,18:04,10.6,97,,NNE,11,1028.4,17.0,64,,SW,9,1025.8
,2018-04-29,10.5,18.0,0,,,S,31,14:36,15.7,70,,SSE,9,1029.6,17.0,67,,S,13,1028.2
,2018-04-30,8.8,19.6,0,,,SSW,19,13:34,11.5,86,,NNE,7,1029.3,18.8,52,,S,9,1027.1
