"Daily Weather Observations for Melbourne (Olympic Park), Victoria for September 2018"
"Prepared at 13:01 UTC on Sunday 11 August 2019   IDCJDW3033.201809"
"Copyright 2003 Commonwealth Bureau of Meteorology"
"Observations were drawn from Melbourne (Olympic Park) {station 086338}"

,"Date","Minimum temperature (°C)","Maximum temperature (°C)","Rainfall (mm)","Evaporation (mm)","Sunshine (hours)","Direction of maximum wind gust ","Speed of maximum wind gust (km/h)","Time of maximum wind gust","9am Temperature (°C)","9am relative humidity (%)","9am cloud amount (oktas)","9am wind direction","9am wind speed (km/h)","9am MSL pressure (hPa)","3pm Temperature (°C)","3pm relative humidity (%)","3pm cloud amount (oktas)","3pm wind direction","3pm wind speed (km/h)","3pm MSL pressure (hPa)"
,2018-09-1,10.5,13.4,2.2,,,W,30,09:30,12.4,68,,W,11,1010.8,10.6,81,,SSW,9,1012.9
,2018-09-2,5.0,12.3,3.0,,,SSE,28,16:07,9.1,77,,SSW,11,1022.0,11.9,61,,SSE,11,1022.6
,2018-09-3,5.0,13.1,0,,,SW,26,14:35,10.2,75,,S,2,1029.9,12.3,57,,SSW,17,1028.3
,2018-09-4,3.4,19.5,0,,,NNE,19,15:28,8.4,77,,N,7,1029.6,18.9,37,,NNW,7,1025.4
,2018-09-5,8.1,20.2,0,,,NNE,46,10:58,15.4,55,,NNE,13,1022.9,20.0,37,,N,22,1018.1
,2018-09-6,13.8,20.6,0,,,NNE,54,13:34,15.8,56,,NNE,22,1011.6,19.1,54,,N,24,1006.2
,2018-09-7,8.7,15.1,3.4,,,W,24,02:30,10.7,73,,WSW,7,1017.1,14.1,51,,S,9,1015.7
,2018-09-8,4.2,17.5,0.2,,,NNW,28,15:09,8.6,77,,NE,9,1018.7,16.5,33,,NNW,15,1015.1
,2018-09-9,8.6,18.1,0,,,NW,39,12:29,14.4,57,,NW,13,1019.0,16.9,60,,W,13,1019.0
,2018-09-10,13.4,18.0,0,,,SW,20,09:12,15.1,67,,NW,6,1025.8,17.3,60,,NNW,2,1023.9
,2018-09-11,9.1,24.2,0,,,N,61,15:14,16.8,64,,N,19,1017.0,23.1,39,,N,33,1008.2
,2018-09-12,11.7,18.5,0,,,W,41,00:05,12.5,50,,NNW,19,1015.0,17.6,32,,W,13,1014.2
,2018-09-13,7.1,19.7,0,,,N,37,16:51,13.8,54,,N,9,1020.2,19.2,37,,N,17,1017.0
,2018-09-14,10.9,22.7,0,,,NNW,46,09:41,15.7,45,,N,22,1015.9,22.5,32,,NNW,20,1009.8
,2018-09-15,10.2,13.7,0.2,,,WNW,50,08:23,10.2,77,,W,24,1003.1,11.2,52,,WSW,17,1008.6
,2018-09-16,5.5,14.0,2.0,,,NW,33,00:38,9.8,64,,WNW,11,1021.8,12.6,53,,SSW,7,1021.6
,2018-09-17,6.7,18.1,0,,,N,48,15:11,12.3,52,,N,15,1021.9,17.1,35,,N,26,1016.8
,2018-09-18,11.0,20.3,0,,,N,59,11:59,14.6,31,,N,30,1010.6,19.1,28,,NW,17,1007.1
,2018-09-19,8.5,14.7,3.0,,,SSW,31,15:48,10.4,63,,WSW,15,1013.3,12.7,57,,SSW,13,1014.4
,2018-09-20,3.8,17.4,0.8,,,SSW,20,10:16,11.1,66,,NNW,9,1021.1,16.3,43,,S,9,1021.1
,2018-09-21,8.3,18.9,0,,,SSW,31,13:03,13.0,67,,NNW,9,1027.3,17.6,46,,S,9,1025.1
,2018-09-22,6.8,17.3,0,,,SSW,35,15:51,13.4,69,,SE,4,1027.5,15.2,61,,S,17,1025.7
,2018-09-23,10.4,13.7,0.2,,,S,39,14:45,11.7,67,,S,11,1030.9,12.9,52,,S,17,1031.1
,2018-09-24,4.6,14.9,0,,,SSW,37,16:05,12.3,49,,S,11,1032.2,14.5,57,,SSW,13,1029.0
,2018-09-25,8.6,13.6,0,,,S,35,16:00,11.3,68,,SSE,9,1029.2,12.6,59,,SSW,17,1026.5
,2018-09-26,6.4,17.6,0,,,SSW,20,13:34,10.2,68,,NE,6,1024.4,17.0,47,,SSW,11,1019.2
,2018-09-27,9.2,24.2,0,,,N,48,08:27,16.9,46,,N,20,1016.0,23.8,28,,N,22,1011.3
,2018-09-28,10.7,15.2,0,,,S,44,12:38,13.1,66,,NW,11,1015.7,12.6,73,,SSW,13,1015.5
,2018-09-29,5.5,14.0,1.2,,,W,28,09:35,10.3,60,,SW,9,1025.9,12.8,51,,S,11,1026.3
,2018-09-30,6.8,16.5,0.2,,,SSW,22,15:44,11.7,73,,SW,7,1031.7,15.6,47,,SSW,9,1028.4
