"Daily Weather Observations for Melbourne (Olympic Park), Victoria for November 2018"
"Prepared at 13:01 UTC on Friday  9 August 2019   IDCJDW3033.201811"
"Copyright 2003 Commonwealth Bureau of Meteorology"
"Observations were drawn from Melbourne (Olympic Park) {station 086338}"

,"Date","Minimum temperature (°C)","Maximum temperature (°C)","Rainfall (mm)","Evaporation (mm)","Sunshine (hours)","Direction of maximum wind gust ","Speed of maximum wind gust (km/h)","Time of maximum wind gust","9am Temperature (°C)","9am relative humidity (%)","9am cloud amount (oktas)","9am wind direction","9am wind speed (km/h)","9am MSL pressure (hPa)","3pm Temperature (°C)","3pm relative humidity (%)","3pm cloud amount (oktas)","3pm wind direction","3pm wind speed (km/h)","3pm MSL pressure (hPa)"
,2018-11-1,12.8,34.3,0,,,NNW,39,13:36,16.4,81,,E,6,1017.7,32.3,22,,N,20,1009.6
,2018-11-2,16.3,31.6,0,,,WNW,57,15:50,22.7,62,,N,22,1008.2,29.1,46,,NNW,20,1003.1
,2018-11-3,12.6,20.9,0.2,,,WSW,46,23:38,15.0,52,,NW,13,1016.6,20.0,37,,W,13,1016.1
,2018-11-4,9.2,20.9,0,,,WSW,26,09:46,14.5,59,,NNW,4,1014.7,19.4,53,,S,9,1011.4
,2018-11-5,14.5,28.6,2.8,,,NNW,43,13:32,17.3,79,,NNE,9,1005.9,26.5,44,,NNW,20,1003.4
,2018-11-6,16.3,21.4,4.4,,,SSW,35,17:25,18.5,98,,NNW,9,1001.9,20.3,73,,SSW,6,1002.9
,2018-11-7,11.1,17.2,35.8,,,SSW,44,14:02,13.4,55,,WSW,11,1009.9,13.9,58,,SSW,19,1010.5
,2018-11-8,7.7,17.0,3.0,,,SSW,28,16:02,12.0,61,,WSW,11,1019.8,15.9,45,,S,9,1019.2
,2018-11-9,8.0,20.0,0,,,SSW,31,17:25,12.4,72,,NNE,7,1020.3,19.0,37,,W,9,1017.4
,2018-11-10,9.0,20.3,0,,,SSW,26,12:18,16.2,64,, ,Calm,1019.1,20.0,51,,S,9,1018.4
,2018-11-11,9.3,19.6,0.2,,,SSW,31,15:25,16.5,50,,ESE,7,1022.0,18.4,63,,SSW,17,1020.5
,2018-11-12,10.9,30.2,0,,,NNW,30,11:44,17.1,69,,NE,7,1018.6,28.8,24,,N,13,1015.4
,2018-11-13,16.9,30.5,0,,,N,50,15:36,22.3,50,,NNW,2,1011.1,30.3,29,,N,28,1007.4
,2018-11-14,14.8,17.3,6.2,,,SSW,28,15:21,15.2,100,,SSE,9,1014.8,16.0,82,,SSW,13,1015.2
,2018-11-15,13.7,18.1,0.2,,,SW,35,12:55,15.0,53,,S,15,1023.5,16.5,55,,S,19,1023.4
,2018-11-16,8.3,19.0,0,,,SSW,37,16:15,13.7,68,,WSW,7,1021.5,17.6,56,,SSW,13,1020.3
,2018-11-17,9.6,18.1,0,,,SSW,43,12:52,14.9,55,,SSE,17,1024.6,17.3,54,,SSW,20,1023.5
,2018-11-18,9.8,26.6,0,,,SSW,30,15:36,15.6,71,,E,4,1022.8,24.3,48,,SSW,9,1018.5
,2018-11-19,15.4,30.9,0,,,NNW,41,10:48,22.6,38,,N,22,1017.0,29.7,25,,NNE,11,1011.9
,2018-11-20,22.5,27.6,0,,,W,46,15:10,26.8,35,,NE,7,1006.4,27.4,40,,NE,9,1001.0
,2018-11-21,12.3,23.2,24.2,,,NW,41,18:13,14.1,68,,W,6,1002.5,20.8,44,,S,7,998.3
,2018-11-22,9.7,16.4,6.2,,,SSW,46,22:21,12.6,57,,N,22,996.2,14.0,67,,S,13,997.2
,2018-11-23,11.0,14.5,6.0,,,WSW,48,03:28,11.2,86,,W,13,1005.1,12.9,91,,W,13,1005.3
,2018-11-24,11.1,16.9,7.0,,,SSW,35,03:50,12.7,84,,W,9,1008.3,16.1,72,,S,15,1007.9
,2018-11-25,12.7,18.8,0.8,,,SSW,33,15:49,13.6,84,,WSW,7,1007.3,18.5,63,,S,15,1006.5
,2018-11-26,11.9,18.6,0,,,SSW,30,13:41,15.3,79,,S,11,1009.6,17.8,63,,S,15,1007.7
,2018-11-27,14.4,20.0,0.2,,,S,35,13:31,16.6,70,,ESE,9,1007.1,19.3,73,,SSW,19,1004.9
,2018-11-28,14.4,20.8,0,,,S,41,15:42,18.6,67,,SSE,13,1008.7,19.2,64,,S,19,1010.2
,2018-11-29,13.9,18.7,0.6,,,SW,35,13:11,15.5,79,,SSE,9,1015.1,17.9,68,,SSW,19,1013.5
,2018-11-30,14.7,20.8,0,,,SSW,37,13:50,16.7,75,,SSW,7,1012.5,18.7,64,,S,17,1011.4
