"Daily Weather Observations for Melbourne (Olympic Park), Victoria for December 2018"
"Prepared at 13:01 UTC on Thursday  8 August 2019   IDCJDW3033.201812"
"Copyright 2003 Commonwealth Bureau of Meteorology"
"Observations were drawn from Melbourne (Olympic Park) {station 086338}"

,"Date","Minimum temperature (°C)","Maximum temperature (°C)","Rainfall (mm)","Evaporation (mm)","Sunshine (hours)","Direction of maximum wind gust ","Speed of maximum wind gust (km/h)","Time of maximum wind gust","9am Temperature (°C)","9am relative humidity (%)","9am cloud amount (oktas)","9am wind direction","9am wind speed (km/h)","9am MSL pressure (hPa)","3pm Temperature (°C)","3pm relative humidity (%)","3pm cloud amount (oktas)","3pm wind direction","3pm wind speed (km/h)","3pm MSL pressure (hPa)"
,2018-12-1,10.3,31.7,0,,,N,52,16:48,17.3,57,,NNE,11,1009.9,30.6,27,,N,24,1002.4
,2018-12-2,12.2,19.5,10.4,,,WNW,70,02:28,15.4,62,,WSW,13,1004.3,18.5,43,,SSW,11,1005.8
,2018-12-3,13.3,23.6,0,,,NNW,46,12:58,16.3,58,,NW,13,1009.2,22.5,44,,W,13,1009.0
,2018-12-4,13.4,20.5,0,,,W,28,23:34,15.4,71,,SSW,7,1018.0,19.7,52,,SSW,13,1019.6
,2018-12-5,13.4,25.2,0,,,SSW,30,14:44,17.1,63,,S,7,1021.3,22.2,62,,SSW,13,1018.9
,2018-12-6,14.5,35.5,0,,,NNW,43,11:47,25.1,47,,N,26,1017.3,33.8,30,,N,20,1013.4
,2018-12-7,25.1,38.0,0,,,N,61,13:05,30.8,30,,N,24,1014.2,36.5,22,,N,30,1010.3
,2018-12-8,22.7,30.3,0,,,SSW,35,17:54,26.7,40,, ,Calm,1014.9,29.6,36,,NE,7,1014.1
,2018-12-9,16.0,20.1,1.2,,,S,26,23:32,16.9,82,,SSE,6,1018.6,19.2,71,,SSW,9,1016.7
,2018-12-10,15.8,20.6,0,,,S,35,11:49,16.7,76,,SW,11,1019.1,19.2,62,,S,17,1019.2
,2018-12-11,13.0,23.6,0,,,SSW,33,16:30,17.0,68,,SSW,9,1018.2,20.3,68,,SSW,15,1015.3
,2018-12-12,16.0,33.6,0,,,SW,44,18:54,22.0,67,,NNE,11,1009.9,32.7,27,,N,17,1004.9
,2018-12-13,16.9,21.1,16.2,,,SSW,39,09:28,17.0,100,,W,9,998.5,20.0,74,,SSE,13,997.2
,2018-12-14,16.4,22.7,16.6,,,N,28,10:43,17.4,85,,NW,7,1003.1,21.3,76,,SSW,11,1003.6
,2018-12-15,17.2,24.8,41.2,,,NNW,41,12:56,19.3,98,,N,4,1005.0,21.5,61,,NNW,22,1003.4
,2018-12-16,15.8,23.5,3.8,,,NNW,43,12:04,18.6,72,,N,15,1005.7,21.3,58,,NW,20,1005.1
,2018-12-17,15.6,21.8,2.0,,,SSW,31,14:15,18.9,80,,SW,9,1011.7,20.6,75,,SSE,17,1012.7
,2018-12-18,16.7,20.8,0,,,SW,31,14:46,17.6,70,,SE,9,1016.6,19.1,70,,SSW,15,1015.5
,2018-12-19,16.8,26.9,0,,,WSW,19,13:34,19.2,79,, ,Calm,1012.8,24.6,60,,SSW,11,1009.9
,2018-12-20,16.9,21.2,0,,,S,43,16:41,19.2,89,,SSW,9,1010.5,19.9,75,,SSW,22,1010.7
,2018-12-21,15.4,20.9,1.0,,,S,44,16:46,17.8,86,,SE,7,1010.2,19.6,77,,S,13,1008.6
,2018-12-22,14.1,19.1,9.8,,,SSW,35,12:14,16.9,62,,SSE,13,1018.1,18.1,57,,S,17,1019.5
,2018-12-23,11.5,26.9,0,,,SSW,28,17:44,16.2,64,,NNE,2,1021.9,24.4,44,,SSW,9,1019.1
,2018-12-24,14.3,34.2,0,,,N,43,13:26,21.8,61,,N,11,1017.8,32.4,20,,NNW,15,1014.1
,2018-12-25,15.8,23.9,0,,,SSW,39,15:25,22.4,53,,SSW,6,1016.5,22.3,71,,SSW,20,1015.8
,2018-12-26,13.3,23.8,0,,,SSW,28,14:35,18.3,63,,NE,4,1016.4,21.5,65,,SSW,13,1014.7
,2018-12-27,16.2,37.4,0,,,SSW,31,18:45,23.0,62,,NNE,9,1009.4,32.9,33,,SSW,9,1004.7
,2018-12-28,21.9,36.4,0,,,NNW,33,10:27,27.5,40,,NE,9,1004.9,31.7,36,,S,9,1005.4
,2018-12-29,21.0,23.9,1.2,,,SW,33,23:42,21.4,81,,NNW,6,1011.8,21.1,71,,S,11,1013.1
,2018-12-30,18.2,22.7,0.6,,,SSW,28,16:10,19.6,90,, ,Calm,1014.4,20.9,76,,SSW,13,1013.4
,2018-12-31,17.3,23.5,0.8,,,SSW,35,17:06,19.1,66,,SE,6,1013.2,21.9,64,,SW,11,1010.1
