"Daily Weather Observations for Melbourne (Olympic Park), Victoria for July 2019"
"Prepared at 13:01 UTC on Wednesday 21 August 2019   IDCJDW3033.201907"
"Copyright 2003 Commonwealth Bureau of Meteorology"
"Observations were drawn from Melbourne (Olympic Park) {station 086338}"

,"Date","Minimum temperature (°C)","Maximum temperature (°C)","Rainfall (mm)","Evaporation (mm)","Sunshine (hours)","Direction of maximum wind gust ","Speed of maximum wind gust (km/h)","Time of maximum wind gust","9am Temperature (°C)","9am relative humidity (%)","9am cloud amount (oktas)","9am wind direction","9am wind speed (km/h)","9am MSL pressure (hPa)","3pm Temperature (°C)","3pm relative humidity (%)","3pm cloud amount (oktas)","3pm wind direction","3pm wind speed (km/h)","3pm MSL pressure (hPa)"
,2019-07-1,9.5,14.1,0,,,N,54,10:57,10.0,69,,N,17,1021.6,13.0,51,,N,26,1017.4
,2019-07-2,8.6,15.9,0,,,N,41,01:13,10.0,68,,N,15,1019.2,14.7,62,,WNW,11,1020.2
,2019-07-3,8.2,13.7,0,,,SSW,17,14:13,10.9,87,,SSE,2,1030.9,12.1,85,,SSW,11,1031.6
,2019-07-4,5.3,13.5,0,,,SSE,20,03:08,8.2,98,,NE,4,1037.5,13.1,66,,NE,6,1035.1
,2019-07-5,3.5,19.1,0,,,NNE,17,15:11,6.0,95,,NNE,11,1036.4,18.6,45,,ENE,6,1032.2
,2019-07-6,6.0,19.4,0,,,NNE,26,13:42,9.4,91,,E,2,1033.0,18.4,47,,NNE,13,1030.5
,2019-07-7,9.0,18.2,0.2,,,N,31,11:58,12.4,71,,N,6,1028.7,17.0,61,,N,13,1025.2
,2019-07-8,11.0,16.0,5.2,,,WSW,30,11:40,12.3,75,,WNW,9,1025.4,14.8,55,,SW,11,1023.0
,2019-07-9,6.8,15.0,0.2,,,NW,26,14:10,9.5,80,,N,11,1020.6,14.2,59,,WNW,11,1017.4
,2019-07-10,9.5,15.4,0.2,,,N,72,19:30,11.1,71,,N,15,1012.5,14.5,59,,N,28,1004.4
,2019-07-11,7.8,14.3,6.4,,,NNW,39,13:48,10.3,67,,N,13,1005.9,11.6,84,,NNW,17,1005.5
,2019-07-12,10.1,15.7,2.4,,,NW,44,11:42,11.9,86,,N,17,1005.1,15.1,47,,WNW,17,1003.9
,2019-07-13,7.0,12.0,4.4,,,SSW,52,13:07,8.3,71,,WNW,13,1013.1,11.8,56,,SSW,15,1017.2
,2019-07-14,7.1,13.1,0.8,,,WNW,48,20:21,9.8,73,,NNW,13,1020.0,12.4,74,,WNW,11,1015.6
,2019-07-15,8.9,14.3,4.4,,,WSW,35,00:19,10.0,83,,W,9,1022.3,13.8,70,,WSW,13,1021.3
,2019-07-16,9.9,13.9,1.8,,,WNW,30,10:13,11.4,89,,W,9,1023.2,13.7,75,,W,11,1021.9
,2019-07-17,9.7,13.7,0,,,NNW,30,09:55,11.6,67,,N,15,1017.8,12.4,78,,NW,11,1013.2
,2019-07-18,9.0,14.3,0.4,,,N,41,22:35,10.1,75,,NNW,9,1018.4,13.4,55,,N,19,1015.4
,2019-07-19,7.5,15.7,1.6,,,N,31,18:41,10.6,79,,NNW,13,1021.1,15.3,48,,NW,7,1019.6
,2019-07-20,8.0,17.1,0,,,N,54,15:35,12.2,73,,N,19,1019.5,16.2,53,,N,28,1014.8
,2019-07-21,11.3,16.6,0,,,N,59,02:32,11.5,60,,N,15,1010.6,15.6,50,,N,17,1011.4
,2019-07-22,7.9,15.6,0,,,N,56,12:59,10.0,73,,N,22,1014.3,15.2,53,,N,19,1009.8
,2019-07-23,9.9,15.2,1.6,,,NNW,57,17:42,10.6,78,,N,11,1010.7,14.4,46,,NNW,24,1009.0
,2019-07-24,7.0,14.4,8.0,,,NNW,30,10:47,9.2,68,,NNW,11,1021.3,14.1,57,,WNW,11,1021.5
,2019-07-25,9.2,14.8,0,,,N,33,22:16,11.9,80,,N,13,1025.2,14.1,68,,N,17,1022.1
,2019-07-26,11.0,14.0,0,,,N,37,05:22,11.6,69,,N,19,1021.2,13.8,72,,NNW,9,1020.2
,2019-07-27,9.8,15.3,6.8,,,N,31,12:03,11.0,87,,NNW,15,1023.9,14.6,51,,WSW,7,1022.3
,2019-07-28,6.6,15.1,0,,,NNW,19,14:17,8.9,82,, ,Calm,1025.5,13.1,54,,S,11,1021.5
,2019-07-29,8.9,14.6,0,,,S,24,17:39,9.9,86,,NNE,11,1022.4,13.3,69,,S,9,1021.2
,2019-07-30,7.9,12.5,0.8,,,SSW,28,11:25,10.1,72,,SSE,9,1028.7,11.5,57,,SSW,15,1028.5
,2019-07-31,3.0,12.5,0,,,SSW,20,13:35,6.1,90,,NE,7,1032.8,11.4,65,,SSW,11,1030.8
