"Daily Weather Observations for Melbourne (Olympic Park), Victoria for June 2021"
"Prepared at 13:01 UTC on Monday  6 December 2021   IDCJDW3033.202106"
"Copyright 2003 Commonwealth Bureau of Meteorology"
"Observations were drawn from Melbourne (Olympic Park) {station 086338}"

,"Date","Minimum temperature (°C)","Maximum temperature (°C)","Rainfall (mm)","Evaporation (mm)","Sunshine (hours)","Direction of maximum wind gust ","Speed of maximum wind gust (km/h)","Time of maximum wind gust","9am Temperature (°C)","9am relative humidity (%)","9am cloud amount (oktas)","9am wind direction","9am wind speed (km/h)","9am MSL pressure (hPa)","3pm Temperature (°C)","3pm relative humidity (%)","3pm cloud amount (oktas)","3pm wind direction","3pm wind speed (km/h)","3pm MSL pressure (hPa)"
,2021-06-1,5.7,15.7,0,,,N,39,11:32,9.2,60,,NNE,13,1020.8,15.3,48,,N,17,1019.4
,2021-06-2,9.2,19.6,0,,,NNW,33,13:14,12.4,63,,N,9,1018.8,19.0,44,,N,11,1015.2
,2021-06-3,10.4,16.9,0.2,,,N,24,01:09,12.2,93,,NE,7,1015.1,16.7,62,,SSW,9,1012.9
,2021-06-4,10.0,13.6,2.0,,,S,37,15:23,10.9,81,,SW,7,1017.0,11.9,66,,W,7,1018.5
,2021-06-5,3.8,12.9,0,,,N,52,14:43,6.7,74,,N,11,1021.4,12.0,57,,N,26,1017.6
,2021-06-6,6.7,14.7,0,,,N,39,12:17,11.0,81,,N,17,1022.2,13.6,73,,N,17,1019.9
,2021-06-7,10.7,17.2,0,,,N,59,14:39,12.5,73,,N,22,1016.7,16.5,55,,N,28,1009.3
,2021-06-8,9.3,13.2,3.0,,,N,48,00:39,9.3,89,,NNE,9,1005.0,11.1,72,,W,11,1004.8
,2021-06-9,7.8,14.7,4.0,,,S,67,23:47,9.7,83,,SSW,4,1010.7,12.3,86,,S,20,1008.8
,2021-06-10,9.7,15.1,12.0,,,S,67,00:33,14.5,78,,SSE,30,1009.5,14.3,71,,ESE,11,1009.8
,2021-06-11,6.8,15.0,0.4,,,WNW,22,23:37,7.9,100,,N,6,1016.0,14.6,80,,SSW,7,1013.7
,2021-06-12,7.4,16.5,9.4,,,WNW,33,12:32,12.7,85,,WNW,7,1014.4,15.5,61,,W,11,1014.0
,2021-06-13,10.9,15.9,0,,,NNW,17,10:49,11.7,86,, ,Calm,1018.8,14.3,69,,S,6,1016.8
,2021-06-14,9.7,16.4,0,,,ESE,15,16:16,11.0,89,,NNE,7,1018.0,15.9,57,,SSE,6,1015.5
,2021-06-15,7.0,15.6,0,,,N,24,17:27,8.5,89,,NNE,7,1017.5,15.0,60,,NNE,9,1014.5
,2021-06-16,8.3,16.0,1.8,,,NNW,41,12:56,11.5,88,,NNE,13,1011.4,15.4,60,,N,15,1008.1
,2021-06-17,7.8,12.9,0.8,,,N,20,07:03,9.4,83,,N,9,1010.5,12.4,70,,N,4,1008.8
,2021-06-18,6.1,13.2,1.6,,,SSW,26,13:15,9.4,100,,S,2,1012.6,12.5,98,,SSW,9,1014.4
,2021-06-19,9.1,16.2,2.2,,,SE,28,10:38,11.4,100,,S,6,1024.5,13.4,86,,SSW,13,1025.1
,2021-06-20,5.2,14.5,0,,,SE,20,10:40,9.1,100,,E,4,1027.8,13.8,69,, ,Calm,1025.4
,2021-06-21,3.9,15.4,0.2,,,N,26,12:22,6.3,94,,NE,7,1028.7,14.6,51,,N,15,1025.8
,2021-06-22,3.7,16.3,0,,,NNE,28,13:37,5.6,91,,NNE,6,1029.6,14.4,56,,NNE,13,1026.2
,2021-06-23,5.6,15.3,0,,,N,46,10:33,13.9,63,,N,9,1019.4,14.8,67,,N,17,1012.5
,2021-06-24,9.8,16.7,0,,,N,41,12:07,12.6,85,,N,6,1007.2,15.3,54,,N,17,1004.9
,2021-06-25,10.6,13.2,0.6,,,N,37,00:05,11.0,88,,N,13,1010.3,12.6,94,, ,Calm,1011.1
,2021-06-26,10.0,13.4,5.6,,,NNW,28,22:26,10.5,79,,W,9,1019.9,12.4,56,,WSW,9,1020.1
,2021-06-27,9.7,15.3,0,,,NNW,26,01:43,10.9,81,,N,11,1025.9,13.6,75,,SSW,9,1027.0
,2021-06-28,6.4,15.1,0,,,NNW,24,12:27,7.8,97,,NNE,7,1032.8,14.6,53,,NNE,9,1031.0
,2021-06-29,4.2,16.7,0,,,NNW,43,14:12,6.8,88,,NE,2,1032.5,16.2,55,,N,19,1029.4
,2021-06-30,5.5,16.9,0,,,N,39,14:04,11.3,79,,NNE,9,1026.8,16.8,57,,N,19,1022.6
