"Daily Weather Observations for Melbourne (Olympic Park), Victoria for November 2022"
"Prepared at 13:01 UTC on Wednesday  7 December 2022   IDCJDW3033.202211"
"Copyright 2003 Commonwealth Bureau of Meteorology"
"Observations were drawn from Melbourne (Olympic Park) {station 086338}"

,"Date","Minimum temperature (°C)","Maximum temperature (°C)","Rainfall (mm)","Evaporation (mm)","Sunshine (hours)","Direction of maximum wind gust ","Speed of maximum wind gust (km/h)","Time of maximum wind gust","9am Temperature (°C)","9am relative humidity (%)","9am cloud amount (oktas)","9am wind direction","9am wind speed (km/h)","9am MSL pressure (hPa)","3pm Temperature (°C)","3pm relative humidity (%)","3pm cloud amount (oktas)","3pm wind direction","3pm wind speed (km/h)","3pm MSL pressure (hPa)"
,2022-11-1,8.5,13.3,3.0,,,SW,44,11:36,12.0,64,,NW,13,991.3,13.2,59,,WNW,11,991.5
,2022-11-2,6.9,15.7,2.8,,,SSW,43,11:33,11.0,65,,W,9,1006.7,15.1,54,,SSW,13,1008.4
,2022-11-3,9.1,15.4,0.4,,,SSW,31,08:07,11.5,70,,SSW,9,1019.2,13.8,67,,SSW,9,1021.3
,2022-11-4,10.2,17.8,0.2,,,S,24,14:50,12.3,84,,WSW,6,1028.1,16.9,56,,SW,9,1026.6
,2022-11-5,11.8,22.7,0,,,N,31,11:58,14.0,78,,N,9,1026.3,18.8,65,,SW,11,1023.2
,2022-11-6,11.6,27.1,0,,,NNW,33,18:43,17.9,63,,NNE,9,1023.2,26.2,33,,NW,4,1019.9
,2022-11-7,13.9,25.9,0,,,W,24,13:42,19.7,64,,NE,4,1021.1,20.2,66,,WSW,9,1019.1
,2022-11-8,14.6,27.6,0,,,NNW,35,11:24,21.8,57,,N,15,1018.2,25.8,43,,SW,6,1015.9
,2022-11-9,15.6,29.3,2.8,,,NNE,35,12:24,20.8,67,,N,13,1018.8,28.3,37,,NNW,13,1015.4
,2022-11-10,19.8,26.4,0,,,NNW,54,09:58,23.8,50,,N,17,1013.8,25.1,44,,NNW,20,1011.7
,2022-11-11,18.7,20.2,3.0,,,SSW,30,12:38,18.7,80,,SSW,11,1011.0,18.2,81,,SSW,15,1010.4
,2022-11-12,14.2,19.3,0,,,SSW,26,12:58,15.7,69,,SSE,7,1014.3,17.6,66,,SSW,13,1010.9
,2022-11-13,15.4,24.8,6.6,,,N,44,09:34,19.1,88,,NNE,9,1001.8,24.3,59,,N,19,998.6
,2022-11-14,13.0,17.4,13.6,,,SSW,41,12:56,15.3,78,,N,13,997.1,15.0,87,,SSW,13,1003.6
,2022-11-15,8.0,13.1,14.2,,,SW,43,11:45,10.1,72,,W,7,1013.1,10.8,72,,S,17,1013.1
,2022-11-16,7.2,14.8,0.6,,,S,43,14:47,11.0,64,,WSW,11,1015.1,13.9,51,,S,15,1015.9
,2022-11-17,9.6,16.3,3.2,,,SSW,33,00:35,13.1,71,,SSW,13,1019.3,15.5,63,,SSW,13,1018.7
,2022-11-18,7.2,24.5,0,,,NNW,28,15:26,12.5,70,,NE,7,1016.6,22.0,47,,WSW,11,1010.9
,2022-11-19,12.5,22.3,0,,,N,59,17:16,19.3,52,,NE,9,1003.1,18.3,65,,N,19,997.6
,2022-11-20,11.8,20.6,16.0,,,NNW,50,15:42,14.3,63,,NW,15,998.2,19.4,36,,WNW,15,997.1
,2022-11-21,9.4,13.8,1.2,,,W,57,11:27,11.2,51,,NW,24,1001.8,11.8,64,,SW,17,1005.1
,2022-11-22,8.7,18.2,2.0,,,WNW,37,16:58,12.7,68,,WNW,13,1012.9,18.0,58,,WSW,9,1012.3
,2022-11-23,11.6,17.7,0.6,,,SSW,30,13:18,14.7,65,,W,11,1015.6,16.1,77,,SW,6,1016.9
,2022-11-24,12.4,19.2,2.8,,,SSE,22,20:13,14.3,73,,W,7,1021.0,17.0,63,,SE,7,1020.4
,2022-11-25,11.6,20.6,0,,,S,22,11:42,14.3,75,,SW,9,1021.7,19.2,51,,SE,6,1020.0
,2022-11-26,10.9,27.3,0,,,N,54,13:12,16.8,66,,NE,11,1011.9,27.0,33,,N,20,1004.6
,2022-11-27,14.7,20.5,0.2,,,SSW,37,16:10,16.0,71,,SW,9,1004.5,19.5,51,,S,9,1003.7
,2022-11-28,9.7,18.8,0.2,,,NW,31,19:49,14.0,61,,NW,11,1009.1,18.1,46,,WSW,7,1008.0
,2022-11-29,12.2,18.4,0.4,,,S,33,09:26,15.5,65,,WSW,11,1015.6,17.7,52,,SSW,13,1016.9
,2022-11-30,11.6,18.4,0,,,SSW,31,16:47,16.0,58,,SSE,9,1019.8,17.9,52,,SSW,9,1017.7
