"Daily Weather Observations for Melbourne (Olympic Park), Victoria for December 2022"
"Prepared at 13:01 UTC on Tuesday  6 June 2023   IDCJDW3033.202212"
"Copyright 2003 Commonwealth Bureau of Meteorology"
"Observations were drawn from Melbourne (Olympic Park) {station 086338}"

,"Date","Minimum temperature (°C)","Maximum temperature (°C)","Rainfall (mm)","Evaporation (mm)","Sunshine (hours)","Direction of maximum wind gust ","Speed of maximum wind gust (km/h)","Time of maximum wind gust","9am Temperature (°C)","9am relative humidity (%)","9am cloud amount (oktas)","9am wind direction","9am wind speed (km/h)","9am MSL pressure (hPa)","3pm Temperature (°C)","3pm relative humidity (%)","3pm cloud amount (oktas)","3pm wind direction","3pm wind speed (km/h)","3pm MSL pressure (hPa)"
,2022-12-1,12.1,18.8,0,,,S,35,15:17,17.0,73,,ESE,11,1018.8,18.1,63,,S,17,1017.7
,2022-12-2,9.4,21.4,0,,,SSW,26,15:00,15.0,74,,N,6,1018.3,20.4,62,,SSW,13,1015.4
,2022-12-3,13.6,31.0,0,,,NNW,31,08:54,21.3,68,,NE,7,1015.7,28.8,42,,SSW,13,1013.0
,2022-12-4,17.3,34.5,0,,,NW,44,13:22,27.2,43,,NNE,9,1011.7,32.5,28,,NNW,19,1007.8
,2022-12-5,16.2,18.1,0,,,SSW,52,15:08,16.6,77,,SSW,13,1009.6,16.3,70,,SSW,17,1011.7
,2022-12-6,13.4,20.0,1.2,,,S,31,16:43,15.5,71,,SE,17,1012.1,19.2,56,,S,13,1008.9
,2022-12-7,13.1,19.3,0.2,,,SW,41,18:31,16.4,68,,S,7,1004.5,18.4,62,,S,15,1004.4
,2022-12-8,9.4,16.0,0.6,,,S,48,11:40,10.8,72,,WSW,13,1013.8,15.5,48,,S,20,1015.2
,2022-12-9,9.9,17.6,2.4,,,S,41,16:53,14.6,44,,SSE,15,1018.1,16.4,51,,SSW,17,1017.3
,2022-12-10,8.1,25.9,0,,,N,31,12:24,14.2,63,,NW,7,1017.1,24.8,32,,NW,11,1012.0
,2022-12-11,14.0,28.6,0,,,N,54,11:06,20.7,53,,NNE,13,1005.4,25.7,35,,NNW,20,1002.0
,2022-12-12,11.5,17.3,17.4,,,NW,44,13:54,12.6,84,,WNW,9,1001.0,16.0,59,,NW,22,1002.1
,2022-12-13,11.6,17.9,3.2,,,NNW,44,08:07,14.2,56,,NNW,15,1008.7,12.2,86,,W,13,1008.0
,2022-12-14,9.0,15.8,6.2,,,S,50,16:01,13.7,64,,S,19,1013.2,12.4,77,,SSW,19,1015.5
,2022-12-15,11.1,16.6,3.4,,,S,39,15:25,14.8,58,,SSE,11,1017.0,15.7,57,,SSW,15,1016.5
,2022-12-16,10.8,20.3,0,,,SE,35,09:43,15.7,58,,SE,11,1019.4,19.2,47,,SSE,13,1019.0
,2022-12-17,10.9,22.3,0.2,,,SSE,41,16:23,16.5,61,,SE,15,1023.0,21.4,44,,SE,19,1021.4
,2022-12-18,11.7,23.7,0,,,ESE,37,17:51,16.5,54,,ESE,15,1024.9,22.6,41,,SE,17,1021.6
,2022-12-19,9.8,26.0,0,,,SSE,33,17:35,16.6,67,,WSW,4,1025.5,22.4,39,,SSW,17,1022.3
,2022-12-20,10.2,27.3,0,,,SSE,31,16:59,16.4,64,,NE,7,1022.0,26.3,32,,SSE,15,1017.6
,2022-12-21,12.9,29.4,0,,,NNE,30,11:51,18.2,64,,NNE,7,1015.3,28.2,27,,NNE,11,1011.6
,2022-12-22,16.8,25.2,5.2,,,N,26,16:53,17.4,91,,ENE,6,1011.6,21.5,82,,WSW,4,1008.5
,2022-12-23,15.7,23.1,1.6,,,SW,28,21:16,18.2,97,,S,4,1011.7,20.2,76,,SSW,13,1009.7
,2022-12-24,16.7,23.5,0,,,S,31,17:32,18.9,66,,SW,9,1011.7,21.6,53,,SSW,13,1010.8
,2022-12-25,12.9,31.9,0,,,SSW,24,12:58,19.5,66,,ENE,7,1013.1,30.3,31,,SW,11,1012.3
,2022-12-26,17.0,27.5,0,,,SSW,28,11:24,22.6,58,,NNE,11,1016.6,23.6,67,,S,13,1016.6
,2022-12-27,17.7,37.3,0,,,N,33,15:08,25.1,62,,ENE,7,1018.1,36.5,26,,N,15,1013.1
,2022-12-28,25.0,27.6,0,,,N,46,05:03,27.6,42,,W,9,1008.2,18.0,71,,SW,13,1013.4
,2022-12-29,14.0,19.3,0.8,,,SSE,33,12:26,15.8,58,,SSE,17,1019.0,18.4,55,,S,13,1017.5
,2022-12-30,12.6,26.2,0,,,SSW,30,14:55,18.2,70,,ENE,4,1015.9,25.0,52,,SSW,11,1012.5
,2022-12-31,17.9,30.3,0,,,SSE,30,16:09,20.6,78,,NNE,4,1014.3,27.4,54,,SSW,11,1010.4
