"Daily Weather Observations for Melbourne, Victoria for March 2012"
"Prepared at 13:03 UTC on Sunday 19 August 2012   IDCJDW3050.201203"
"Copyright 2003 Commonwealth Bureau of Meteorology"
"Most observations from Melbourne, but some from Melbourne Airport."
"Temperature, humidity, pressure, cloud and rainfall observations are from Melbourne Regional Office {station 086071}"
"Wind, evaporation and sunshine observations are from Melbourne Airport {station 086282}"

,"Date","Minimum temperature (°C)","Maximum temperature (°C)","Rainfall (mm)","Evaporation (mm)","Sunshine (hours)","Direction of maximum wind gust ","Speed of maximum wind gust (km/h)","Time of maximum wind gust","9am Temperature (°C)","9am relative humidity (%)","9am cloud amount (oktas)","9am wind direction","9am wind speed (km/h)","9am MSL pressure (hPa)","3pm Temperature (°C)","3pm relative humidity (%)","3pm cloud amount (oktas)","3pm wind direction","3pm wind speed (km/h)","3pm MSL pressure (hPa)"
,2012-03-1,15.7,20.8,14.8,3.2,0.0,SE,63,14:19,17.0,90,8,SSE,37,1007.8,19.7,71,7,SSE,31,1008.1
,2012-03-2,14.9,23.7,0.6,3.2,7.8,SE,50,23:20,17.1,64,3,SE,30,1014.5,22.1,45,6,SE,26,1013.3
,2012-03-3,16.1,18.9,,6.2,0.0,E,35,17:35,16.1,74,,SE,15,1014.4,16.4,93,,E,13,1010.7
,2012-03-4,15.0,27.1,,0.8,8.5,NW,43,15:26,18.9,87,,NNW,15,1007.6,25.9,39,,WNW,19,1007.7
,2012-03-5,15.5,22.5,17.0,6.8,6.7,SW,39,08:51,16.9,67,3,WSW,20,1017.8,21.2,58,6,SSW,22,1019.1
,2012-03-6,15.5,22.3,0,4.8,6.6,S,44,12:10,16.3,67,7,SW,20,1022.3,20.8,51,7,S,28,1022.5
,2012-03-7,13.7,22.0,0,4.8,11.0,SE,54,11:25,16.3,62,2,SE,24,1028.2,21.1,35,6,ESE,31,1026.0
,2012-03-8,14.9,21.8,0,6.0,4.1,SSE,43,02:52,16.7,64,1,SE,20,1021.7,20.1,54,7,SSE,31,1017.4
,2012-03-9,16.6,25.9,0,2.4,8.1,WNW,37,12:52,17.9,82,7,W,15,1012.9,23.4,52,,SW,17,1011.5
,2012-03-10,15.6,21.9,0,5.0,6.3,SSE,37,12:01,17.3,53,,SW,13,1016.9,20.9,42,,S,22,1018.1
,2012-03-11,12.7,21.8,0,4.6,10.2,S,33,14:15,15.8,60,,NW,6,1019.0,20.4,43,,SSE,22,1019.1
,2012-03-12,15.5,24.3,0,4.2,11.0,SSE,30,09:09,16.9,58,,SE,15,1020.7,21.8,48,,SSW,13,1018.7
,2012-03-13,13.5,29.9,0,4.8,9.5,N,37,10:21,17.0,74,3,N,20,1017.9,28.8,27,6,N,19,1014.6
,2012-03-14,16.8,31.6,0,7.4,8.7,N,69,20:11,21.7,60,6,N,28,1014.3,30.3,37,7,N,30,1011.0
,2012-03-15,21.2,27.2,1.8,8.6,2.4,N,65,22:45,22.1,74,7,N,26,1010.1,24.6,69,7,N,28,1007.8
,2012-03-16,18.0,23.4,11.2,3.0,2.4,N,59,23:38,19.7,75,7,WSW,2,1008.3,22.3,54,7,WNW,15,1009.5
,2012-03-17,12.6,22.2,,2.4,10.0,SSE,35,13:57,14.6,73,,W,11,1019.1,21.3,45,,S,20,1019.6
,2012-03-18,13.9,23.2,,4.4,11.6,SSE,35,12:22,16.7,78,,S,7,1025.7,22.3,45,,SSE,22,1023.6
,2012-03-19,13.0,28.2,3.0,5.2,11.5,NNE,41,08:17,15.9,75,0,NNE,17,1024.1,26.2,35,1,NNE,19,1019.9
,2012-03-20,15.8,27.6,0,6.8,11.1,N,69,09:55,19.5,58,2,N,31,1015.5,26.5,43,3,N,39,1009.6
,2012-03-21,17.9,21.1,0,8.4,5.1,N,74,00:38,18.1,68,7,SW,28,1004.8,16.8,68,5,SW,31,1008.2
,2012-03-22,11.4,20.8,10.0,4.4,9.5,WSW,35,16:51,13.4,67,1,WSW,13,1011.4,20.1,36,7,SSE,15,1007.6
,2012-03-23,12.8,18.0,0,5.4,6.4,WSW,70,13:55,13.0,61,7,W,20,1005.6,17.2,27,7,W,48,1006.3
,2012-03-24,12.2,18.2,,4.6,2.4,W,39,12:57,13.6,76,,W,19,1014.1,17.2,54,,SSW,17,1016.8
,2012-03-25,12.4,19.1,,2.6,1.5,SSE,26,16:08,13.2,77,,NW,4,1023.3,18.5,47,,SSE,15,1022.6
,2012-03-26,9.4,21.0,0.4,2.6,4.2,SE,26,16:34,11.2,79,7,N,9,1023.8,19.0,48,6,WSW,9,1022.3
,2012-03-27,11.2,21.0,0,2.0,6.0,SSE,35,15:12,15.4,69,4, ,Calm,1024.7,19.5,59,7,SSE,20,1022.9
,2012-03-28,14.1,23.6,0,1.6,10.3,SW,30,12:50,16.0,78,6,NW,11,1021.0,22.5,48,3,WSW,11,1018.5
,2012-03-29,12.3,26.7,0,4.6,7.6,NNE,35,14:23,14.6,73,,N,19,1019.2,24.5,41,,NNE,19,1016.4
,2012-03-30,14.2,28.2,0,3.6,10.6,N,50,10:05,16.1,82,0,NNE,13,1017.1,27.3,36,3,N,30,1013.4
,2012-03-31,16.0,29.2,0.2,8.2,8.3,NNE,72,05:03,21.6,48,,N,48,1013.0,21.9,65,,NW,24,1012.5
