"Daily Weather Observations for Melbourne, Victoria for June 2012"
"Prepared at 16:03 UTC on Thursday 16 August 2012   IDCJDW3050.201206"
"Copyright 2003 Commonwealth Bureau of Meteorology"
"Most observations from Melbourne, but some from Melbourne Airport."
"Temperature, humidity, pressure, cloud and rainfall observations are from Melbourne Regional Office {station 086071}"
"Wind, evaporation and sunshine observations are from Melbourne Airport {station 086282}"

,"Date","Minimum temperature (°C)","Maximum temperature (°C)","Rainfall (mm)","Evaporation (mm)","Sunshine (hours)","Direction of maximum wind gust ","Speed of maximum wind gust (km/h)","Time of maximum wind gust","9am Temperature (°C)","9am relative humidity (%)","9am cloud amount (oktas)","9am wind direction","9am wind speed (km/h)","9am MSL pressure (hPa)","3pm Temperature (°C)","3pm relative humidity (%)","3pm cloud amount (oktas)","3pm wind direction","3pm wind speed (km/h)","3pm MSL pressure (hPa)"
,2012-06-1,6.2,17.7,0,2.2,6.6,N,30,01:31,7.3,87,6,NNW,11,1030.1,16.4,48,4,SSE,11,1026.8
,2012-06-2,4.8,16.3,,2.0,5.8,SSE,39,19:44,6.6,86,,N,13,1024.5,15.6,54,,SSE,9,1021.0
,2012-06-3,6.6,14.3,,0.6,1.8,SW,24,06:44,9.8,86,,W,11,1018.2,13.8,65,,WSW,9,1014.3
,2012-06-4,9.7,14.1,7.0,0.0,0.0,SSE,70,18:16,12.2,92,7,S,15,1007.4,13.9,89,8,SE,22,1006.8
,2012-06-5,10.8,12.6,11.2,0.0,0.5,SSE,70,06:35,12.0,57,7,SSE,44,1014.1,12.1,65,7,SSE,35,1017.2
,2012-06-6,8.9,15.3,0,0.8,4.4,S,37,13:07,10.5,71,7,SW,9,1024.6,12.6,59,7,S,22,1024.1
,2012-06-7,10.4,14.1,0,1.2,0.3,SSW,31,13:50,11.3,84,7,SW,11,1026.4,13.6,62,7,SSW,15,1025.7
,2012-06-8,10.7,15.0,0,1.2,0.7,SW,31,10:20,11.4,66,7,SW,20,1028.1,12.2,82,7,SW,20,1027.0
,2012-06-9,10.0,12.8,,0.8,0.6,SW,30,13:20,10.3,96,,WSW,17,1028.1,11.5,95,,SSE,15,1026.7
,2012-06-10,8.8,13.1,,0.2,1.6,SSE,20,14:19,9.8,88,,SW,7,1028.0,12.4,79,,S,17,1026.1
,2012-06-11,4.2,11.6,,1.0,9.0,N,26,23:11,5.7,99,,N,13,1026.8,11.3,71,,SE,7,1023.3
,2012-06-12,3.4,16.5,10.0,1.6,7.7,N,33,15:55,5.2,86,2,N,24,1023.2,16.2,48,,N,19,1019.4
,2012-06-13,5.2,16.6,0,1.4,2.6,N,54,11:07,9.1,72,7,N,24,1020.4,16.5,53,7,N,24,1017.7
,2012-06-14,8.9,15.4,0,1.6,0.3,N,65,11:57,13.6,61,7,N,37,1013.2,14.8,65,7,NNE,35,1009.4
,2012-06-15,11.3,16.6,0.4,1.6,6.6,N,44,23:54,12.0,68,7,N,19,1012.0,15.7,45,5,NW,19,1010.6
,2012-06-16,8.7,14.8,,3.2,4.4,N,48,02:48,10.1,67,,N,35,1014.5,14.4,57,,NNW,19,1012.1
,2012-06-17,10.1,15.3,,2.0,3.2,WSW,50,14:08,12.2,75,,WNW,17,1018.1,13.5,82,,WSW,30,1019.3
,2012-06-18,9.3,15.6,4.0,0.6,2.2,W,39,00:00,11.5,83,7,NNW,13,1023.0,15.1,59,7,NW,11,1020.7
,2012-06-19,8.1,14.8,1.0,2.0,6.9,WSW,46,00:11,8.7,69,6,WSW,19,1024.7,13.2,45,5,SSE,15,1023.4
,2012-06-20,4.7,13.6,0,2.0,3.2,N,83,15:57,9.0,56,6,N,30,1018.3,11.7,56,7,N,46,1010.4
,2012-06-21,8.7,10.5,8.2,2.8,0.0,N,56,02:59,9.6,89,8,N,24,1008.0,9.6,86,8,N,28,1002.3
,2012-06-22,8.4,12.5,22.4,0.4,1.0,S,48,12:39,10.2,84,8,WSW,15,1004.8,9.5,86,6,S,13,1010.4
,2012-06-23,5.9,14.2,,1.4,5.6,WNW,50,12:01,7.1,74,,N,22,1022.0,13.0,57,,NNW,19,1021.7
,2012-06-24,7.1,16.5,,1.4,7.3,WNW,46,10:55,11.5,67,,NNW,20,1027.5,15.8,55,,W,26,1026.8
,2012-06-25,11.4,15.6,5.2,2.2,3.0,WSW,46,14:03,12.5,75,6,NNW,15,1028.3,12.1,89,7,S,28,1028.1
,2012-06-26,7.7,12.5,1.2,1.6,6.3,SE,35,11:51,9.1,47,7,SE,19,1032.9,10.7,44,7,SSE,24,1031.1
,2012-06-27,4.4,14.3,0,2.8,5.4,N,33,20:13,6.2,74,7,WNW,7,1031.1,12.4,59,5,E,11,1026.8
,2012-06-28,6.1,14.3,0,0.8,4.5,N,61,20:33,10.7,67,3,N,28,1021.5,13.2,63,7,N,30,1015.6
,2012-06-29,10.7,14.0,0,2.2,4.1,N,61,06:03,12.4,66,7,N,43,1007.4,12.7,67,7,N,33,1004.1
,2012-06-30,7.8,12.6,1.8,1.8,6.6,N,52,06:11,8.5,75,,N,26,1008.4,12.3,53,,NW,22,1008.4
