"Daily Weather Observations for Melbourne, Victoria for April 2013"
"Prepared at 13:02 UTC on Sunday 18 August 2013   IDCJDW3050.201304"
"Copyright 2003 Commonwealth Bureau of Meteorology"
"Most observations from Melbourne, but some from Melbourne Airport."
"Temperature, humidity, pressure, cloud and rainfall observations are from Melbourne Regional Office {station 086071}"
"Wind, evaporation and sunshine observations are from Melbourne Airport {station 086282}"

,"Date","Minimum temperature (°C)","Maximum temperature (°C)","Rainfall (mm)","Evaporation (mm)","Sunshine (hours)","Direction of maximum wind gust ","Speed of maximum wind gust (km/h)","Time of maximum wind gust","9am Temperature (°C)","9am relative humidity (%)","9am cloud amount (oktas)","9am wind direction","9am wind speed (km/h)","9am MSL pressure (hPa)","3pm Temperature (°C)","3pm relative humidity (%)","3pm cloud amount (oktas)","3pm wind direction","3pm wind speed (km/h)","3pm MSL pressure (hPa)"
,2013-04-1,9.5,20.1,,2.6,2.4,NW,33,13:30,11.8,77,,NNW,13,1019.1,18.7,46,,NW,20,1017.1
,2013-04-2,11.7,19.9,0.6,2.8,1.7,WSW,41,12:31,16.0,87,7,W,15,1017.8,17.7,76,7,S,20,1018.2
,2013-04-3,14.0,17.8,0.2,2.4,2.2,SSE,44,09:31,15.6,53,7,WSW,7,1025.0,16.2,61,7,S,28,1025.2
,2013-04-4,10.2,21.0,0,3.0,10.8,S,30,17:12,11.9,70,1,W,6,1029.7,20.2,44,1,S,13,1027.5
,2013-04-5,10.0,25.2,0,3.0,8.4,SSE,30,14:22,12.0,79,4,N,15,1030.1,23.0,55,6,NE,13,1026.6
,2013-04-6,11.9,28.2,,3.4,9.2,N,44,09:50,14.1,81,,N,20,1026.0,26.8,31,,NE,15,1021.8
,2013-04-7,14.1,27.4,,6.6,4.3,N,50,07:58,20.4,50,,N,35,1022.3,26.4,32,,NE,15,1019.7
,2013-04-8,16.9,23.3,5.2,4.0,5.7,S,28,17:13,17.5,79,7,S,11,1025.9,21.9,55,3,S,17,1024.1
,2013-04-9,14.1,23.5,0,2.6,9.0,SSW,31,16:23,17.5,79,6,NE,9,1026.9,22.5,54,0,SSE,15,1023.2
,2013-04-10,12.3,24.8,0,4.2,9.6,S,26,11:59,15.4,78,5,N,15,1023.2,24.1,42,5,SE,11,1020.6
,2013-04-11,14.6,18.4,0.2,3.0,1.0,S,30,12:05,16.7,74,7,NW,11,1024.6,16.5,79,8,SE,15,1024.3
,2013-04-12,12.0,25.1,1.2,0.8,7.5,N,31,23:17,15.3,75,1,W,7,1023.8,23.3,49,6,SSE,13,1019.0
,2013-04-13,15.3,24.3,,7.0,0.0,N,63,11:40,20.0,43,,N,33,1013.8,23.3,37,,NNW,19,1010.1
,2013-04-14,16.4,22.5,,4.0,4.1,SSE,30,15:02,17.4,66,,N,7,1012.5,20.9,53,,S,20,1008.7
,2013-04-15,13.8,16.0,7.2,1.2,0.0,S,37,13:24,14.4,87,7,SSW,11,1012.6,15.0,73,8,S,26,1013.0
,2013-04-16,11.5,20.2,0.4,0.2,9.6,SSE,35,10:09,14.9,58,3,S,11,1018.3,19.3,43,4,S,20,1015.8
,2013-04-17,11.6,19.3,0,4.0,1.8,S,33,14:29,13.8,70,7,W,11,1018.1,17.7,60,7,S,24,1016.3
,2013-04-18,11.1,18.5,1.0,2.8,1.4,SSW,52,17:47,13.3,93,8,SSW,11,1019.4,16.5,52,7,S,31,1020.2
,2013-04-19,9.8,18.4,4.8,2.4,10.7,SSE,54,16:16,13.1,50,3,SSE,28,1026.3,17.0,39,,SSE,35,1024.6
,2013-04-20,9.8,19.0,0,4.0,9.4,SSE,44,12:23,12.2,68,,SE,24,1023.3,18.2,44,,SSE,20,1019.0
,2013-04-21,6.9,20.7,0,3.4,8.5,N,56,10:10,10.9,65,,N,28,1013.6,20.0,34,,NNE,35,1008.0
,2013-04-22,10.9,17.2,1.2,5.4,1.6,N,57,03:18,12.4,87,7,N,37,1007.0,15.6,78,7,N,20,1006.9
,2013-04-23,12.0,19.7,3.6,1.6,7.8,WSW,39,15:00,14.3,70,2,WSW,22,1014.5,18.0,54,7,WSW,26,1014.7
,2013-04-24,13.6,20.9,0,3.8,5.3,W,35,11:31,15.3,53,6,NW,17,1019.3,17.8,61,7,W,26,1017.9
,2013-04-25,10.8,21.2,0,2.8,6.3,NW,43,14:00,13.9,74,,NNW,15,1021.2,19.6,44,,NNW,20,1018.4
,2013-04-26,13.9,23.6,2.4,4.0,6.7,WNW,46,11:28,18.1,63,7,NW,13,1022.0,23.1,37,6,W,30,1020.5
,2013-04-27,14.7,24.5,0,5.4,7.1,N,59,14:04,16.6,65,,N,37,1018.4,24.1,36,,N,44,1012.1
,2013-04-28,16.6,19.5,0,9.2,2.0,N,48,00:07,17.9,74,,NW,9,1014.9,18.7,54,,WSW,24,1015.7
,2013-04-29,10.6,18.4,0,3.4,6.1,SSE,28,15:11,13.5,60,3,WNW,11,1024.1,17.1,49,7,S,9,1024.3
,2013-04-30,7.9,19.3,0,3.4,5.6,N,28,21:07,10.5,75,2,N,11,1026.6,17.6,39,6,NNW,6,1023.0
