"Daily Weather Observations for Melbourne, Victoria for May 2013"
"Prepared at 13:03 UTC on Saturday 17 August 2013   IDCJDW3050.201305"
"Copyright 2003 Commonwealth Bureau of Meteorology"
"Most observations from Melbourne, but some from Melbourne Airport."
"Temperature, humidity, pressure, cloud and rainfall observations are from Melbourne Regional Office {station 086071}"
"Wind, evaporation and sunshine observations are from Melbourne Airport {station 086282}"

,"Date","Minimum temperature (°C)","Maximum temperature (°C)","Rainfall (mm)","Evaporation (mm)","Sunshine (hours)","Direction of maximum wind gust ","Speed of maximum wind gust (km/h)","Time of maximum wind gust","9am Temperature (°C)","9am relative humidity (%)","9am cloud amount (oktas)","9am wind direction","9am wind speed (km/h)","9am MSL pressure (hPa)","3pm Temperature (°C)","3pm relative humidity (%)","3pm cloud amount (oktas)","3pm wind direction","3pm wind speed (km/h)","3pm MSL pressure (hPa)"
,2013-05-1,9.3,16.5,0,2.6,3.1,SW,59,11:08,12.9,66,7,NW,15,1021.5,14.2,79,6,SSW,30,1021.6
,2013-05-2,7.0,18.3,1.8,2.4,10.2,ENE,26,11:11,9.4,76,1,NNW,6,1028.5,17.0,44,1,ENE,6,1025.8
,2013-05-3,9.3,19.0,0,6.8,5.4,N,94,08:54,14.9,47,7,N,67,1021.2,18.1,34,7,N,48,1015.8
,2013-05-4,11.3,17.1,,4.8,4.3,WSW,63,01:33,12.3,54,,SW,22,1025.0,15.2,48,,S,31,1025.6
,2013-05-5,11.3,15.1,,3.0,0.2,SSE,33,12:12,13.2,52,,SW,9,1027.3,13.7,55,,SSE,24,1025.4
,2013-05-6,5.7,19.0,2.0,2.2,9.0,NE,37,14:33,7.2,74,3,NW,7,1026.9,18.8,37,5,NNE,15,1023.0
,2013-05-7,7.2,20.2,0.8,3.0,4.7,N,52,11:21,11.6,84,7,N,11,1026.9,18.7,42,5,N,30,1024.2
,2013-05-8,10.5,23.0,0,4.6,9.3,N,56,09:45,13.6,62,3,N,30,1028.0,22.6,35,6,N,31,1024.9
,2013-05-9,13.5,25.5,0,7.2,9.8,N,48,03:55,17.7,57,1,N,33,1028.5,25.0,40,1,NNE,20,1026.7
,2013-05-10,12.7,25.1,0,4.6,9.4,N,39,08:03,14.5,76,7,N,19,1029.8,24.5,33,6,NNE,22,1026.6
,2013-05-11,13.5,24.9,,5.2,8.2,NNE,56,14:38,17.8,52,,N,31,1026.7,24.4,26,,N,28,1022.4
,2013-05-12,16.5,22.1,,7.2,3.5,N,59,08:17,18.2,44,,N,44,1019.2,21.6,39,,N,35,1015.4
,2013-05-13,14.3,17.0,0.4,5.0,4.5,W,54,14:41,15.3,56,7,N,20,1013.0,12.8,71,7,W,33,1010.7
,2013-05-14,7.8,13.6,2.4,3.8,5.2,NNW,52,10:11,9.6,68,3,N,30,1011.4,11.5,67,7,NNW,22,1009.4
,2013-05-15,9.3,16.1,2.2,2.8,3.6,NW,59,11:44,11.5,72,5,N,33,1007.3,14.8,59,7,N,37,1002.9
,2013-05-16,10.3,16.0,8.6,2.6,2.1,WSW,67,13:08,12.8,72,7,W,31,1007.1,12.1,81,7,SW,31,1008.8
,2013-05-17,9.8,16.4,3.8,3.0,3.5,SW,39,12:16,12.0,85,7,W,24,1015.5,15.6,59,7,SSW,19,1015.0
,2013-05-18,10.0,15.3,,1.2,0.8,SSW,39,13:53,11.3,78,,W,13,1017.9,13.4,65,,W,17,1016.4
,2013-05-19,9.1,17.3,,1.0,8.1,N,46,22:21,10.7,76,,WNW,13,1019.3,16.3,52,,W,15,1016.5
,2013-05-20,10.7,13.9,0.4,3.4,0.7,N,48,10:11,12.3,70,7,N,33,1016.0,13.3,79,7,NNW,20,1013.5
,2013-05-21,7.4,17.0,5.2,0.6,7.2,WNW,26,07:17,9.4,82,7,NW,11,1018.0,15.4,53,3,N,7,1015.5
,2013-05-22,6.3,15.4,0,1.4,1.1,NE,24,14:00,8.5,74,7,N,9,1013.3,14.5,54,7,ENE,9,1011.4
,2013-05-23,5.6,17.0,0,1.4,8.8,SE,39,11:17,11.6,80,1,SSW,9,1020.5,15.9,56,3,SSE,26,1020.5
,2013-05-24,4.9,16.7,0,1.4,6.7,S,20,14:01,8.0,87,7,SW,13,1026.0,15.8,55,6,SSW,9,1023.9
,2013-05-25,7.9,19.1,,1.0,8.3,WSW,33,14:23,12.8,78,,NNW,9,1026.2,18.2,48,,WSW,24,1023.8
,2013-05-26,11.1,16.3,,2.8,0.0,W,37,10:32,13.6,68,,WNW,19,1028.3,15.9,61,,SW,17,1026.7
,2013-05-27,11.7,15.7,0,1.0,1.3,SSE,28,14:17,12.6,85,8, ,Calm,1031.1,15.0,65,7,SSE,19,1028.9
,2013-05-28,5.2,18.3,0,1.2,7.1,NNE,56,10:25,7.2,88,7,NNW,7,1029.5,17.4,53,6,N,30,1025.9
,2013-05-29,7.2,18.9,0,2.6,2.7,N,52,12:16,12.1,71,7,N,26,1026.0,18.5,37,8,NNW,28,1023.0
,2013-05-30,12.1,15.7,1.2,2.8,0.0,N,41,12:36,15.1,69,8,N,28,1023.0,14.5,88,8,N,24,1021.7
,2013-05-31,14.0,18.6,9.2,2.6,3.7,N,63,11:15,15.7,82,3,N,39,1022.5,18.2,69,7,N,31,1019.1
