"Daily Weather Observations for Melbourne, Victoria for August 2013"
"Prepared at 13:03 UTC on Saturday  7 September 2013   IDCJDW3050.201308"
"Copyright 2003 Commonwealth Bureau of Meteorology"
"Most observations from Melbourne, but some from Melbourne Airport."
"Temperature, humidity, pressure, cloud and rainfall observations are from Melbourne Regional Office {station 086071}"
"Wind, evaporation and sunshine observations are from Melbourne Airport {station 086282}"

,"Date","Minimum temperature (°C)","Maximum temperature (°C)","Rainfall (mm)","Evaporation (mm)","Sunshine (hours)","Direction of maximum wind gust ","Speed of maximum wind gust (km/h)","Time of maximum wind gust","9am Temperature (°C)","9am relative humidity (%)","9am cloud amount (oktas)","9am wind direction","9am wind speed (km/h)","9am MSL pressure (hPa)","3pm Temperature (°C)","3pm relative humidity (%)","3pm cloud amount (oktas)","3pm wind direction","3pm wind speed (km/h)","3pm MSL pressure (hPa)"
,2013-08-1,5.2,14.8,0,2.0,8.2,N,41,23:45,8.7,73,3,N,20,1023.1,13.3,44,6,NNW,24,1019.1
,2013-08-2,7.7,13.9,0,3.8,5.0,N,67,09:04,11.2,52,6,N,50,1011.4,12.7,58,5,WNW,30,1008.9
,2013-08-3,7.2,12.9,3.0,2.2,2.3,N,67,14:47,8.8,65,,N,33,1013.3,12.8,62,,N,44,1006.9
,2013-08-4,8.3,14.1,12.6,1.2,5.7,W,39,11:02,9.4,72,,WNW,17,1013.5,12.5,71,,WNW,22,1012.6
,2013-08-5,9.4,16.1,1.4,2.2,2.7,N,69,22:10,12.3,67,6,N,28,1012.7,14.8,59,7,N,35,1008.4
,2013-08-6,11.0,16.8,6.0,3.6,6.1,SW,69,03:11,12.0,66,3,WNW,26,1007.4,16.7,36,7,W,26,1007.9
,2013-08-7,6.9,13.7,0.8,2.2,2.5,NNE,41,14:17,9.7,67,7,N,24,1011.5,13.5,53,7,N,24,1007.7
,2013-08-8,7.0,15.4,15.0,2.2,7.1,N,44,00:00,8.9,80,3,WSW,20,1017.7,14.3,46,5,SSE,11,1016.6
,2013-08-9,8.3,11.7,6.4,4.4,0.4,N,87,10:09,8.8,80,8,N,57,1013.0,11.2,67,7,N,56,1009.8
,2013-08-10,8.8,18.3,0,2.0,9.5,N,44,00:25,11.5,65,,NNW,15,1016.4,17.5,38,,W,22,1015.6
,2013-08-11,8.4,16.5,0,2.6,8.1,N,59,22:57,10.5,72,,N,31,1015.5,15.4,54,,NNW,31,1011.1
,2013-08-12,10.5,14.7,0,2.6,9.2,WSW,87,11:03,13.9,63,6,WNW,30,1000.3,14.0,39,3,WSW,48,1004.2
,2013-08-13,8.4,16.5,1.2,4.0,10.1,N,59,21:48,10.7,55,1,N,22,1012.0,16.1,42,6,NW,30,1009.2
,2013-08-14,10.7,14.4,0.2,4.0,2.6,WSW,80,16:01,12.1,58,7,N,35,1003.7,9.5,80,7,W,33,1005.3
,2013-08-15,7.4,17.9,1.0,3.0,7.8,N,54,23:50,10.7,64,2,WNW,20,1020.5,16.1,51,7,N,26,1018.6
,2013-08-16,10.5,17.5,0,4.4,8.0,N,93,23:00,11.6,55,4,N,46,1015.2,17.3,26,1,NNE,50,1004.8
,2013-08-17,9.4,15.8,0.2,4.8,6.3,N,59,00:01,10.9,62,,N,19,1007.5,14.5,40,,NW,31,1006.4
,2013-08-18,10.9,17.7,0,4.0,6.9,NNW,74,14:29,12.4,62,,N,44,1005.3,17.3,47,,NNW,39,1002.1
,2013-08-19,7.6,14.0,0.4,4.8,8.3,W,59,10:04,9.6,49,4,NW,17,1009.8,11.8,46,7,WSW,41,1009.9
,2013-08-20,5.3,13.5,0.6,3.4,6.7,WSW,52,15:43,8.0,64,4,W,31,1016.0,12.0,61,7,WSW,30,1014.6
,2013-08-21,6.8,14.1,0.2,2.0,7.2,NNW,50,23:34,9.5,61,4,N,19,1015.8,13.3,47,7,NNW,26,1011.7
,2013-08-22,9.4,15.4,0,2.8,3.8,W,48,09:08,11.2,60,5,WNW,28,1009.0,15.0,42,7,NNW,19,1006.4
,2013-08-23,11.1,15.1,3.0,3.0,0.2,WSW,63,14:18,12.9,74,8,W,31,1008.4,14.7,71,7,W,35,1010.3
,2013-08-24,10.3,16.8,0.2,2.0,1.7,N,31,21:37,12.4,81,,W,15,1022.5,15.9,60,,WSW,17,1022.0
,2013-08-25,11.5,17.4,0.2,1.6,3.2,NNW,37,10:42,13.2,56,,NNW,15,1024.0,17.2,45,,WNW,17,1021.9
,2013-08-26,10.9,19.1,0,2.8,6.9,NNW,39,12:26,13.3,67,4,N,19,1023.9,17.7,52,,WSW,22,1021.9
,2013-08-27,9.1,20.6,0,3.0,8.1,N,52,10:58,14.0,72,7,N,33,1020.9,19.2,50,,N,31,1016.7
,2013-08-28,11.3,22.5,0,3.8,7.4,N,44,11:48,13.9,73,7,ENE,11,1019.4,21.4,39,,NNE,28,1015.5
,2013-08-29,13.9,23.1,0,4.0,3.4,NNE,76,13:01,18.7,45,8,N,26,1011.7,22.6,32,7,N,52,1005.1
,2013-08-30,14.6,19.3,3.4,6.6,3.8,NNW,52,03:10,15.6,60,5,NNW,28,1011.2,18.3,49,7,NNW,26,1011.4
,2013-08-31,10.6,22.5,1.2,3.2,9.9,N,52,21:45,14.5,72,,N,24,1019.6,21.6,37,,N,35,1018.3
