"Daily Weather Observations for Melbourne, Victoria for January 2014"
"Prepared at 13:03 UTC on Sunday 20 July 2014   IDCJDW3050.201401"
"Copyright 2003 Commonwealth Bureau of Meteorology"
"Most observations from Melbourne, but some from Melbourne Airport."
"Temperature, humidity, pressure, cloud and rainfall observations are from Melbourne Regional Office {station 086071}"
"Wind, evaporation and sunshine observations are from Melbourne Airport {station 086282}"

,"Date","Minimum temperature (°C)","Maximum temperature (°C)","Rainfall (mm)","Evaporation (mm)","Sunshine (hours)","Direction of maximum wind gust ","Speed of maximum wind gust (km/h)","Time of maximum wind gust","9am Temperature (°C)","9am relative humidity (%)","9am cloud amount (oktas)","9am wind direction","9am wind speed (km/h)","9am MSL pressure (hPa)","3pm Temperature (°C)","3pm relative humidity (%)","3pm cloud amount (oktas)","3pm wind direction","3pm wind speed (km/h)","3pm MSL pressure (hPa)"
,2014-01-1,16.2,26.3,0,10.6,0.0,N,80,11:01,21.9,91,,N,43,1010.1,,,,N,35,1003.7
,2014-01-2,15.2,23.6,4.8,5.8,8.9,SE,39,15:33,17.4,98,6,SW,26,1008.7,22.6,43,,SE,17,1007.6
,2014-01-3,13.9,22.3,0,6.2,10.5,SW,56,21:19,16.5,66,5,NNE,9,1003.8,20.3,54,1,S,33,1002.6
,2014-01-4,13.4,20.7,,7.8,3.8,WSW,50,12:12,15.9,57,,W,33,1006.5,19.1,51,,W,26,1006.9
,2014-01-5,10.9,26.7,,5.8,12.0,SW,78,15:14,16.9,49,,NNW,26,1006.8,25.4,23,,NW,46,1001.6
,2014-01-6,12.7,20.2,1.4,11.2,5.3,SW,57,09:01,15.0,54,6,SW,33,1015.1,18.2,49,,SW,37,1018.1
,2014-01-7,14.0,20.8,0,6.6,7.0,SSE,54,13:20,15.7,52,7,S,28,1024.0,19.6,42,,S,35,1022.9
,2014-01-8,11.7,27.5,0,5.0,12.5,SSE,48,16:37,15.3,58,4,WSW,6,1022.7,24.4,36,,SE,24,1018.9
,2014-01-9,14.3,33.3,0,8.0,11.3,NNW,48,11:08,18.3,64,3,W,4,1020.6,30.8,28,,N,30,1016.2
,2014-01-10,18.3,34.7,0,12.8,10.8,N,61,07:20,24.8,48,4,N,43,1018.2,33.2,25,,N,26,1015.0
,2014-01-11,17.8,22.7,0,12.2,6.7,S,35,16:37,18.2,80,,S,13,1019.6,21.7,54,,SE,17,1018.9
,2014-01-12,16.5,22.8,0,5.4,8.5,S,35,16:46,17.8,67,,S,19,1022.1,22.5,51,,S,19,1020.5
,2014-01-13,15.2,31.1,0,6.4,11.6,SSE,31,16:21,18.4,71,,N,9,1018.3,27.5,50,,SSE,17,1014.1
,2014-01-14,18.3,42.8,0,10.2,12.4,WNW,72,22:55,31.1,31,0,N,52,1013.0,41.1,15,,N,31,1010.3
,2014-01-15,28.6,41.7,0,22.8,8.6,WNW,70,23:02,35.2,25,6,N,26,1014.1,37.8,21,,WNW,11,1013.0
,2014-01-16,27.0,43.9,0,13.0,9.1,N,39,10:35,31.8,35,1,N,19,1014.7,43.2,16,,SE,11,1010.9
,2014-01-17,25.6,43.9,1.2,17.4,10.2,N,61,08:17,34.5,14,1,N,44,1009.0,42.3,11,,NNW,24,1004.8
,2014-01-18,21.5,24.0,,16.0,3.4,S,41,12:05,22.4,68,,SSE,13,1012.1,21.6,64,,S,31,1013.5
,2014-01-19,16.2,22.8,,6.6,8.9,S,46,15:42,17.2,61,,S,26,1014.7,21.7,55,,S,30,1012.5
,2014-01-20,17.0,24.8,0.4,7.8,4.7,S,46,14:37,20.2,69,7,SSE,24,1011.5,24.0,59,,S,31,1010.2
,2014-01-21,16.8,23.7,0,7.4,6.3,SSE,48,16:05,18.0,66,7,SSW,20,1013.0,22.2,43,3,SSE,24,1013.7
,2014-01-22,16.2,24.3,0,7.2,11.5,SSE,41,06:41,18.1,53,5,SSE,31,1021.0,23.3,37,0,S,24,1020.4
,2014-01-23,13.6,30.4,0,7.4,12.5,N,46,11:45,17.3,58,0,WSW,9,1020.3,25.3,47,1,S,26,1014.4
,2014-01-24,16.9,23.0,1.2,8.4,4.1,SSE,43,16:11,19.7,84,8,W,13,1009.4,21.6,64,5,S,24,1009.4
,2014-01-25,15.5,21.0,,4.8,9.2,SSE,50,13:27,18.8,45,,SSW,20,1019.0,19.4,42,,S,28,1020.3
,2014-01-26,13.0,27.2,,6.8,13.5,SSE,30,16:15,17.3,54,,ESE,17,1023.3,24.9,40,,SSE,17,1019.9
,2014-01-27,16.9,35.3,,8.0,13.4,N,69,07:50,24.8,38,,N,52,1018.6,33.5,20,,N,26,1015.5
,2014-01-28,24.5,42.0,,20.0,12.9,N,70,10:47,29.7,24,1,N,46,1013.3,38.8,15,1,NNW,31,1008.2
,2014-01-29,18.4,25.1,4.6,16.8,7.7,SSW,46,14:10,18.6,70,8,SSE,26,1018.3,23.7,45,2,S,30,1017.5
,2014-01-30,16.0,30.0,0,6.8,10.5,S,31,13:14,18.7,70,7,WNW,9,1016.1,26.5,49,1,SSE,17,1013.0
,2014-01-31,18.6,27.0,0,7.2,10.8,S,35,15:18,21.3,74,7,S,13,1013.8,26.8,55,0,S,19,1012.8
