"Daily Weather Observations for Melbourne, Victoria for March 2014"
"Prepared at 13:03 UTC on Friday 18 July 2014   IDCJDW3050.201403"
"Copyright 2003 Commonwealth Bureau of Meteorology"
"Most observations from Melbourne, but some from Melbourne Airport."
"Temperature, humidity, pressure, cloud and rainfall observations are from Melbourne Regional Office {station 086071}"
"Wind, evaporation and sunshine observations are from Melbourne Airport {station 086282}"

,"Date","Minimum temperature (°C)","Maximum temperature (°C)","Rainfall (mm)","Evaporation (mm)","Sunshine (hours)","Direction of maximum wind gust ","Speed of maximum wind gust (km/h)","Time of maximum wind gust","9am Temperature (°C)","9am relative humidity (%)","9am cloud amount (oktas)","9am wind direction","9am wind speed (km/h)","9am MSL pressure (hPa)","3pm Temperature (°C)","3pm relative humidity (%)","3pm cloud amount (oktas)","3pm wind direction","3pm wind speed (km/h)","3pm MSL pressure (hPa)"
,2014-03-1,15.9,24.2,0,5.2,3.6,SSE,37,14:44,17.6,81,,SSW,13,1022.7,22.5,62,,S,22,1021.5
,2014-03-2,16.9,23.4,0,4.2,7.2,SSW,37,14:58,17.7,73,,SSE,15,1023.4,22.3,53,,SE,20,1022.4
,2014-03-3,15.7,25.3,0,5.6,10.7,SSE,35,12:26,17.2,73,7,N,6,1025.2,23.0,55,1,SSE,17,1022.0
,2014-03-4,16.0,33.7,0,6.4,10.9,N,52,08:51,19.5,70,1,N,28,1022.0,31.7,28,3,N,30,1017.9
,2014-03-5,19.5,23.0,0,11.4,0.6,N,46,00:25,22.9,64,7,WSW,17,1015.8,19.3,69,7,S,24,1018.6
,2014-03-6,14.3,21.4,0,3.8,11.7,SE,35,09:58,16.6,52,3,SE,22,1020.6,19.4,47,1,S,19,1019.4
,2014-03-7,14.3,23.1,0,6.8,2.2,SSE,46,20:48,15.1,76,8,SW,13,1022.0,21.4,64,7,SSE,20,1021.0
,2014-03-8,15.0,28.4,0,3.6,10.0,S,31,14:25,20.5,74,,SW,9,1021.9,26.7,56,,S,20,1018.8
,2014-03-9,16.5,33.1,0,5.8,11.7,N,54,08:50,21.4,55,,N,31,1019.4,31.0,22,,NNE,24,1015.7
,2014-03-10,21.3,32.7,0,14.8,5.9,N,72,08:01,25.2,43,,N,54,1017.8,29.4,32,,S,31,1018.3
,2014-03-11,19.3,31.2,0,9.4,0.4,NW,46,16:04,23.9,48,7,W,26,1019.3,29.3,35,7,NNE,22,1015.7
,2014-03-12,16.7,22.2,2.2,4.8,9.0,SW,43,23:19,17.2,78,7,SW,20,1020.3,21.1,43,7,S,19,1020.3
,2014-03-13,13.7,22.9,0,4.6,11.5,SSE,33,16:45,15.8,65,7,WSW,11,1020.9,21.7,48,7,S,9,1017.8
,2014-03-14,14.9,27.3,0,5.4,8.8,SE,35,13:46,17.4,71,6,W,9,1015.8,25.9,49,2,SSE,19,1010.0
,2014-03-15,17.3,29.6,,7.0,2.4,N,76,14:13,22.5,33,,N,26,1005.2,29.1,20,,N,43,998.4
,2014-03-16,13.7,20.5,,8.2,6.8,WNW,70,13:19,14.4,60,,NNW,20,1005.8,19.8,34,,WNW,30,1005.5
,2014-03-17,14.2,24.9,5.8,7.2,6.9,N,54,04:55,17.4,66,6,N,35,1012.1,23.4,43,7,NW,28,1011.6
,2014-03-18,15.9,25.1,0,4.6,4.9,WNW,37,14:20,18.4,58,7,NNW,17,1019.1,23.8,41,6,WNW,22,1019.2
,2014-03-19,13.7,22.7,0,4.6,11.0,SSE,33,17:13,15.9,68,1,WNW,11,1027.6,20.8,52,1,S,17,1025.8
,2014-03-20,11.2,30.9,0,5.4,10.4,N,52,11:48,14.7,68,0,N,30,1024.4,29.3,18,3,NNW,24,1019.5
,2014-03-21,14.6,23.6,0,10.6,4.4,SSW,57,17:03,22.0,58,7,N,37,1015.1,21.4,65,7,SSW,22,1014.1
,2014-03-22,13.3,19.6,,5.0,1.1,SSW,41,23:16,14.0,71,,SW,15,1021.1,18.1,55,,SSE,24,1020.4
,2014-03-23,13.9,19.3,,4.0,0.2,SSE,37,14:26,14.1,74,,SSW,13,1018.9,18.7,49,,S,20,1019.2
,2014-03-24,12.5,19.0,4.4,2.4,0.0,S,37,13:46,12.5,83,7,SSW,4,1020.7,18.4,64,7,S,24,1019.9
,2014-03-25,12.1,24.6,0.8,3.8,8.8,S,31,03:41,14.5,78,7,SSW,7,1024.1,24.4,46,3,SE,11,1021.7
,2014-03-26,14.1,27.0,0,3.8,7.1,E,35,20:47,17.3,80,3,WNW,9,1025.1,26.3,50,7,SE,15,1021.7
,2014-03-27,17.1,25.4,4.4,4.8,3.0,N,39,12:50,17.8,93,8,NNE,4,1017.4,25.3,54,7,N,22,1013.6
,2014-03-28,17.1,22.1,7.8,2.6,4.3,SSE,28,16:21,17.8,82,8,S,13,1017.1,21.5,62,5,SSE,15,1016.1
,2014-03-29,12.7,24.4,,2.0,8.3,WSW,31,22:55,14.6,87,,WSW,9,1018.1,23.6,56,,SSE,11,1016.2
,2014-03-30,14.6,26.5,,4.4,6.3,SSE,26,17:36,16.6,90,,WSW,2,1020.1,25.1,58,,ESE,9,1018.5
,2014-03-31,16.6,30.9,0.8,2.8,10.4,N,52,09:15,19.0,72,5,N,33,1019.4,29.5,33,7,NNE,28,1015.8
