"Daily Weather Observations for Melbourne, Victoria for June 2014"
"Prepared at 16:03 UTC on Saturday  2 August 2014   IDCJDW3050.201406"
"Copyright 2003 Commonwealth Bureau of Meteorology"
"Most observations from Melbourne, but some from Melbourne Airport."
"Temperature, humidity, pressure, cloud and rainfall observations are from Melbourne Regional Office {station 086071}"
"Wind, evaporation and sunshine observations are from Melbourne Airport {station 086282}"

,"Date","Minimum temperature (°C)","Maximum temperature (°C)","Rainfall (mm)","Evaporation (mm)","Sunshine (hours)","Direction of maximum wind gust ","Speed of maximum wind gust (km/h)","Time of maximum wind gust","9am Temperature (°C)","9am relative humidity (%)","9am cloud amount (oktas)","9am wind direction","9am wind speed (km/h)","9am MSL pressure (hPa)","3pm Temperature (°C)","3pm relative humidity (%)","3pm cloud amount (oktas)","3pm wind direction","3pm wind speed (km/h)","3pm MSL pressure (hPa)"
,2014-06-1,11.4,15.1,,0.2,0.0,N,30,16:45,13.8,93,, ,Calm,1016.7,14.9,93,,N,13,1016.7
,2014-06-2,11.5,17.4,7.8,1.2,1.0,N,22,05:46,12.6,84,7,W,7,1019.8,16.0,67,7,WSW,11,1017.6
,2014-06-3,12.6,16.6,3.2,1.0,0.2,WSW,31,02:10,13.6,93,8,WSW,19,1017.6,16.1,83,7,WSW,13,1017.5
,2014-06-4,10.8,18.6,3.0,1.2,5.2,N,37,09:52,12.5,78,7,N,28,1024.2,17.6,60,7,N,19,1023.0
,2014-06-5,11.9,17.1,5.2,1.0,3.2,SSE,26,12:38,13.0,85,7,SW,9,1029.1,14.8,68,6,S,15,1028.6
,2014-06-6,8.5,16.6,0.8,0.4,2.0,SSW,17,15:11,10.7,85,7, ,Calm,1031.8,15.3,61,7,S,9,1029.7
,2014-06-7,10.5,17.5,,0.6,3.4,SW,35,13:23,12.8,87,,WSW,13,1030.8,14.9,87,,SW,22,1028.6
,2014-06-8,11.2,15.9,,1.4,4.9,SSE,33,10:13,12.7,54,,S,19,1032.4,14.2,59,,S,19,1032.5
,2014-06-9,8.6,15.6,,1.8,8.1,S,19,11:08,9.7,69,,W,11,1034.7,14.8,73,,SSE,11,1031.6
,2014-06-10,9.7,19.0,0.4,0.8,5.6,NNE,31,15:59,10.2,90,7,N,19,1031.4,18.3,51,7,NNE,15,1027.7
,2014-06-11,6.9,16.6,0,1.6,6.6,N,57,10:50,9.2,77,7,N,17,1025.0,16.2,62,7,N,30,1021.1
,2014-06-12,9.2,16.3,0,2.2,0.0,N,63,23:38,12.3,71,8,N,26,1018.1,16.2,58,7,N,31,1014.7
,2014-06-13,12.2,17.0,5.8,1.8,5.3,N,54,12:14,12.9,92,6,N,11,1013.1,16.5,65,3,N,28,1010.5
,2014-06-14,10.3,15.8,,1.6,0.9,SSW,39,19:50,12.2,87,,W,11,1015.1,14.8,78,,SSW,17,1014.7
,2014-06-15,9.9,16.4,,1.8,5.5,SW,41,02:13,10.6,87,,WSW,20,1019.0,14.8,62,,SW,19,1018.6
,2014-06-16,10.4,17.0,2.4,1.0,4.6,W,41,13:32,10.7,87,7,N,24,1018.9,14.3,78,7,W,28,1018.3
,2014-06-17,10.1,16.3,2.2,0.8,3.4,W,31,01:31,11.1,85,7,WSW,20,1028.6,15.4,61,7,SSW,11,1029.1
,2014-06-18,11.1,14.3,0,1.0,0.1,W,17,04:03,12.7,62,7, ,Calm,1031.8,14.0,53,7, ,Calm,1029.5
,2014-06-19,8.0,12.3,0,1.4,0.4,N,61,23:47,9.4,75,7,N,33,1025.0,12.2,70,7,N,33,1020.2
,2014-06-20,9.3,15.5,0,2.2,5.0,N,61,10:00,11.3,75,3,N,41,1014.2,14.1,55,7,N,31,1012.3
,2014-06-21,11.3,15.7,0,1.8,2.8,N,44,00:31,13.0,78,,N,22,1017.6,15.0,68,,N,30,1018.0
,2014-06-22,7.7,15.8,0,1.4,4.8,NNE,74,23:45,8.5,87,,N,30,1022.4,15.0,62,,N,28,1018.3
,2014-06-23,8.5,14.7,0,4.0,3.5,N,85,02:27,13.2,67,4,N,54,1001.7,12.9,63,6,NW,30,997.3
,2014-06-24,7.1,14.5,4.6,1.0,4.6,WSW,96,12:55,8.7,79,8,NNW,31,994.5,13.9,57,6,SW,48,1001.5
,2014-06-25,8.6,16.0,6.2,3.6,3.4,WNW,54,12:54,11.2,73,7,W,19,1011.8,14.6,64,7,W,22,1012.6
,2014-06-26,11.2,16.8,0.6,3.6,4.5,W,67,03:41,12.0,61,4,W,24,1015.9,14.9,45,7,WNW,30,1016.6
,2014-06-27,11.0,14.7,0,2.2,3.8,N,85,20:27,11.6,67,7,N,48,1012.3,14.2,48,7,N,48,1005.0
,2014-06-28,9.6,13.0,0,3.4,2.8,N,67,02:42,10.1,74,,N,28,996.5,12.5,58,,NNW,30,992.8
,2014-06-29,8.8,11.3,0,2.4,1.0,W,57,05:27,10.0,75,,W,28,1001.8,10.1,79,,WSW,31,1006.2
,2014-06-30,6.5,13.3,11.2,2.0,1.7,W,48,13:36,8.3,74,7,WNW,19,1017.8,12.9,71,,W,22,1017.5
