"Daily Weather Observations for Melbourne, Victoria for July 2014"
"Prepared at 13:03 UTC on Saturday  2 August 2014   IDCJDW3050.201407"
"Copyright 2003 Commonwealth Bureau of Meteorology"
"Most observations from Melbourne, but some from Melbourne Airport."
"Temperature, humidity, pressure, cloud and rainfall observations are from Melbourne Regional Office {station 086071}"
"Wind, evaporation and sunshine observations are from Melbourne Airport {station 086282}"

,"Date","Minimum temperature (°C)","Maximum temperature (°C)","Rainfall (mm)","Evaporation (mm)","Sunshine (hours)","Direction of maximum wind gust ","Speed of maximum wind gust (km/h)","Time of maximum wind gust","9am Temperature (°C)","9am relative humidity (%)","9am cloud amount (oktas)","9am wind direction","9am wind speed (km/h)","9am MSL pressure (hPa)","3pm Temperature (°C)","3pm relative humidity (%)","3pm cloud amount (oktas)","3pm wind direction","3pm wind speed (km/h)","3pm MSL pressure (hPa)"
,2014-07-1,8.3,13.4,0.4,0.6,0.8,W,31,04:43,10.9,71,,W,17,1027.2,12.9,70,,WSW,17,1027.6
,2014-07-2,10.8,17.3,0,1.2,5.5,W,31,12:36,12.0,65,7,WNW,20,1029.8,16.0,50,7,SW,13,1026.9
,2014-07-3,7.7,12.7,0,2.8,9.2,N,63,20:06,8.3,79,1,N,37,1025.1,11.4,67,1,N,35,1021.8
,2014-07-4,8.2,12.9,0,2.4,7.8,N,78,10:05,8.6,73,5,N,43,1015.6,11.8,60,1,N,41,1012.2
,2014-07-5,8.6,15.4,0,1.6,1.5,W,54,15:01,11.2,69,,NNW,22,1012.7,14.8,59,,W,35,1011.6
,2014-07-6,10.3,14.1,0,1.6,2.1,W,39,10:27,10.8,76,,W,24,1014.6,12.6,81,,WSW,28,1014.0
,2014-07-7,9.0,16.0,0.4,1.6,7.4,N,59,23:08,9.2,87,2,N,17,1016.7,14.8,53,7,N,26,1013.0
,2014-07-8,9.2,14.9,0.2,2.6,4.5,N,85,21:38,11.1,67,7,N,50,1011.0,14.3,49,4,N,44,1006.0
,2014-07-9,9.3,11.2,0,4.4,1.3,N,76,00:41,9.5,68,7,N,35,997.8,9.1,81,8,W,9,996.6
,2014-07-10,7.7,15.6,5.0,0.2,2.7,W,54,11:29,10.1,72,7,WNW,26,1005.7,14.6,65,7,WSW,33,1007.6
,2014-07-11,8.0,14.4,0.2,2.0,7.2,N,56,09:52,10.4,69,7,N,31,1016.2,14.0,65,5,N,24,1014.1
,2014-07-12,7.2,11.6,4.6,2.2,5.1,SW,57,14:23,7.4,74,,WSW,19,1021.5,10.0,71,,S,13,1024.0
,2014-07-13,5.2,15.0,1.4,1.6,5.3,SW,31,13:39,7.0,77,,WNW,15,1031.7,13.5,56,,SW,19,1031.1
,2014-07-14,6.9,13.4,0,0.8,2.1,N,37,23:38,9.5,88,7,N,9,1032.9,13.0,61,7,N,24,1028.0
,2014-07-15,8.3,13.1,0,1.6,0.4,N,57,12:49,10.3,64,7,N,26,1019.5,12.4,62,7,N,30,1013.7
,2014-07-16,9.7,14.7,2.2,1.4,6.9,N,57,23:18,10.7,78,7,N,24,1011.3,14.6,50,3,NW,24,1009.7
,2014-07-17,8.8,12.3,0,2.8,8.1,W,70,13:17,9.3,60,3,NNW,24,1009.1,10.9,55,6,WNW,35,1008.5
,2014-07-18,5.9,14.3,3.0,2.4,6.8,SW,52,10:17,9.5,66,5,SW,20,1021.6,12.6,59,5,S,35,1023.7
,2014-07-19,8.5,13.5,0.4,1.4,1.6,SW,31,01:44,9.6,89,,SW,17,1029.3,12.5,68,,SSE,15,1029.3
,2014-07-20,7.9,13.7,0,0.6,2.2,WNW,15,08:14,8.8,84,,W,11,1028.7,13.2,66,, ,Calm,1026.6
,2014-07-21,4.9,13.2,0,1.2,2.3,N,24,08:00,5.6,89,7,N,15,1026.7,12.5,68,7,E,9,1024.1
,2014-07-22,5.6,12.5,0.2,0.4,3.0,NNE,17,20:53,7.1,93,8,N,9,1026.6,12.2,62,1,NNW,9,1024.6
,2014-07-23,4.5,13.7,0,0.0,4.3,N,44,14:21,4.5,95,7,NNE,6,1024.2,13.4,54,7,N,28,1019.7
,2014-07-24,4.5,15.0,0,1.6,0.6,N,54,23:10,8.8,78,7,N,9,1016.5,14.5,56,7,NNE,26,1013.1
,2014-07-25,8.8,16.1,0,1.6,7.1,N,48,02:48,12.4,74,,N,30,1016.1,15.5,62,,N,30,1015.9
,2014-07-26,12.3,15.3,0.2,2.6,0.5,W,33,11:25,12.9,72,,WNW,15,1023.1,14.5,71,,WSW,17,1022.7
,2014-07-27,7.0,17.0,1.0,1.4,6.2,N,57,23:09,9.7,76,,NNW,19,1025.0,15.7,51,,NW,15,1020.6
,2014-07-28,9.7,16.9,0,3.0,9.6,N,63,07:37,11.4,60,3,N,50,1016.6,16.3,49,2,NNW,31,1012.2
,2014-07-29,11.4,16.5,0,3.2,3.1,N,63,09:51,12.0,66,7,N,33,1010.4,15.9,58,7,N,33,1008.0
,2014-07-30,11.9,19.1,0,2.6,6.5,NW,59,19:16,14.7,65,5,N,22,1012.6,17.9,54,,NNW,30,1010.0
,2014-07-31,13.7,19.9,0,4.8,7.3,NW,89,12:13,14.8,61,1,N,44,1000.8,16.4,43,7,NW,46,996.4
